op,key,column,value
set,6,Status,active
set,6,Status [ref],https://www.shipvault.com/ships/431882
set,6,Name,Konstantin Posiet
set,6,Name [ref],https://www.shipvault.com/ships/431882
set,25,Name,Atlantic Success
set,25,Name [ref],https://www.shipvault.com/ships/432642
set,43,Status,active
set,43,Status [ref],https://www.shipvault.com/ships/455308
set,43,Delivery year,2025
set,43,Delivery year [ref],https://www.shipvault.com/ships/455308
set,43,Name,Venture Pelican
set,43,Name [ref],https://www.shipvault.com/ships/455308
set,44,Status,active
set,44,Status [ref],https://www.shipvault.com/ships/455309
set,44,Delivery year,2025
set,44,Delivery year [ref],https://www.shipvault.com/ships/455309
set,44,Name,Venture Iberia
set,44,Name [ref],https://www.shipvault.com/ships/455309
set,45,Status,active
set,45,Status [ref],https://www.shipvault.com/ships/455310
set,45,Name,Venture Cameron
set,45,Name [ref],https://www.shipvault.com/ships/455310
set,47,Status,active
set,47,Status [ref],https://www.shipvault.com/ships/457495
set,47,Delivery year,2025
set,47,Delivery year [ref],https://www.shipvault.com/ships/457495
set,47,Name,Al Kharrarah
set,47,Name [ref],https://www.shipvault.com/ships/457495
set,48,Status,active
set,48,Status [ref],https://www.shipvault.com/ships/464056
set,48,Delivery year,2025
set,48,Delivery year [ref],https://www.shipvault.com/ships/464056
set,48,Name,Archy Vanguard
set,48,Name [ref],https://www.shipvault.com/ships/464056
set,49,Status,active
set,49,Status [ref],https://www.shipvault.com/ships/459086
set,49,Name,Harmonic Breeze
set,49,Name [ref],https://www.shipvault.com/ships/459086
set,50,Status,active
set,50,Status [ref],https://www.shipvault.com/ships/457498
set,50,Name,Lake Modro
set,50,Name [ref],https://www.shipvault.com/ships/457498
set,51,Status,active
set,51,Status [ref],https://www.shipvault.com/ships/457499
set,51,Name,Lake Morskie Oko
set,51,Name [ref],https://www.shipvault.com/ships/457499
set,53,Status,active
set,53,Status [ref],https://www.shipvault.com/ships/465038
set,53,Delivery year,2025
set,53,Delivery year [ref],https://www.shipvault.com/ships/465038
set,53,Name,Al Sakhamah
set,53,Name [ref],https://www.shipvault.com/ships/465038
set,54,Status,active
set,54,Status [ref],https://www.shipvault.com/ships/465040
set,54,Delivery year,2025
set,54,Delivery year [ref],https://www.shipvault.com/ships/465040
set,54,Name,Al Galayel
set,54,Name [ref],https://www.shipvault.com/ships/465040
set,55,Status,active
set,55,Status [ref],https://www.shipvault.com/ships/465041
set,55,Delivery year,2025
set,55,Delivery year [ref],https://www.shipvault.com/ships/465041
set,55,Name,Bu Nakhlah
set,55,Name [ref],https://www.shipvault.com/ships/465041
set,56,Status,active
set,56,Status [ref],https://www.shipvault.com/ships/465042
set,56,Delivery year,2025
set,56,Delivery year [ref],https://www.shipvault.com/ships/465042
set,56,Name,Al Sene
set,56,Name [ref],https://www.shipvault.com/ships/465042
set,57,Status,active
set,57,Status [ref],https://www.shipvault.com/ships/465043
set,57,Delivery year,2025
set,57,Delivery year [ref],https://www.shipvault.com/ships/465043
set,57,Name,Shafallah
set,57,Name [ref],https://www.shipvault.com/ships/465043
set,58,Status,active
set,58,Status [ref],https://www.shipvault.com/ships/465044
set,58,Name,Hasbah
set,58,Name [ref],https://www.shipvault.com/ships/465044
set,60,Status,active
set,60,Status [ref],https://www.shipvault.com/ships/465046
set,60,Name,Esteem Cormorant
set,60,Name [ref],https://www.shipvault.com/ships/465046
set,61,Name,Esteem Denali
set,61,Name [ref],https://www.shipvault.com/ships/465047
set,62,Name,Esteem Penguin
set,62,Name [ref],https://www.shipvault.com/ships/465048
set,63,Status,active
set,63,Status [ref],https://www.shipvault.com/ships/465049
set,63,Name,Seri Dian
set,63,Name [ref],https://www.shipvault.com/ships/465049
set,64,Status,active
set,64,Status [ref],https://www.shipvault.com/ships/465050
set,64,Name,Seri Dayang
set,64,Name [ref],https://www.shipvault.com/ships/465050
set,65,Status,active
set,65,Status [ref],https://www.shipvault.com/ships/465051
set,65,Name,Al Thurayya
set,65,Name [ref],https://www.shipvault.com/ships/465051
set,66,Status,active
set,66,Status [ref],https://www.shipvault.com/ships/465052
set,66,Name,Al Majhoulah
set,66,Name [ref],https://www.shipvault.com/ships/465052
set,67,Name,Venture Manatee
