id,kind,row_id,cluster_id,column,confidence,derivable,default,decision,proposed_value,note
6|Status,fill,6,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2026-06-26, yard ZVEZDA no. 45; vesselfinder"
6|Name,fill,6,,Name,G,False,accept,accept,Konstantin Posiet,placeholder 'Hull 045 (Zvezda)' -> vessel named
7|Delivery year,fill,7,,Delivery year,Y,False,hold,hold,2027,backend 2026; not delivered as of 2026-09-17; shipvault schedules 2027-02
8|Delivery year,fill,8,,Delivery year,Y,False,hold,hold,2027,backend 2026; not delivered as of 2026-09-17; shipvault schedules 2027-02
9|Delivery year,fill,9,,Delivery year,Y,False,hold,hold,2027,backend 2026; not delivered as of 2026-09-17; shipvault schedules 2027-02
10|Delivery year,fill,10,,Delivery year,Y,False,hold,hold,2027,backend 2026; not delivered as of 2026-09-17; shipvault schedules 2027-01
11|Delivery year,fill,11,,Delivery year,Y,False,hold,hold,2027,backend 2026; not delivered as of 2026-09-17; shipvault schedules 2027-01
12|Delivery year,fill,12,,Delivery year,Y,False,hold,hold,2027,backend 2026; not delivered as of 2026-09-17; shipvault schedules 2027-01
14|Delivery year,fill,14,,Delivery year,Y,False,hold,hold,2027,backend 2026; not delivered as of 2026-09-17; shipvault schedules 2027-06
15|Delivery year,fill,15,,Delivery year,Y,False,hold,hold,2028,backend 2026; not delivered as of 2026-09-17; shipvault schedules 2028-03
25|Name,fill,25,,Name,G,False,accept,accept,Atlantic Success,placeholder 'Hull 2316 (SHI)' -> vessel named
43|Status,fill,43,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2025-08-28, yard HANWHA OCEAN no. 2541; vess"
43|Delivery year,fill,43,,Delivery year,G,False,accept,accept,2025,backend 2026 -> delivered 2025-08-28 per shipvault
43|Name,fill,43,,Name,G,False,accept,accept,Venture Pelican,placeholder 'Hull 2541 (Hanwha)' -> vessel named
44|Status,fill,44,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2025-11-26, yard HANWHA OCEAN no. 2542; vess"
44|Delivery year,fill,44,,Delivery year,G,False,accept,accept,2025,backend 2026 -> delivered 2025-11-26 per shipvault
44|Name,fill,44,,Name,G,False,accept,accept,Venture Iberia,placeholder 'Hull 2542 (Hanwha)' -> vessel named
45|Status,fill,45,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2026-02-19, yard HANWHA OCEAN no. 2543; vess"
45|Name,fill,45,,Name,G,False,accept,accept,Venture Cameron,placeholder 'Hull 2543 (Hanwha)' -> vessel named
47|Status,fill,47,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2025-03-17, yard HANWHA OCEAN no. 2549; vess"
47|Delivery year,fill,47,,Delivery year,G,False,accept,accept,2025,backend 2026 -> delivered 2025-03-17 per shipvault
47|Name,fill,47,,Name,G,False,accept,accept,Al Kharrarah,placeholder 'Hull 2549 (Hanwha)' -> vessel named
48|Status,fill,48,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2025-09-30, yard HANWHA OCEAN no. 2550; vess"
48|Delivery year,fill,48,,Delivery year,G,False,accept,accept,2025,backend 2026 -> delivered 2025-09-30 per shipvault
48|Name,fill,48,,Name,G,False,accept,accept,Archy Vanguard,placeholder 'Hull 2550 (Hanwha)' -> vessel named
49|Status,fill,49,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2026-04-22, yard HANWHA OCEAN no. 2551; vess"
49|Name,fill,49,,Name,G,False,accept,accept,Harmonic Breeze,placeholder 'Hull 2551 (Hanwha)' -> vessel named
50|Status,fill,50,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2026-06-08, yard HANWHA OCEAN no. 2552; vess"
50|Name,fill,50,,Name,G,False,accept,accept,Lake Modro,placeholder 'Hull 2552 (Hanwha)' -> vessel named
51|Status,fill,51,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2026-07-16, yard HANWHA OCEAN no. 2553; vess"
51|Name,fill,51,,Name,G,False,accept,accept,Lake Morskie Oko,placeholder 'Hull 2553 (Hanwha)' -> vessel named
53|Status,fill,53,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2025-04-04, yard HANWHA OCEAN no. 2559; vess"
53|Delivery year,fill,53,,Delivery year,G,False,accept,accept,2025,backend 2026 -> delivered 2025-04-04 per shipvault
53|Name,fill,53,,Name,G,False,accept,accept,Al Sakhamah,placeholder 'Hull 2559 (Hanwha)' -> vessel named
54|Status,fill,54,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2025-06-27, yard HANWHA OCEAN no. 2561; vess"
54|Delivery year,fill,54,,Delivery year,G,False,accept,accept,2025,backend 2026 -> delivered 2025-06-27 per shipvault
54|Name,fill,54,,Name,G,False,accept,accept,Al Galayel,placeholder 'Hull 2561 (Hanwha)' -> vessel named
55|Status,fill,55,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2025-07-29, yard HANWHA OCEAN no. 2562; vess"
55|Delivery year,fill,55,,Delivery year,G,False,accept,accept,2025,backend 2026 -> delivered 2025-07-29 per shipvault
55|Name,fill,55,,Name,G,False,accept,accept,Bu Nakhlah,placeholder 'Hull 2562 (Hanwha)' -> vessel named
56|Status,fill,56,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2025-11-28, yard HANWHA OCEAN no. 2563; vess"
56|Delivery year,fill,56,,Delivery year,G,False,accept,accept,2025,backend 2026 -> delivered 2025-11-28 per shipvault
56|Name,fill,56,,Name,G,False,accept,accept,Al Sene,placeholder 'Hull 2563 (Hanwha)' -> vessel named
57|Status,fill,57,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2025-12-18, yard HANWHA OCEAN no. 2564; vess"
57|Delivery year,fill,57,,Delivery year,G,False,accept,accept,2025,backend 2026 -> delivered 2025-12-18 per shipvault
57|Name,fill,57,,Name,G,False,accept,accept,Shafallah,placeholder 'Hull 2564 (Hanwha)' -> vessel named
58|Status,fill,58,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2026-03-17, yard HANWHA OCEAN no. 2565; vess"
58|Name,fill,58,,Name,G,False,accept,accept,Hasbah,placeholder 'Hull 2565 (Hanwha)' -> vessel named
60|Status,fill,60,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2026-02-27, yard HANWHA OCEAN no. 2567; vess"
60|Name,fill,60,,Name,G,False,accept,accept,Esteem Cormorant,placeholder 'Hull 2567 (Hanwha)' -> vessel named
61|Name,fill,61,,Name,G,False,accept,accept,Esteem Denali,placeholder 'Hull 2568 (Hanwha)' -> vessel named
62|Name,fill,62,,Name,G,False,accept,accept,Esteem Penguin,placeholder 'Hull 2569 (Hanwha)' -> vessel named
63|Status,fill,63,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2026-05-13, yard HANWHA OCEAN no. 2570; vess"
63|Name,fill,63,,Name,G,False,accept,accept,Seri Dian,placeholder 'Hull 2570 (Hanwha)' -> vessel named
64|Status,fill,64,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2026-06-15, yard HANWHA OCEAN no. 2571; vess"
64|Name,fill,64,,Name,G,False,accept,accept,Seri Dayang,placeholder 'Hull 2571 (Hanwha)' -> vessel named
65|Status,fill,65,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2026-05-28, yard HANWHA OCEAN no. 2572; vess"
65|Name,fill,65,,Name,G,False,accept,accept,Al Thurayya,placeholder 'Hull 2572 (Hanwha)' -> vessel named
66|Status,fill,66,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2026-07-24, yard HANWHA OCEAN no. 2573; vess"
66|Name,fill,66,,Name,G,False,accept,accept,Al Majhoulah,placeholder 'Hull 2573 (Hanwha)' -> vessel named
67|Name,fill,67,,Name,G,False,accept,accept,Venture Manatee,placeholder 'Hull 2574 (Hanwha)' -> vessel named
109|Status,fill,109,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2026-03-31, yard SAMSUNG SHIPBUILDING & HEAV"
109|Name,fill,109,,Name,G,False,accept,accept,Spirit LNG,placeholder 'Hull 2636 (SHI)' -> vessel named
113|Status,fill,113,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2025-09-15, yard SAMSUNG SHIPBUILDING & HEAV"
113|Delivery year,fill,113,,Delivery year,G,False,accept,accept,2025,backend 2026 -> delivered 2025-09-15 per shipvault
113|Name,fill,113,,Name,G,False,accept,accept,Qtaifan,placeholder 'Hull 2640 (SHI)' -> vessel named
119|Status,fill,119,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2026-06-16, yard SAMSUNG SHIPBUILDING & HEAV"
119|Name,fill,119,,Name,G,False,accept,accept,Umm Heesh,placeholder 'Hull 2646 (SHI)' -> vessel named
120|Status,fill,120,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2026-07-16, yard SAMSUNG SHIPBUILDING & HEAV"
120|Name,fill,120,,Name,G,False,accept,accept,Umm Al Shubrum,placeholder 'Hull 2647 (SHI)' -> vessel named
122|Status,fill,122,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2026-02-27, yard SAMSUNG SHIPBUILDING & HEAV"
122|Name,fill,122,,Name,G,False,accept,accept,Minerva Eleonora,placeholder 'Hull 2652 (SHI)' -> vessel named
123|Status,fill,123,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2026-03-31, yard SAMSUNG SHIPBUILDING & HEAV"
123|Name,fill,123,,Name,G,False,accept,accept,Minerva Roxanne,placeholder 'Hull 2653 (SHI)' -> vessel named
129|Name,fill,129,,Name,G,False,accept,accept,Gamy Vanguard,placeholder 'Hull 2662 (SHI)' -> vessel named
130|Delivery year,fill,130,,Delivery year,Y,False,hold,hold,2027,backend 2026; not delivered as of 2026-09-17; shipvault schedules 2027-01
131|Name,fill,131,,Name,G,False,accept,accept,Diamond Gas Jade,placeholder 'Hull 2664 (SHI)' -> vessel named
132|Name,fill,132,,Name,G,False,accept,accept,Toho Emerald,placeholder 'Hull 2665 (SHI)' -> vessel named
144|Delivery year,fill,144,,Delivery year,Y,False,hold,hold,2027,backend 2026; not delivered as of 2026-09-17; shipvault schedules 2027-04
144|Name,fill,144,,Name,Y,False,hold,hold,E'saila,placeholder 'Hull 2697 (SHI)' -> vessel named
145|Delivery year,fill,145,,Delivery year,Y,False,hold,hold,2027,backend 2026; not delivered as of 2026-09-17; shipvault schedules 2027-06
162|Delivery year,fill,162,,Delivery year,Y,False,hold,hold,2027,backend 2026; not delivered as of 2026-09-17; shipvault schedules 2027-06
181|Status,fill,181,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2025-03-31, yard HYUNDAI HEAVY INDUSTRIES CO"
181|Delivery year,fill,181,,Delivery year,G,False,accept,accept,2025,backend 2026 -> delivered 2025-03-31 per shipvault
181|Name,fill,181,,Name,G,False,accept,accept,Puteri Sarawak,placeholder 'Hull 3371 (HDHHI)' -> vessel named
184|Status,fill,184,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2026-04-16, yard HYUNDAI HEAVY INDUSTRIES CO"
184|Name,fill,184,,Name,G,False,accept,accept,Barzan,placeholder 'Hull 3385 (HDHHI)' -> vessel named
185|Status,fill,185,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2026-05-19, yard HYUNDAI HEAVY INDUSTRIES CO"
185|Name,fill,185,,Name,G,False,accept,accept,Umm Wishah,placeholder 'Hull 3386 (HDHHI)' -> vessel named
189|Status,fill,189,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2025-08-18, yard HYUNDAI HEAVY INDUSTRIES CO"
189|Delivery year,fill,189,,Delivery year,G,False,accept,accept,2025,backend 2026 -> delivered 2025-08-18 per shipvault
189|Name,fill,189,,Name,G,False,accept,accept,Al Zuwair,placeholder 'Hull 3395 (HDHHI)' -> vessel named
190|Status,fill,190,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2025-12-16, yard HYUNDAI HEAVY INDUSTRIES CO"
190|Delivery year,fill,190,,Delivery year,G,False,accept,accept,2025,backend 2026 -> delivered 2025-12-16 per shipvault
190|Name,fill,190,,Name,G,False,accept,accept,Sharq,placeholder 'Hull 3396 (HDHHI)' -> vessel named
191|Status,fill,191,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2026-01-16, yard HYUNDAI HEAVY INDUSTRIES CO"
192|Status,fill,192,,Status,G,False,accept,accept,active,"shipvault: status ACTIVE, delivered 2026-07-16, yard HYUNDAI HEAVY INDUSTRIES CO"
192|Name,fill,192,,Name,G,False,accept,accept,Halwan,placeholder 'Hull 3398 (HDHHI)' -> vessel named
193|Name,fill,193,,Name,G,False,accept,accept,Al Thumaid,placeholder 'Hull 3399 (HDHHI)' -> vessel named
194|Name,fill,194,,Name,G,False,accept,accept,Al Mazrooah,placeholder 'Hull 3400 (HDHHI)' -> vessel named
195|Name,fill,195,,Name,G,False,accept,accept,Qaffal,placeholder 'Hull 3401 (HDHHI)' -> vessel named
