op,key,column,value
append,C2,Status,on order
append,C2,Status [ref],https://www.globenewswire.com/news-release/2026/07/01/3320982/0/en/TEN-Ltd-Announces-Second-LNG-Carrier-Order-in-Hyundai-Heavy-Industries.html
append,C2,Shipowner,Tsakos
append,C2,Shipowner [ref],https://www.globenewswire.com/news-release/2026/07/01/3320982/0/en/TEN-Ltd-Announces-Second-LNG-Carrier-Order-in-Hyundai-Heavy-Industries.html
append,C2,Shipbuilder,HD Hyundai Heavy Industries
append,C2,Shipbuilder [ref],https://www.globenewswire.com/news-release/2026/07/01/3320982/0/en/TEN-Ltd-Announces-Second-LNG-Carrier-Order-in-Hyundai-Heavy-Industries.html
append,C2,Vessel type,conventional
append,C2,Delivery year,2029
append,C2,Delivery year [ref],https://www.globenewswire.com/news-release/2026/07/01/3320982/0/en/TEN-Ltd-Announces-Second-LNG-Carrier-Order-in-Hyundai-Heavy-Industries.html
append,C2,Contract date,01-Jul-2026
append,C2,Contract date [ref],https://www.globenewswire.com/news-release/2026/07/01/3320982/0/en/TEN-Ltd-Announces-Second-LNG-Carrier-Order-in-Hyundai-Heavy-Industries.html
append,C2,Price,254000000
append,C2,Price [ref],https://www.rivieramm.com/news-content-hub/tsakos-orders-second-lng-carrier-in-korea-lifting-orderbook-to-20-vessels-89259
append,C2,Operator/charterer,Tsakos
append,C2,Operator/charterer [ref],https://www.globenewswire.com/news-release/2026/07/01/3320982/0/en/TEN-Ltd-Announces-Second-LNG-Carrier-Order-in-Hyundai-Heavy-Industries.html
append,C2,Name,HD Hyundai HI (HHI) Ulsan (Tsakos 2)
append,C2,Price currency,USD
append,C2,Shipbuilder yard country/area,South Korea
append,C2,Shipbuilder yard country/area [ref],https://www.hd.com/en/main
append,C2,Yard location latitude,35.51613
append,C2,Yard location longitude,129.4383
append,C2,Yard location plus code,GC8Q+M6 Ulsan
append,C2,Yard location accuracy,exact
append,C2,Yard location lat/lon [ref],https://www.google.com/maps/place/HD+Hyundai+Heavy+Industries+Ulsan+Shipyard/data=!3m1!1e3!4m10!1m2!2m1!1sHD+Hyundai!3m6!1s0x3567ce56ebbfb645:0xd94a696f9fca5d90!8m2!3d35.5167468!4d129.4380269!15sCgpIRCBIeXVuZGFpkgEIc2hpcHlhcmTgAQA!16s%2Fg%2F1tfhd8y1?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
append,C4.1,Status,on order
append,C4.1,Status [ref],"https://www.worldoil.com/news/2026/7/10/adnoc-l-s-orders-four-lng-carriers-to-expand-global-shipping-fleet/, https://gasprocessingnews.com/news/2026/07/adnoc-ls-expands-lng-fleet-with-order-for-four-new-carriers/"
append,C4.1,Shipowner,ADNOC L&S
append,C4.1,Shipowner [ref],https://www.worldoil.com/news/2026/7/10/adnoc-l-s-orders-four-lng-carriers-to-expand-global-shipping-fleet/
append,C4.1,Shipbuilder,Jiangnan Shipyard
append,C4.1,Shipbuilder [ref],"https://www.worldoil.com/news/2026/7/10/adnoc-l-s-orders-four-lng-carriers-to-expand-global-shipping-fleet/, http://www.chinashipbuild.com/ship.aspx?pklujyukkpp4JsCcXanmkhTk8Pl4EN"
append,C4.1,Capacity,175000
append,C4.1,Capacity [ref],"https://www.worldoil.com/news/2026/7/10/adnoc-l-s-orders-four-lng-carriers-to-expand-global-shipping-fleet/, https://gasprocessingnews.com/news/2026/07/adnoc-ls-expands-lng-fleet-with-order-for-four-new-carriers/, http://www.chinashipbuild.com/ship.aspx?pklujyukkpp4JsCcXanmkhTk8Pl4EN"
append,C4.1,Delivery year,2029
append,C4.1,Delivery year [ref],"https://www.worldoil.com/news/2026/7/10/adnoc-l-s-orders-four-lng-carriers-to-expand-global-shipping-fleet/, https://gasprocessingnews.com/news/2026/07/adnoc-ls-expands-lng-fleet-with-order-for-four-new-carriers/"
append,C4.1,Contract date,10-Jul-2026
append,C4.1,Contract date [ref],https://www.worldoil.com/news/2026/7/10/adnoc-l-s-orders-four-lng-carriers-to-expand-global-shipping-fleet/
append,C4.1,Name,Hull H2706
append,C4.1,Hull number,Hull H2706
append,C4.1,IMO number,1193579
append,C4.1,Hull number [ref],"https://www.shipvault.com/ships/502918, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/502918"
append,C4.1,IMO number [ref],"https://www.shipvault.com/ships/502918, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/502918"
append,C4.1,Capacity units,cbm
append,C4.1,Shipbuilder yard country/area,China
append,C4.1,Shipbuilder yard country/area [ref],https://www.jnshipyard.com.cn/
append,C4.1,Yard location latitude,31.355766
append,C4.1,Yard location longitude,121.502217
append,C4.1,Yard location plus code,"9G32+XJ Baoshan, Shanghai, China"
append,C4.1,Yard location accuracy,exact
append,C4.1,Yard location lat/lon [ref],"https://www.google.com/maps/place/Jiangnan+Shipyard+%EF%BC%88Group%EF%BC%89+Co.,+Ltd./@31.354923,121.4990201,752m/data=!3m2!1e3!4b1!4m6!3m5!1s0x35b27324c39e47ab:0x7a74ae921f6eb2ab!8m2!3d31.354923!4d121.501595!16s%2Fg%2F11cnpghcr_?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D"
append,C4.2,Status,on order
append,C4.2,Status [ref],"https://www.worldoil.com/news/2026/7/10/adnoc-l-s-orders-four-lng-carriers-to-expand-global-shipping-fleet/, https://gasprocessingnews.com/news/2026/07/adnoc-ls-expands-lng-fleet-with-order-for-four-new-carriers/"
append,C4.2,Shipowner,ADNOC L&S
append,C4.2,Shipowner [ref],https://www.worldoil.com/news/2026/7/10/adnoc-l-s-orders-four-lng-carriers-to-expand-global-shipping-fleet/
append,C4.2,Shipbuilder,Jiangnan Shipyard
append,C4.2,Shipbuilder [ref],"https://www.worldoil.com/news/2026/7/10/adnoc-l-s-orders-four-lng-carriers-to-expand-global-shipping-fleet/, http://www.chinashipbuild.com/ship.aspx?pklujyukkpp4JsCcXanmkhTk8Pl4EN"
append,C4.2,Capacity,175000
append,C4.2,Capacity [ref],"https://www.worldoil.com/news/2026/7/10/adnoc-l-s-orders-four-lng-carriers-to-expand-global-shipping-fleet/, https://gasprocessingnews.com/news/2026/07/adnoc-ls-expands-lng-fleet-with-order-for-four-new-carriers/, http://www.chinashipbuild.com/ship.aspx?pklujyukkpp4JsCcXanmkhTk8Pl4EN"
append,C4.2,Delivery year,2029
append,C4.2,Delivery year [ref],"https://www.worldoil.com/news/2026/7/10/adnoc-l-s-orders-four-lng-carriers-to-expand-global-shipping-fleet/, https://gasprocessingnews.com/news/2026/07/adnoc-ls-expands-lng-fleet-with-order-for-four-new-carriers/"
append,C4.2,Contract date,10-Jul-2026
append,C4.2,Contract date [ref],https://www.worldoil.com/news/2026/7/10/adnoc-l-s-orders-four-lng-carriers-to-expand-global-shipping-fleet/
append,C4.2,Name,Hull H2707
append,C4.2,Hull number,Hull H2707
append,C4.2,IMO number,1193608
append,C4.2,Hull number [ref],"https://www.shipvault.com/ships/502919, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/502919"
append,C4.2,IMO number [ref],"https://www.shipvault.com/ships/502919, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/502919"
append,C4.2,Capacity units,cbm
append,C4.2,Shipbuilder yard country/area,China
append,C4.2,Shipbuilder yard country/area [ref],https://www.jnshipyard.com.cn/
append,C4.2,Yard location latitude,31.355766
append,C4.2,Yard location longitude,121.502217
append,C4.2,Yard location plus code,"9G32+XJ Baoshan, Shanghai, China"
append,C4.2,Yard location accuracy,exact
append,C4.2,Yard location lat/lon [ref],"https://www.google.com/maps/place/Jiangnan+Shipyard+%EF%BC%88Group%EF%BC%89+Co.,+Ltd./@31.354923,121.4990201,752m/data=!3m2!1e3!4b1!4m6!3m5!1s0x35b27324c39e47ab:0x7a74ae921f6eb2ab!8m2!3d31.354923!4d121.501595!16s%2Fg%2F11cnpghcr_?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D"
append,C4.3,Status,on order
