tier,severity,sheet_rows,row_ids,builder,owner,match_key,reason,recommendation
2,MED,1091 + 1162,1150 + 1209,Samsung Heavy Industries,Seapeak,samsung|seapeak|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'Samsung HI 2775' / 'Samsung HI (Seapeak 1)').,verify by source: is the placeholder the same slot as the named row?
2,MED,1091 + 1163,1150 + 1210,Samsung Heavy Industries,Seapeak,samsung|seapeak|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'Samsung HI 2775' / 'Samsung HI (Seapeak 2)').,verify by source: is the placeholder the same slot as the named row?
2,MED,1091 + 1164,1150 + 1211,Samsung Heavy Industries,Seapeak,samsung|seapeak|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'Samsung HI 2775' / 'Samsung HI (Seapeak 3)').,verify by source: is the placeholder the same slot as the named row?
2,MED,1092 + 1162,1151 + 1209,Samsung Heavy Industries,Seapeak,samsung|seapeak|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'Samsung HI 2776' / 'Samsung HI (Seapeak 1)').,verify by source: is the placeholder the same slot as the named row?
2,MED,1092 + 1163,1151 + 1210,Samsung Heavy Industries,Seapeak,samsung|seapeak|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'Samsung HI 2776' / 'Samsung HI (Seapeak 2)').,verify by source: is the placeholder the same slot as the named row?
2,MED,1092 + 1164,1151 + 1211,Samsung Heavy Industries,Seapeak,samsung|seapeak|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'Samsung HI 2776' / 'Samsung HI (Seapeak 3)').,verify by source: is the placeholder the same slot as the named row?
2,MED,1105 + 1158,1175 + 1205,Hanwha Ocean,Knutsen OAS,hanwha-ocean|knutsen|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'Hanwha Ocean Geoje 2616' / 'Hanwha Ocean (Knutsen OAS 1)').,verify by source: is the placeholder the same slot as the named row?
2,MED,1106 + 1158,1176 + 1205,Hanwha Ocean,Knutsen OAS,hanwha-ocean|knutsen|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'Hanwha Ocean Geoje 2617' / 'Hanwha Ocean (Knutsen OAS 1)').,verify by source: is the placeholder the same slot as the named row?
2,MED,1107 + 1158,1177 + 1205,Hanwha Ocean,Knutsen OAS,hanwha-ocean|knutsen|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'Hanwha Ocean Geoje 2618' / 'Hanwha Ocean (Knutsen OAS 1)').,verify by source: is the placeholder the same slot as the named row?
2,MED,1108 + 1158,1178 + 1205,Hanwha Ocean,Knutsen OAS,hanwha-ocean|knutsen|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'Hanwha Ocean Geoje 2619' / 'Hanwha Ocean (Knutsen OAS 1)').,verify by source: is the placeholder the same slot as the named row?
