a1,live_row,column,restore_value
I1226,1226,Hull number,
J1226,1226,Hull number [ref],
K1226,1226,Status,
N1226,1226,Status [ref],
O1226,1226,Shipowner,
P1226,1226,Shipowner [ref],
Q1226,1226,Shipowner country/area,
R1226,1226,Shipowner country/area [ref],
S1226,1226,Shipbuilder,
T1226,1226,Shipbuilder [ref],
AB1226,1226,Capacity,
AD1226,1226,Capacity [ref],
AK1226,1226,Delivery year,
AL1226,1226,Delivery year [ref],
AS1226,1226,Contract date,
AT1226,1226,Contract date [ref],
U1226,1226,Shipbuilder yard country/area,
V1226,1226,Shipbuilder yard country/area [ref],
AC1226,1226,Capacity units,
D1226,1226,Name,Hull H2706
I1227,1227,Hull number,
J1227,1227,Hull number [ref],
K1227,1227,Status,
N1227,1227,Status [ref],
O1227,1227,Shipowner,
P1227,1227,Shipowner [ref],
Q1227,1227,Shipowner country/area,
R1227,1227,Shipowner country/area [ref],
S1227,1227,Shipbuilder,
T1227,1227,Shipbuilder [ref],
AB1227,1227,Capacity,
AD1227,1227,Capacity [ref],
AK1227,1227,Delivery year,
AL1227,1227,Delivery year [ref],
AS1227,1227,Contract date,
AT1227,1227,Contract date [ref],
U1227,1227,Shipbuilder yard country/area,
V1227,1227,Shipbuilder yard country/area [ref],
AC1227,1227,Capacity units,
D1227,1227,Name,Hull H2707
I1228,1228,Hull number,
J1228,1228,Hull number [ref],
K1228,1228,Status,
N1228,1228,Status [ref],
O1228,1228,Shipowner,
P1228,1228,Shipowner [ref],
Q1228,1228,Shipowner country/area,
R1228,1228,Shipowner country/area [ref],
S1228,1228,Shipbuilder,
T1228,1228,Shipbuilder [ref],
AB1228,1228,Capacity,
AD1228,1228,Capacity [ref],
AK1228,1228,Delivery year,
AL1228,1228,Delivery year [ref],
AS1228,1228,Contract date,
AT1228,1228,Contract date [ref],
U1228,1228,Shipbuilder yard country/area,
V1228,1228,Shipbuilder yard country/area [ref],
AC1228,1228,Capacity units,
D1228,1228,Name,Hull H2708
I1229,1229,Hull number,
J1229,1229,Hull number [ref],
K1229,1229,Status,
N1229,1229,Status [ref],
O1229,1229,Shipowner,
P1229,1229,Shipowner [ref],
Q1229,1229,Shipowner country/area,
R1229,1229,Shipowner country/area [ref],
S1229,1229,Shipbuilder,
T1229,1229,Shipbuilder [ref],
AB1229,1229,Capacity,
AD1229,1229,Capacity [ref],
AK1229,1229,Delivery year,
AL1229,1229,Delivery year [ref],
AS1229,1229,Contract date,
AT1229,1229,Contract date [ref],
U1229,1229,Shipbuilder yard country/area,
V1229,1229,Shipbuilder yard country/area [ref],
AC1229,1229,Capacity units,
D1229,1229,Name,Hull H2709
W1226,1226,Yard location latitude,
X1226,1226,Yard location longitude,
Y1226,1226,Yard location plus code,
Z1226,1226,Yard location accuracy,
AA1226,1226,Yard location lat/lon [ref],
W1227,1227,Yard location latitude,
X1227,1227,Yard location longitude,
Y1227,1227,Yard location plus code,
Z1227,1227,Yard location accuracy,
AA1227,1227,Yard location lat/lon [ref],
W1228,1228,Yard location latitude,
X1228,1228,Yard location longitude,
Y1228,1228,Yard location plus code,
Z1228,1228,Yard location accuracy,
AA1228,1228,Yard location lat/lon [ref],
W1229,1229,Yard location latitude,
X1229,1229,Yard location longitude,
Y1229,1229,Yard location plus code,
Z1229,1229,Yard location accuracy,
AA1229,1229,Yard location lat/lon [ref],
