a1,live_row,column,restore_value
K1220,1220,Status,
N1220,1220,Status [ref],
O1220,1220,Shipowner,
P1220,1220,Shipowner [ref],
Q1220,1220,Shipowner country/area,
R1220,1220,Shipowner country/area [ref],
S1220,1220,Shipbuilder,
T1220,1220,Shipbuilder [ref],
AB1220,1220,Capacity,
AD1220,1220,Capacity [ref],
AC1220,1220,Capacity units,
AK1220,1220,Delivery year,
AL1220,1220,Delivery year [ref],
AS1220,1220,Contract date,
AT1220,1220,Contract date [ref],
U1220,1220,Shipbuilder yard country/area,
V1220,1220,Shipbuilder yard country/area [ref],
W1220,1220,Yard location latitude,
X1220,1220,Yard location longitude,
Y1220,1220,Yard location plus code,
Z1220,1220,Yard location accuracy,
AA1220,1220,Yard location lat/lon [ref],
K1221,1221,Status,
N1221,1221,Status [ref],
O1221,1221,Shipowner,
P1221,1221,Shipowner [ref],
Q1221,1221,Shipowner country/area,
R1221,1221,Shipowner country/area [ref],
S1221,1221,Shipbuilder,
T1221,1221,Shipbuilder [ref],
AB1221,1221,Capacity,
AD1221,1221,Capacity [ref],
AC1221,1221,Capacity units,
AK1221,1221,Delivery year,
AL1221,1221,Delivery year [ref],
AS1221,1221,Contract date,
AT1221,1221,Contract date [ref],
U1221,1221,Shipbuilder yard country/area,
V1221,1221,Shipbuilder yard country/area [ref],
W1221,1221,Yard location latitude,
X1221,1221,Yard location longitude,
Y1221,1221,Yard location plus code,
Z1221,1221,Yard location accuracy,
AA1221,1221,Yard location lat/lon [ref],
K1222,1222,Status,
N1222,1222,Status [ref],
O1222,1222,Shipowner,
P1222,1222,Shipowner [ref],
Q1222,1222,Shipowner country/area,
R1222,1222,Shipowner country/area [ref],
S1222,1222,Shipbuilder,
T1222,1222,Shipbuilder [ref],
AB1222,1222,Capacity,
AD1222,1222,Capacity [ref],
AC1222,1222,Capacity units,
AK1222,1222,Delivery year,
AL1222,1222,Delivery year [ref],
AS1222,1222,Contract date,
AT1222,1222,Contract date [ref],
U1222,1222,Shipbuilder yard country/area,
V1222,1222,Shipbuilder yard country/area [ref],
W1222,1222,Yard location latitude,
X1222,1222,Yard location longitude,
Y1222,1222,Yard location plus code,
Z1222,1222,Yard location accuracy,
AA1222,1222,Yard location lat/lon [ref],
K1223,1223,Status,
N1223,1223,Status [ref],
O1223,1223,Shipowner,
P1223,1223,Shipowner [ref],
Q1223,1223,Shipowner country/area,
R1223,1223,Shipowner country/area [ref],
S1223,1223,Shipbuilder,
T1223,1223,Shipbuilder [ref],
AB1223,1223,Capacity,
AD1223,1223,Capacity [ref],
AC1223,1223,Capacity units,
AK1223,1223,Delivery year,
AL1223,1223,Delivery year [ref],
AS1223,1223,Contract date,
AT1223,1223,Contract date [ref],
U1223,1223,Shipbuilder yard country/area,
V1223,1223,Shipbuilder yard country/area [ref],
W1223,1223,Yard location latitude,
X1223,1223,Yard location longitude,
Y1223,1223,Yard location plus code,
Z1223,1223,Yard location accuracy,
AA1223,1223,Yard location lat/lon [ref],
D1230,1230,Name,Hull H2858
I1230,1230,Hull number,
J1230,1230,Hull number [ref],
K1230,1230,Status,
N1230,1230,Status [ref],
O1230,1230,Shipowner,
P1230,1230,Shipowner [ref],
Q1230,1230,Shipowner country/area,
R1230,1230,Shipowner country/area [ref],
S1230,1230,Shipbuilder,
T1230,1230,Shipbuilder [ref],
AB1230,1230,Capacity,
AD1230,1230,Capacity [ref],
AC1230,1230,Capacity units,
AK1230,1230,Delivery year,
AL1230,1230,Delivery year [ref],
AS1230,1230,Contract date,
AT1230,1230,Contract date [ref],
U1230,1230,Shipbuilder yard country/area,
V1230,1230,Shipbuilder yard country/area [ref],
W1230,1230,Yard location latitude,
X1230,1230,Yard location longitude,
Y1230,1230,Yard location plus code,
Z1230,1230,Yard location accuracy,
AA1230,1230,Yard location lat/lon [ref],
D1231,1231,Name,Hull H2859
I1231,1231,Hull number,
J1231,1231,Hull number [ref],
K1231,1231,Status,
N1231,1231,Status [ref],
O1231,1231,Shipowner,
P1231,1231,Shipowner [ref],
Q1231,1231,Shipowner country/area,
R1231,1231,Shipowner country/area [ref],
S1231,1231,Shipbuilder,
T1231,1231,Shipbuilder [ref],
AB1231,1231,Capacity,
AD1231,1231,Capacity [ref],
AC1231,1231,Capacity units,
AK1231,1231,Delivery year,
AL1231,1231,Delivery year [ref],
AS1231,1231,Contract date,
AT1231,1231,Contract date [ref],
U1231,1231,Shipbuilder yard country/area,
V1231,1231,Shipbuilder yard country/area [ref],
W1231,1231,Yard location latitude,
X1231,1231,Yard location longitude,
Y1231,1231,Yard location plus code,
Z1231,1231,Yard location accuracy,
AA1231,1231,Yard location lat/lon [ref],
Q1170,1170,Shipowner country/area,Bermuda
R1170,1170,Shipowner country/area [ref],https://cyprusshippingnews.com/2026/06/02/samsung-heavy-wins-five-vessel-order/
