a1,live_row,column,restore_value
B1224,1224,IMO number,
C1224,1224,IMO number [ref],
D1224,1224,Name,HD Hyundai HI (HDHHI) Ulsan (Tsakos 2)
E1224,1224,Name [ref],
I1224,1224,Hull number,
J1224,1224,Hull number [ref],
K1224,1224,Status,
N1224,1224,Status [ref],
O1224,1224,Shipowner,
P1224,1224,Shipowner [ref],
S1224,1224,Shipbuilder,
T1224,1224,Shipbuilder [ref],
AB1224,1224,Capacity,
AD1224,1224,Capacity [ref],
AC1224,1224,Capacity units,
AK1224,1224,Delivery year,
AL1224,1224,Delivery year [ref],
AS1224,1224,Contract date,
AT1224,1224,Contract date [ref],
AU1224,1224,Price,
AW1224,1224,Price [ref],
AV1224,1224,Price currency,
U1224,1224,Shipbuilder yard country/area,
V1224,1224,Shipbuilder yard country/area [ref],
W1224,1224,Yard location latitude,
X1224,1224,Yard location longitude,
Y1224,1224,Yard location plus code,
Z1224,1224,Yard location accuracy,
AA1224,1224,Yard location lat/lon [ref],
D1170,1170,Name,Samsung HI (unknown shipowner 2)
E1170,1170,Name [ref],"https://www.asiae.co.kr/en/article/IT/2026060809373146202, https://lngprime.com/asia/south-koreas-samsung-heavy-clinches-another-lng-carrier-order/188654/"
