tier,severity,sheet_rows,row_ids,builder,owner,match_key,reason,recommendation
2,MED,1050 + 1160,166 + 1207,Samsung Heavy Industries,TMS Cardiff Gas,samsung|tms-cardiff|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'Hull 2754 (SHI)' / 'Samsung HI (TMS Cardiff Gas 1)').,verify by source: is the placeholder the same slot as the named row?
2,MED,1050 + 1161,166 + 1208,Samsung Heavy Industries,TMS Cardiff Gas,samsung|tms-cardiff|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'Hull 2754 (SHI)' / 'Samsung HI (TMS Cardiff Gas 2)').,verify by source: is the placeholder the same slot as the named row?
2,MED,1051 + 1160,167 + 1207,Samsung Heavy Industries,TMS Cardiff Gas,samsung|tms-cardiff|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'Hull 2755 (SHI)' / 'Samsung HI (TMS Cardiff Gas 1)').,verify by source: is the placeholder the same slot as the named row?
2,MED,1051 + 1161,167 + 1208,Samsung Heavy Industries,TMS Cardiff Gas,samsung|tms-cardiff|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'Hull 2755 (SHI)' / 'Samsung HI (TMS Cardiff Gas 2)').,verify by source: is the placeholder the same slot as the named row?
2,MED,1052 + 1160,168 + 1207,Samsung Heavy Industries,TMS Cardiff Gas,samsung|tms-cardiff|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'Hull 2756 (SHI)' / 'Samsung HI (TMS Cardiff Gas 1)').,verify by source: is the placeholder the same slot as the named row?
2,MED,1052 + 1161,168 + 1208,Samsung Heavy Industries,TMS Cardiff Gas,samsung|tms-cardiff|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'Hull 2756 (SHI)' / 'Samsung HI (TMS Cardiff Gas 2)').,verify by source: is the placeholder the same slot as the named row?
2,MED,1053 + 1160,169 + 1207,Samsung Heavy Industries,TMS Cardiff Gas,samsung|tms-cardiff|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'Hull 2757 (SHI)' / 'Samsung HI (TMS Cardiff Gas 1)').,verify by source: is the placeholder the same slot as the named row?
2,MED,1053 + 1161,169 + 1208,Samsung Heavy Industries,TMS Cardiff Gas,samsung|tms-cardiff|170000,placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2028 vs 2029 (names: 'Hull 2757 (SHI)' / 'Samsung HI (TMS Cardiff Gas 2)').,verify by source: is the placeholder the same slot as the named row?
2,MED,778 + 943,261 + 1092,Hudong-Zhonghua Shipbuilding,"MISC, NYK Line, K Line, China LNG",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2025 vs 2026 (names: 'Al Tuwar' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 3)').",verify by source: is the placeholder the same slot as the named row?
2,MED,778 + 1217,261 + 1224,Hudong-Zhonghua Shipbuilding,"MISC, NYK Line, K Line, China LNG",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'Al Tuwar' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 4)').",verify by source: is the placeholder the same slot as the named row?
2,MED,778 + 1218,261 + 1225,Hudong-Zhonghua Shipbuilding,"MISC, NYK Line, K Line, China LNG",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'Al Tuwar' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 5)').",verify by source: is the placeholder the same slot as the named row?
2,MED,778 + 1219,261 + 1226,Hudong-Zhonghua Shipbuilding,"MISC, NYK Line, K Line, China LNG",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'Al Tuwar' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 6)').",verify by source: is the placeholder the same slot as the named row?
2,MED,779 + 943,262 + 1092,Hudong-Zhonghua Shipbuilding,"MISC, NYK Line, K Line, China LNG",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2025 vs 2026 (names: 'Al Mashabiyyah' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 3)').",verify by source: is the placeholder the same slot as the named row?
2,MED,779 + 1217,262 + 1224,Hudong-Zhonghua Shipbuilding,"MISC, NYK Line, K Line, China LNG",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'Al Mashabiyyah' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 4)').",verify by source: is the placeholder the same slot as the named row?
2,MED,779 + 1218,262 + 1225,Hudong-Zhonghua Shipbuilding,"MISC, NYK Line, K Line, China LNG",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'Al Mashabiyyah' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 5)').",verify by source: is the placeholder the same slot as the named row?
