op,key,column,value
set,36edbcc5-b98e-420c-85fb-2976327dddd2,Delivery year [ref],"https://www.shipvault.com/ships/456060, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/456060"
set,36edbcc5-b98e-420c-85fb-2976327dddd2,Status [ref],"https://www.shipvault.com/ships/456060, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/456060"
set,58fe6da4-234c-40a7-90dc-e9be4064e672,Contract date [ref],"https://www.shipvault.com/ships/465056, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465056"
set,58fe6da4-234c-40a7-90dc-e9be4064e672,Delivery year [ref],"https://www.shipvault.com/ships/465056, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465056"
set,58fe6da4-234c-40a7-90dc-e9be4064e672,Hull number [ref],"https://www.shipvault.com/ships/465056, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465056"
set,58fe6da4-234c-40a7-90dc-e9be4064e672,IMO number [ref],"https://www.shipvault.com/ships/465056, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465056"
set,58fe6da4-234c-40a7-90dc-e9be4064e672,Name [ref],"https://www.shipvault.com/ships/465056, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465056"
set,58fe6da4-234c-40a7-90dc-e9be4064e672,Shipbuilder [ref],"https://www.shipvault.com/ships/465056, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465056"
set,58fe6da4-234c-40a7-90dc-e9be4064e672,Shipowner [ref],"https://www.shipvault.com/ships/465056, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465056"
set,58fe6da4-234c-40a7-90dc-e9be4064e672,Status [ref],"https://www.shipvault.com/ships/465056, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465056"
set,56cc49d6-e55c-42cb-84e8-632d52e0bd02,Contract date [ref],"https://www.shipvault.com/ships/470097, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/470097"
set,56cc49d6-e55c-42cb-84e8-632d52e0bd02,Delivery year [ref],"https://www.shipvault.com/ships/470097, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/470097"
set,56cc49d6-e55c-42cb-84e8-632d52e0bd02,Hull number [ref],"https://www.shipvault.com/ships/470097, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/470097"
set,56cc49d6-e55c-42cb-84e8-632d52e0bd02,IMO number [ref],"https://www.shipvault.com/ships/470097, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/470097"
set,56cc49d6-e55c-42cb-84e8-632d52e0bd02,Price [ref],"https://www.shipvault.com/ships/470097, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/470097"
set,56cc49d6-e55c-42cb-84e8-632d52e0bd02,Shipbuilder [ref],"https://www.shipvault.com/ships/470097, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/470097"
set,56cc49d6-e55c-42cb-84e8-632d52e0bd02,Shipowner [ref],"https://www.shipvault.com/ships/470097, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/470097"
set,56cc49d6-e55c-42cb-84e8-632d52e0bd02,Status [ref],"https://www.shipvault.com/ships/470097, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/470097"
set,c502ab10-5f4a-437d-ad3d-9ce1bc7c0a92,Contract date [ref],"https://www.shipvault.com/ships/469431, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/469431"
set,c502ab10-5f4a-437d-ad3d-9ce1bc7c0a92,Delivery year [ref],"https://www.shipvault.com/ships/469431, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/469431"
set,c502ab10-5f4a-437d-ad3d-9ce1bc7c0a92,Hull number [ref],"https://www.shipvault.com/ships/469431, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/469431"
set,c502ab10-5f4a-437d-ad3d-9ce1bc7c0a92,IMO number [ref],"https://www.shipvault.com/ships/469431, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/469431"
set,c502ab10-5f4a-437d-ad3d-9ce1bc7c0a92,Name [ref],"https://www.shipvault.com/ships/469431, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/469431"
set,c502ab10-5f4a-437d-ad3d-9ce1bc7c0a92,Price [ref],"https://www.shipvault.com/ships/469431, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/469431"
set,c502ab10-5f4a-437d-ad3d-9ce1bc7c0a92,Shipbuilder [ref],"https://www.shipvault.com/ships/469431, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/469431"
