id,kind,row_id,cluster_id,column,confidence,derivable,default,decision,proposed_value,note
29|Delivery year,fill,29,,Delivery year,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/456060,live row 840: the cited shipvault page renders blank (site bug); companion unit 
29|Status,fill,29,,Status,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/456060,live row 840: the cited shipvault page renders blank (site bug); companion unit 
72|Contract date,fill,72,,Contract date,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465056,live row 946: the cited shipvault page renders blank (site bug); companion unit 
72|Delivery year,fill,72,,Delivery year,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465056,live row 946: the cited shipvault page renders blank (site bug); companion unit 
72|Hull number,fill,72,,Hull number,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465056,live row 946: the cited shipvault page renders blank (site bug); companion unit 
72|IMO number,fill,72,,IMO number,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465056,live row 946: the cited shipvault page renders blank (site bug); companion unit 
72|Name,fill,72,,Name,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465056,live row 946: the cited shipvault page renders blank (site bug); companion unit 
72|Shipbuilder,fill,72,,Shipbuilder,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465056,live row 946: the cited shipvault page renders blank (site bug); companion unit 
72|Shipowner,fill,72,,Shipowner,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465056,live row 946: the cited shipvault page renders blank (site bug); companion unit 
72|Status,fill,72,,Status,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465056,live row 946: the cited shipvault page renders blank (site bug); companion unit 
74|Contract date,fill,74,,Contract date,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/470097,live row 948: the cited shipvault page renders blank (site bug); companion unit 
74|Delivery year,fill,74,,Delivery year,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/470097,live row 948: the cited shipvault page renders blank (site bug); companion unit 
74|Hull number,fill,74,,Hull number,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/470097,live row 948: the cited shipvault page renders blank (site bug); companion unit 
74|IMO number,fill,74,,IMO number,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/470097,live row 948: the cited shipvault page renders blank (site bug); companion unit 
74|Price,fill,74,,Price,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/470097,live row 948: the cited shipvault page renders blank (site bug); companion unit 
74|Shipbuilder,fill,74,,Shipbuilder,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/470097,live row 948: the cited shipvault page renders blank (site bug); companion unit 
74|Shipowner,fill,74,,Shipowner,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/470097,live row 948: the cited shipvault page renders blank (site bug); companion unit 
74|Status,fill,74,,Status,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/470097,live row 948: the cited shipvault page renders blank (site bug); companion unit 
78|Contract date,fill,78,,Contract date,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/469431,live row 950: the cited shipvault page renders blank (site bug); companion unit 
78|Delivery year,fill,78,,Delivery year,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/469431,live row 950: the cited shipvault page renders blank (site bug); companion unit 
78|Hull number,fill,78,,Hull number,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/469431,live row 950: the cited shipvault page renders blank (site bug); companion unit 
78|IMO number,fill,78,,IMO number,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/469431,live row 950: the cited shipvault page renders blank (site bug); companion unit 
78|Name,fill,78,,Name,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/469431,live row 950: the cited shipvault page renders blank (site bug); companion unit 
78|Price,fill,78,,Price,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/469431,live row 950: the cited shipvault page renders blank (site bug); companion unit 
78|Shipbuilder,fill,78,,Shipbuilder,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/469431,live row 950: the cited shipvault page renders blank (site bug); companion unit 
78|Shipowner,fill,78,,Shipowner,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/469431,live row 950: the cited shipvault page renders blank (site bug); companion unit 
78|Status,fill,78,,Status,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/469431,live row 950: the cited shipvault page renders blank (site bug); companion unit 
92|Contract date,fill,92,,Contract date,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478881,live row 1025: the cited shipvault page renders blank (site bug); companion unit
92|Delivery year,fill,92,,Delivery year,Y,False,hold,accept,https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478881,live row 1025: the cited shipvault page renders blank (site bug); companion unit
