op,key,column,value
set,a88b80ec-7598-4f06-82df-6f4b0427b6b6,Cargo type,spherical
set,a88b80ec-7598-4f06-82df-6f4b0427b6b6,Cargo type [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,a88b80ec-7598-4f06-82df-6f4b0427b6b6,Propulsion type,steam
set,a88b80ec-7598-4f06-82df-6f4b0427b6b6,Propulsion type [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,a88b80ec-7598-4f06-82df-6f4b0427b6b6,Capacity,125000
set,a88b80ec-7598-4f06-82df-6f4b0427b6b6,Capacity [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,a88b80ec-7598-4f06-82df-6f4b0427b6b6,Capacity units,cbm
set,a88b80ec-7598-4f06-82df-6f4b0427b6b6,Name,LNGT Antarctica
set,a88b80ec-7598-4f06-82df-6f4b0427b6b6,Name [ref],"https://www.offshoreshipadvisor.com/lngt-antarctica-8608872-636023902/, https://www.vesseltracker.com/en/Ships/Lngt-Antarctica-8608872.html"
set,8fc2eaee-ee29-49c0-932c-6187abfb1240,Name,KLNGTP Americas
set,8fc2eaee-ee29-49c0-932c-6187abfb1240,Name [ref],https://www.vesseltracker.com/en/Ships/Klngtp-Americas-9045132.html
set,0c32829c-b9ce-4501-9e7b-d6cff33404a8,Name,American Energy
set,0c32829c-b9ce-4501-9e7b-d6cff33404a8,Name [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,d53f6203-3f1d-4349-9d80-901d157eaab6,Name,Arctic Vostok
set,d53f6203-3f1d-4349-9d80-901d157eaab6,Name [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,8cf2979f-584a-4e56-a8a7-3ff6353f64a9,Name,Gas Polaris
set,8cf2979f-584a-4e56-a8a7-3ff6353f64a9,Name [ref],"https://www.vesseltracker.com/en/Ships/Gas-Polaris-9230048.html, https://www.marinetraffic.org/ship-owner-manager-ism-data/GAS-POLARIS/9230048/525121118"
set,ecef3c72-39cc-49b4-aef5-cbee5590aee5,Name,Arunika Jaya
set,ecef3c72-39cc-49b4-aef5-cbee5590aee5,Name [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,9f5f5793-f18e-447b-8ca5-d4525b7c376d,Name,SC Serenity
set,9f5f5793-f18e-447b-8ca5-d4525b7c376d,Name [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,25f289d6-28c8-47e8-8474-53f9d490857d,Name,Arctic Metagaz
set,25f289d6-28c8-47e8-8474-53f9d490857d,Name [ref],"https://www.vesseltracker.com/en/Ships/Arctic-Metagaz-9243148.html, https://www.marinetraffic.org/ship-owner-manager-ism-data/ARCTIC-METAGAZ/9243148/1, https://www.shipvault.com/ships/115953, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/115953"
set,2c37ff0e-35c4-4966-b7c5-0cd946d88960,Vessel type,FSU
set,2c37ff0e-35c4-4966-b7c5-0cd946d88960,Vessel type [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,6da2cfdf-1767-4ad1-9bf6-fa2ffbf46799,Name,Hongkong Energy
set,6da2cfdf-1767-4ad1-9bf6-fa2ffbf46799,Name [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,6da2cfdf-1767-4ad1-9bf6-fa2ffbf46799,Status,scrapped
set,6da2cfdf-1767-4ad1-9bf6-fa2ffbf46799,Status [ref],"https://www.shipvault.com/ships/116466, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/116466, https://www.vesseltracker.com/en/Ships/Ergy-9250725.html"
set,a035963e-b77d-4db8-81dd-19ae6659bdff,Name,Gas Garuda
set,a035963e-b77d-4db8-81dd-19ae6659bdff,Name [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,cafc5599-dc0f-4b9d-96e2-5d15a550d2c3,Name,Arctic Pioneer
set,cafc5599-dc0f-4b9d-96e2-5d15a550d2c3,Name [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
