op,key,column,value
set,703,Status,on order
set,703,Status [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,703,Delivery year,2027
set,703,Delivery year [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,703,Previous delivery year(s),2025
set,703,Previous delivery year(s) [ref],https://www.datocms-assets.com/146580/1763396210-1747916410-igu-world-lng-report-2025.pdf
set,703,Delivery delayed,yes
set,752,Status,on order
set,752,Status [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,752,Delivery year,2027
set,752,Delivery year [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,752,Previous delivery year(s),2025
set,752,Previous delivery year(s) [ref],https://www.datocms-assets.com/146580/1763396210-1747916410-igu-world-lng-report-2025.pdf
set,752,Delivery delayed,yes
set,916,Status,on order
set,916,Status [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,916,Delivery year,2027
set,916,Delivery year [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,916,Previous delivery year(s),2025
set,916,Previous delivery year(s) [ref],https://www.datocms-assets.com/146580/1763396210-1747916410-igu-world-lng-report-2025.pdf
set,916,Delivery delayed,yes
set,917,Status,on order
set,917,Status [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,917,Delivery year,2027
set,917,Delivery year [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,917,Previous delivery year(s),2025
set,917,Previous delivery year(s) [ref],https://www.datocms-assets.com/146580/1763396210-1747916410-igu-world-lng-report-2025.pdf
set,917,Delivery delayed,yes
set,981,Status,on order
set,981,Status [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,981,Delivery year,2027
set,981,Delivery year [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,981,Previous delivery year(s),2025
set,981,Previous delivery year(s) [ref],https://www.datocms-assets.com/146580/1763396210-1747916410-igu-world-lng-report-2025.pdf
set,981,Delivery delayed,yes
set,1143,Status,on order
set,1143,Status [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,1143,Delivery year,2027
set,1143,Delivery year [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,1143,Previous delivery year(s),2025
set,1143,Previous delivery year(s) [ref],https://www.datocms-assets.com/146580/1763396210-1747916410-igu-world-lng-report-2025.pdf
set,1143,Delivery delayed,yes
