original order in sheet,IMO number,IMO number [ref],Name,Name [ref],Notes,Other names,Other names [ref],Hull number,Hull number [ref],Status,Researcher,Last updated,Status [ref],Shipowner,Shipowner [ref],Shipowner country/area,Shipowner country/area [ref],Shipbuilder,Shipbuilder [ref],Shipbuilder yard country/area,Shipbuilder yard country/area [ref],Yard location latitude,Yard location longitude,Yard location plus code,Yard location accuracy,Yard location lat/lon [ref],Capacity,Capacity units,Capacity [ref],Cargo type,Cargo type [ref],Vessel type,Vessel type [ref],Propulsion type,Propulsion type [ref],Delivery year,Delivery year [ref],Delivery delayed,Previous delivery year(s),Previous delivery year(s) [ref],[Original source],Operator/charterer,Operator/charterer [ref],Contract date,Contract date [ref],Price,Price currency,Price [ref]
39,9961398,https://www.igu.org/igu-reports/2025-world-lng-report,Maran Gas Syros,https://www.vesselfinder.com/vessels/details/9961398,,Hull 2537 (Hanwha),https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,Hull 2537 (Hanwha),https://www.marinevesseltraffic.com/vessels/HANWHA-OCEAN-2537/CURRENT-POSITION/9961398/1,active,GEM,12/31/2024,https://www.vesselfinder.com/vessels/details/9961398,Maran Gas Maritime,https://www.igu.org/igu-reports/2025-world-lng-report,Greece,"https://www.sigtto.org/membership/member-stories/maran-gas-maritime-inc-mgm/, https://magicport.ai/owners-managers/greece/maran-gas-maritime-inc",Hanwha Ocean,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.hanwha.com/companies/hanwha-ocean.do,34.87385,128.6966,"VMCW+V7 Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Hanwha+Ocean/data=!3m1!1e3!4m10!1m2!2m1!1sHanwha+Ocean!3m6!1s0x356ecd1d7a72f7db:0x3bfe90e7d8bf93f0!8m2!3d34.8721913!4d128.6956963!15sCgxIYW53aGEgT2NlYW5aDiIMaGFud2hhIG9jZWFukgEfc2hpcGJ1aWxkaW5nX2FuZF9yZXBhaXJfY29tcGFueZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSUmRYVkVTMWhuRUFF4AEA-gEECAAQLA!16s%2Fg%2F11swmd6_76?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,conventional,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,ME-GI,https://www.igu.org/igu-reports/2025-world-lng-report,2025,https://www.igu.org/igu-reports/2025-world-lng-report,,,,IGU,,,,,,,
40,9961403,https://www.igu.org/igu-reports/2025-world-lng-report,Danuta Siedzikowna-Inka,https://www.marinetraffic.org/ship-owner-manager-ism-data/DANUTA-SIEDZIKOWNA-INKA/9961403/1,,,,Hull 2538 (Hanwha),https://www.marinetraffic.org/ship-owner-manager-ism-data/HANWHA-OCEAN-2538/9961403/1,active,GEM,12/31/2024,https://www.marinetraffic.org/ship-owner-manager-ism-data/DANUTA-SIEDZIKOWNA-INKA/9961403/1,Maran Gas Maritime,https://www.igu.org/igu-reports/2025-world-lng-report,Greece,"https://www.sigtto.org/membership/member-stories/maran-gas-maritime-inc-mgm/, https://magicport.ai/owners-managers/greece/maran-gas-maritime-inc",Hanwha Ocean,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.hanwha.com/companies/hanwha-ocean.do,34.87385,128.6966,"VMCW+V7 Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Hanwha+Ocean/data=!3m1!1e3!4m10!1m2!2m1!1sHanwha+Ocean!3m6!1s0x356ecd1d7a72f7db:0x3bfe90e7d8bf93f0!8m2!3d34.8721913!4d128.6956963!15sCgxIYW53aGEgT2NlYW5aDiIMaGFud2hhIG9jZWFukgEfc2hpcGJ1aWxkaW5nX2FuZF9yZXBhaXJfY29tcGFueZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSUmRYVkVTMWhuRUFF4AEA-gEECAAQLA!16s%2Fg%2F11swmd6_76?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,,,conventional,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,ME-GI,https://www.igu.org/igu-reports/2025-world-lng-report,2026,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,yes,2025,https://www.datocms-assets.com/146580/1763396210-1747916410-igu-world-lng-report-2025.pdf,IGU,ORLEN,"https://shippingtelegraph.com/hellenic-shipping-news/angelicoussis-mgm-lng-carrier-newbuild-pair-under-long-term-charter-to-orlen/, https://www.shippingherald.com/maran-gas-maritime-receives-two-lng-carriers/",,,,,
41,9963815,https://www.igu.org/igu-reports/2025-world-lng-report,Rotmistrz Witold Pilecki,https://shipnext.com/vessel/9963815-rotmistrz-witold-pilecki,,,,Hull 2539 (Hanwha),https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,https://www.igu.org/igu-reports/2025-world-lng-report,Maran Gas Maritime,https://www.igu.org/igu-reports/2025-world-lng-report,,,Hanwha Ocean,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.hanwha.com/companies/hanwha-ocean.do,34.87385,128.6966,"VMCW+V7 Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Hanwha+Ocean/data=!3m1!1e3!4m10!1m2!2m1!1sHanwha+Ocean!3m6!1s0x356ecd1d7a72f7db:0x3bfe90e7d8bf93f0!8m2!3d34.8721913!4d128.6956963!15sCgxIYW53aGEgT2NlYW5aDiIMaGFud2hhIG9jZWFukgEfc2hpcGJ1aWxkaW5nX2FuZF9yZXBhaXJfY29tcGFueZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSUmRYVkVTMWhuRUFF4AEA-gEECAAQLA!16s%2Fg%2F11swmd6_76?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,,,conventional,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,ME-GI,https://www.igu.org/igu-reports/2025-world-lng-report,2026,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,yes,2025,"https://shipnext.com/vessel/9963815-rotmistrz-witold-pilecki, https://www.datocms-assets.com/146580/1763396210-1747916410-igu-world-lng-report-2025.pdf",IGU,ORLEN,"https://shippingtelegraph.com/hellenic-shipping-news/angelicoussis-mgm-lng-carrier-newbuild-pair-under-long-term-charter-to-orlen/, https://www.shippingherald.com/maran-gas-maritime-receives-two-lng-carriers/",,,,,
42,9963827,https://www.igu.org/igu-reports/2025-world-lng-report,Maran Gas Antiparos,https://shipnext.com/vessel/9963827-maran-gas-antiparos,,,,Hull 2540 (Hanwha),https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,https://www.igu.org/igu-reports/2025-world-lng-report,Maran Gas Maritime,https://www.igu.org/igu-reports/2025-world-lng-report,,,Hanwha Ocean,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.hanwha.com/companies/hanwha-ocean.do,34.87385,128.6966,"VMCW+V7 Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Hanwha+Ocean/data=!3m1!1e3!4m10!1m2!2m1!1sHanwha+Ocean!3m6!1s0x356ecd1d7a72f7db:0x3bfe90e7d8bf93f0!8m2!3d34.8721913!4d128.6956963!15sCgxIYW53aGEgT2NlYW5aDiIMaGFud2hhIG9jZWFukgEfc2hpcGJ1aWxkaW5nX2FuZF9yZXBhaXJfY29tcGFueZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSUmRYVkVTMWhuRUFF4AEA-gEECAAQLA!16s%2Fg%2F11swmd6_76?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,,,conventional,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,ME-GI,https://www.igu.org/igu-reports/2025-world-lng-report,2026,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,yes,2025,"https://shipnext.com/vessel/9963827-maran-gas-antiparos, https://www.datocms-assets.com/146580/1763396210-1747916410-igu-world-lng-report-2025.pdf",IGU,,,,,,,
43,9970569,https://www.igu.org/igu-reports/2025-world-lng-report,Venture Pelican,"https://www.shipvault.com/ships/455308, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/455308",,Hull 2541 (Hanwha),"https://www.shipvault.com/ships/455308, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/455308",Hull 2541 (Hanwha),https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,"https://www.shipvault.com/ships/455308, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/455308",Venture Global,https://www.igu.org/igu-reports/2025-world-lng-report,,,Hanwha Ocean,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.hanwha.com/companies/hanwha-ocean.do,34.87385,128.6966,"VMCW+V7 Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Hanwha+Ocean/data=!3m1!1e3!4m10!1m2!2m1!1sHanwha+Ocean!3m6!1s0x356ecd1d7a72f7db:0x3bfe90e7d8bf93f0!8m2!3d34.8721913!4d128.6956963!15sCgxIYW53aGEgT2NlYW5aDiIMaGFud2hhIG9jZWFukgEfc2hpcGJ1aWxkaW5nX2FuZF9yZXBhaXJfY29tcGFueZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSUmRYVkVTMWhuRUFF4AEA-gEECAAQLA!16s%2Fg%2F11swmd6_76?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,200000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,conventional,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,ME-GA,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,2025,"https://www.shipvault.com/ships/455308, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/455308",,,,IGU,,,,,,,
44,9970571,https://www.igu.org/igu-reports/2025-world-lng-report,Venture Iberia,"https://www.shipvault.com/ships/455309, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/455309",,Hull 2542 (Hanwha),"https://www.shipvault.com/ships/455309, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/455309",Hull 2542 (Hanwha),https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,"https://www.shipvault.com/ships/455309, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/455309",Venture Global,https://www.igu.org/igu-reports/2025-world-lng-report,,,Hanwha Ocean,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.hanwha.com/companies/hanwha-ocean.do,34.87385,128.6966,"VMCW+V7 Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Hanwha+Ocean/data=!3m1!1e3!4m10!1m2!2m1!1sHanwha+Ocean!3m6!1s0x356ecd1d7a72f7db:0x3bfe90e7d8bf93f0!8m2!3d34.8721913!4d128.6956963!15sCgxIYW53aGEgT2NlYW5aDiIMaGFud2hhIG9jZWFukgEfc2hpcGJ1aWxkaW5nX2FuZF9yZXBhaXJfY29tcGFueZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSUmRYVkVTMWhuRUFF4AEA-gEECAAQLA!16s%2Fg%2F11swmd6_76?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,174000,cbm,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,membrane,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,conventional,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,ME-GA,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,2025,"https://www.shipvault.com/ships/455309, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/455309",,,,IGU,,,,,,,
45,9970583,https://www.igu.org/igu-reports/2025-world-lng-report,Venture Cameron,"https://www.shipvault.com/ships/455310, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/455310",,Hull 2543 (Hanwha),"https://www.shipvault.com/ships/455310, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/455310",Hull 2543 (Hanwha),https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,"https://www.shipvault.com/ships/455310, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/455310",Venture Global,https://www.igu.org/igu-reports/2025-world-lng-report,,,Hanwha Ocean,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.hanwha.com/companies/hanwha-ocean.do,34.87385,128.6966,"VMCW+V7 Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Hanwha+Ocean/data=!3m1!1e3!4m10!1m2!2m1!1sHanwha+Ocean!3m6!1s0x356ecd1d7a72f7db:0x3bfe90e7d8bf93f0!8m2!3d34.8721913!4d128.6956963!15sCgxIYW53aGEgT2NlYW5aDiIMaGFud2hhIG9jZWFukgEfc2hpcGJ1aWxkaW5nX2FuZF9yZXBhaXJfY29tcGFueZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSUmRYVkVTMWhuRUFF4AEA-gEECAAQLA!16s%2Fg%2F11swmd6_76?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,200000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,,,conventional,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,ME-GI,https://www.igu.org/igu-reports/2025-world-lng-report,2026,https://www.igu.org/igu-reports/2025-world-lng-report,,,,IGU,,,,,,,
47,9976939,https://www.igu.org/igu-reports/2025-world-lng-report,Al Kharrarah,"https://www.shipvault.com/ships/457495, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/457495",,Hull 2549 (Hanwha),"https://www.shipvault.com/ships/457495, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/457495",Hull 2549 (Hanwha),https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,"https://www.shipvault.com/ships/457495, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/457495",K3 Consortium,https://www.igu.org/igu-reports/2025-world-lng-report,,,Hanwha Ocean,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.hanwha.com/companies/hanwha-ocean.do,34.87385,128.6966,"VMCW+V7 Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Hanwha+Ocean/data=!3m1!1e3!4m10!1m2!2m1!1sHanwha+Ocean!3m6!1s0x356ecd1d7a72f7db:0x3bfe90e7d8bf93f0!8m2!3d34.8721913!4d128.6956963!15sCgxIYW53aGEgT2NlYW5aDiIMaGFud2hhIG9jZWFukgEfc2hpcGJ1aWxkaW5nX2FuZF9yZXBhaXJfY29tcGFueZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSUmRYVkVTMWhuRUFF4AEA-gEECAAQLA!16s%2Fg%2F11swmd6_76?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,conventional,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,ME-GA,https://www.igu.org/igu-reports/2025-world-lng-report,2025,"https://www.shipvault.com/ships/457495, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/457495",,,,IGU,,,,,,,
48,9970674,https://www.igu.org/igu-reports/2025-world-lng-report,Archy Vanguard,"https://www.shipvault.com/ships/464056, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/464056",,Hull 2550 (Hanwha),"https://www.shipvault.com/ships/464056, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/464056",Hull 2550 (Hanwha),https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,"https://www.shipvault.com/ships/464056, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/464056",MOL,https://www.igu.org/igu-reports/2025-world-lng-report,,,Hanwha Ocean,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.hanwha.com/companies/hanwha-ocean.do,34.87385,128.6966,"VMCW+V7 Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Hanwha+Ocean/data=!3m1!1e3!4m10!1m2!2m1!1sHanwha+Ocean!3m6!1s0x356ecd1d7a72f7db:0x3bfe90e7d8bf93f0!8m2!3d34.8721913!4d128.6956963!15sCgxIYW53aGEgT2NlYW5aDiIMaGFud2hhIG9jZWFukgEfc2hpcGJ1aWxkaW5nX2FuZF9yZXBhaXJfY29tcGFueZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSUmRYVkVTMWhuRUFF4AEA-gEECAAQLA!16s%2Fg%2F11swmd6_76?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,conventional,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,ME-GA,https://www.igu.org/igu-reports/2025-world-lng-report,2025,"https://www.shipvault.com/ships/464056, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/464056",,,,IGU,,,,,,,
49,9970686,https://www.igu.org/igu-reports/2025-world-lng-report,Harmonic Breeze,"https://www.shipvault.com/ships/459086, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/459086",IGU says 2025 delivery but public sources say 2026,Hull 2551 (Hanwha),"https://www.shipvault.com/ships/459086, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/459086",Hull 2551 (Hanwha),https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/18/2025,"https://www.shipvault.com/ships/459086, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/459086",MOL,https://www.igu.org/igu-reports/2025-world-lng-report,,,Hanwha Ocean,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.hanwha.com/companies/hanwha-ocean.do,34.87385,128.6966,"VMCW+V7 Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Hanwha+Ocean/data=!3m1!1e3!4m10!1m2!2m1!1sHanwha+Ocean!3m6!1s0x356ecd1d7a72f7db:0x3bfe90e7d8bf93f0!8m2!3d34.8721913!4d128.6956963!15sCgxIYW53aGEgT2NlYW5aDiIMaGFud2hhIG9jZWFukgEfc2hpcGJ1aWxkaW5nX2FuZF9yZXBhaXJfY29tcGFueZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSUmRYVkVTMWhuRUFF4AEA-gEECAAQLA!16s%2Fg%2F11swmd6_76?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,,,conventional,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,ME-GA,https://www.igu.org/igu-reports/2025-world-lng-report,2026,https://system.new-vessels.com/Ship-15954543-.html,,,,IGU,,,,,,,
50,9974606,https://www.igu.org/igu-reports/2025-world-lng-report,Lake Modro,"https://www.shipvault.com/ships/457498, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/457498",,Hull 2552 (Hanwha),"https://www.shipvault.com/ships/457498, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/457498",Hull 2552 (Hanwha),https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,"https://www.shipvault.com/ships/457498, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/457498",Maran Gas Maritime,https://www.igu.org/igu-reports/2025-world-lng-report,,,Hanwha Ocean,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.hanwha.com/companies/hanwha-ocean.do,34.87385,128.6966,"VMCW+V7 Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Hanwha+Ocean/data=!3m1!1e3!4m10!1m2!2m1!1sHanwha+Ocean!3m6!1s0x356ecd1d7a72f7db:0x3bfe90e7d8bf93f0!8m2!3d34.8721913!4d128.6956963!15sCgxIYW53aGEgT2NlYW5aDiIMaGFud2hhIG9jZWFukgEfc2hpcGJ1aWxkaW5nX2FuZF9yZXBhaXJfY29tcGFueZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSUmRYVkVTMWhuRUFF4AEA-gEECAAQLA!16s%2Fg%2F11swmd6_76?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,,,conventional,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,ME-GI,https://www.igu.org/igu-reports/2025-world-lng-report,2026,https://www.igu.org/igu-reports/2025-world-lng-report,,,,IGU,,,,,,,
51,9974618,https://www.igu.org/igu-reports/2025-world-lng-report,Lake Morskie Oko,"https://www.shipvault.com/ships/457499, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/457499",,Hull 2553 (Hanwha),"https://www.shipvault.com/ships/457499, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/457499",Hull 2553 (Hanwha),https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,"https://www.shipvault.com/ships/457499, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/457499",Maran Gas Maritime,https://www.igu.org/igu-reports/2025-world-lng-report,,,Hanwha Ocean,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.hanwha.com/companies/hanwha-ocean.do,34.87385,128.6966,"VMCW+V7 Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Hanwha+Ocean/data=!3m1!1e3!4m10!1m2!2m1!1sHanwha+Ocean!3m6!1s0x356ecd1d7a72f7db:0x3bfe90e7d8bf93f0!8m2!3d34.8721913!4d128.6956963!15sCgxIYW53aGEgT2NlYW5aDiIMaGFud2hhIG9jZWFukgEfc2hpcGJ1aWxkaW5nX2FuZF9yZXBhaXJfY29tcGFueZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSUmRYVkVTMWhuRUFF4AEA-gEECAAQLA!16s%2Fg%2F11swmd6_76?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,,,conventional,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,ME-GI,https://www.igu.org/igu-reports/2025-world-lng-report,2026,https://www.igu.org/igu-reports/2025-world-lng-report,,,,IGU,,,,,,,
52,9983176,https://www.igu.org/igu-reports/2025-world-lng-report,Hull 2558 (Hanwha),https://www.igu.org/igu-reports/2025-world-lng-report,,,,Hull 2558 (Hanwha),https://www.igu.org/igu-reports/2025-world-lng-report,on order,GEM,12/31/2024,https://www.igu.org/igu-reports/2025-world-lng-report,MOL,https://www.igu.org/igu-reports/2025-world-lng-report,,,Hanwha Ocean,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.hanwha.com/companies/hanwha-ocean.do,34.87385,128.6966,"VMCW+V7 Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Hanwha+Ocean/data=!3m1!1e3!4m10!1m2!2m1!1sHanwha+Ocean!3m6!1s0x356ecd1d7a72f7db:0x3bfe90e7d8bf93f0!8m2!3d34.8721913!4d128.6956963!15sCgxIYW53aGEgT2NlYW5aDiIMaGFud2hhIG9jZWFukgEfc2hpcGJ1aWxkaW5nX2FuZF9yZXBhaXJfY29tcGFueZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSUmRYVkVTMWhuRUFF4AEA-gEECAAQLA!16s%2Fg%2F11swmd6_76?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,,,conventional,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,ME-GA,https://www.igu.org/igu-reports/2025-world-lng-report,2026,https://www.igu.org/igu-reports/2025-world-lng-report,,,,IGU,Chevron,"https://www.mol.co.jp/en/pr/2026/26044.html, https://cyprusshippingnews.com/2026/09/14/mol-worlds-first-lng-carrier-equipped-with-wind-challenger/",,,,,
