tier,severity,sheet_rows,row_ids,builder,owner,match_key,reason,recommendation
2,MED,778 + 943,261 + 1092,Hudong-Zhonghua Shipbuilding,"MISC, NYK Line, K Line, China LNG",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2025 vs 2026 (names: 'Al Tuwar' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 3)').",verify by source: is the placeholder the same slot as the named row?
2,MED,778 + 1217,261 + 1224,Hudong-Zhonghua Shipbuilding,"MISC, NYK Line, K Line, China LNG",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'Al Tuwar' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 4)').",verify by source: is the placeholder the same slot as the named row?
2,MED,778 + 1218,261 + 1225,Hudong-Zhonghua Shipbuilding,"MISC, NYK Line, K Line, China LNG",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'Al Tuwar' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 5)').",verify by source: is the placeholder the same slot as the named row?
2,MED,778 + 1219,261 + 1226,Hudong-Zhonghua Shipbuilding,"MISC, NYK Line, K Line, China LNG",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'Al Tuwar' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 6)').",verify by source: is the placeholder the same slot as the named row?
2,MED,779 + 943,262 + 1092,Hudong-Zhonghua Shipbuilding,"MISC, NYK Line, K Line, China LNG",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2025 vs 2026 (names: 'Al Mashabiyyah' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 3)').",verify by source: is the placeholder the same slot as the named row?
2,MED,779 + 1217,262 + 1224,Hudong-Zhonghua Shipbuilding,"MISC, NYK Line, K Line, China LNG",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'Al Mashabiyyah' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 4)').",verify by source: is the placeholder the same slot as the named row?
2,MED,779 + 1218,262 + 1225,Hudong-Zhonghua Shipbuilding,"MISC, NYK Line, K Line, China LNG",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'Al Mashabiyyah' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 5)').",verify by source: is the placeholder the same slot as the named row?
2,MED,779 + 1219,262 + 1226,Hudong-Zhonghua Shipbuilding,"MISC, NYK Line, K Line, China LNG",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: 'Al Mashabiyyah' / 'Hudong-Zhonghua (CNOOC, CMES, NYK 6)').",verify by source: is the placeholder the same slot as the named row?
2,MED,909 + 943,263 + 1092,Hudong-Zhonghua Shipbuilding,"MISC, NYK Line, K Line, China LNG",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO; delivery 2025 vs 2026 (names: ""Fat'h Al Khair"" / 'Hudong-Zhonghua (CNOOC, CMES, NYK 3)').",verify by source: is the placeholder the same slot as the named row?
2,MED,909 + 1217,263 + 1224,Hudong-Zhonghua Shipbuilding,"MISC, NYK Line, K Line, China LNG",hudong-zhonghua|nyk|170000,"placeholder/identified pair matches builder/owner/capacity~ with no distinguishing hull or IMO (names: ""Fat'h Al Khair"" / 'Hudong-Zhonghua (CNOOC, CMES, NYK 4)').",verify by source: is the placeholder the same slot as the named row?
