op,key,column,value
set,347,Status,scrapped
set,347,Status [ref],"https://splash247.com/2025-becomes-record-year-for-lng-carrier-scrapping/, https://www.shipvault.com/ships/103443, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/103443"
set,642,Status,scrapped
set,642,Status [ref],"https://splash247.com/2025-becomes-record-year-for-lng-carrier-scrapping/, https://www.shipvault.com/ships/103444, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/103444"
set,968,Status,scrapped
set,968,Status [ref],"https://www.tradewindsnews.com/gas/misc-bites-breaking-bullet-on-30-year-old-lng-carrier-steamship-duo/2-1-1886848, https://www.shipvault.com/ships/103038, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/103038"
set,974,Status,scrapped
set,974,Status [ref],"https://www.tradewindsnews.com/gas/misc-bites-breaking-bullet-on-30-year-old-lng-carrier-steamship-duo/2-1-1886848, https://www.shipvault.com/ships/103039, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/103039"
set,696,Status,scrapped
set,696,Status [ref],"https://lngprime.com/asia/south-korean-owners-sell-four-lng-carriers-for-scrap/152488/, https://www.marineinsight.com/lng-market-downturn-forces-owners-to-scrap-aging-fleet-60-carriers-remain-idle/, https://www.shipvault.com/ships/110052, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/110052"
set,675,Status,scrapped
set,675,Status [ref],"https://gcaptain.com/nine-workers-killed-at-hong-kong-convention-certified-shipbreaking-yard-in-bangladesh/, https://www.hellenicshippingnews.com/nine-shipbreaking-workers-killed-in-bangladesh/, https://www.shipvault.com/ships/111478, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/111478"
set,677,Status,scrapped
set,677,Status [ref],"https://www.marineinsight.com/lng-market-downturn-forces-owners-to-scrap-aging-fleet-60-carriers-remain-idle/, https://shipandbunker.com/news/features/risk-management/327949-weekly-vessel-scrapping-report-2025-week-21, https://www.shipvault.com/ships/111479, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/111479"
set,688,Status,scrapped
set,688,Status [ref],"https://www.marineinsight.com/lng-market-downturn-forces-owners-to-scrap-aging-fleet-60-carriers-remain-idle/, https://shipandbunker.com/news/features/risk-management/327949-weekly-vessel-scrapping-report-2025-week-21, https://www.shipvault.com/ships/111681, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/111681"
set,689,Status,scrapped
set,689,Status [ref],"https://lloydslist.com/LL1154206, https://www.shipvault.com/ships/110053, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/110053"
set,780,Status,scrapped
set,780,Status [ref],"https://lloydslist.com/LL1154822, https://www.shipvault.com/ships/113071, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/113071"
set,1082,Status,scrapped
set,1082,Status [ref],"https://www.shippingherald.com/capital-gas-scraps-lng-carrier/, https://www.tradewindsnews.com/gas/2-1-1864945, https://www.shipvault.com/ships/115653, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/115653"
set,1083,Status,scrapped
set,1083,Status [ref],"https://www.tradewindsnews.com/gas/2-1-1791058, https://shipbreakingplatform.org/marinakis-beaching-vessel/, https://www.shipvault.com/ships/113852, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/113852"
set,1000,Status,scrapped
set,1000,Status [ref],"https://www.tradewindsnews.com/gas/seapeak-ups-2025-lng-demolition-tally-to-15-as-another-steamship-is-sold/2-1-1908979, https://www.shipvault.com/ships/115518, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/115518"
set,534,Status,scrapped
set,534,Status [ref],"https://www.lloydslist.com/LL1153032/Turbine-powered-LNG-tanker-and-panamax-bulker-sold-for-scrap, https://splash247.com/mol-sends-ageing-lng-carrier-for-demo/"
set,970,Status,scrapped
set,970,Status [ref],"https://www.tradewindsnews.com/gas/misc-opts-to-scrap-trio-of-steam-turbine-lng-carriers/2-1-1949030, https://www.shipvault.com/ships/116306, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/116306"
set,980,Status,scrapped
set,980,Status [ref],"https://www.tradewindsnews.com/gas/misc-opts-to-scrap-trio-of-steam-turbine-lng-carriers/2-1-1949030, https://www.shipvault.com/ships/116092, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/116092"
set,1005,Status,scrapped
set,1005,Status [ref],"https://www.tradewindsnews.com/gas/first-lng-carrier-of-2026-sold-for-demolition/2-1-1933696, https://splash247.com/seaspeak-mars-becomes-first-lng-vessel-to-be-scrapped-this-year/, https://www.shipvault.com/ships/117073, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/117073"
set,973,Status,scrapped
set,973,Status [ref],"https://www.tradewindsnews.com/gas/misc-opts-to-scrap-trio-of-steam-turbine-lng-carriers/2-1-1949030, https://www.shipvault.com/ships/117205, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/117205"
set,969,Vessel type,FSU
set,969,Vessel type [ref],"https://www.miscgroup.com/media/media-releases/misc-partners-with-pengerang-lng-two-sdn-bhd-for-lng-floating-storage-unit-project-d7503fdd178dc071ee535d98beb9e62e, https://www.insage.com.my/BursaNews/Attachment/202604/20260414/MISC-AN20260414A1-2.pdf"
