original order in sheet,IMO number,IMO number [ref],Name,Name [ref],Notes,Other names,Other names [ref],Hull number,Hull number [ref],Status,Researcher,Last updated,Status [ref],Shipowner,Shipowner [ref],Shipowner country/area,Shipowner country/area [ref],Shipbuilder,Shipbuilder [ref],Shipbuilder yard country/area,Shipbuilder yard country/area [ref],Yard location latitude,Yard location longitude,Yard location plus code,Yard location accuracy,Yard location lat/lon [ref],Capacity,Capacity units,Capacity [ref],Cargo type,Cargo type [ref],Vessel type,Vessel type [ref],Propulsion type,Propulsion type [ref],Delivery year,Delivery year [ref],[Original source],Operator/charterer,Operator/charterer [ref],Contract date,Contract date [ref],Price,Price currency,Price [ref]
347,9038440,https://www.igu.org/igu-reports/2025-world-lng-report,Al Khaznah,https://www.igu.org/igu-reports/2025-world-lng-report,,,,,,scrapped,GEM,12/31/2024,"https://splash247.com/2025-becomes-record-year-for-lng-carrier-scrapping/, https://www.shipvault.com/ships/103443, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/103443",National Gas Shipping Co,https://www.igu.org/igu-reports/2025-world-lng-report,,,Mitsui E&S Shipbuilding,https://www.igu.org/igu-reports/2025-world-lng-report,Japan,https://www.mes.co.jp/en/,35.54789,140.0945,"H32V+CC Ichihara, Chiba, Japan",exact,"https://www.google.com/maps/place/(%E6%A0%AA)%E4%B8%89%E4%BA%95%EF%BC%A5%EF%BC%86%EF%BC%B3+%E5%8D%83%E8%91%89%E4%BA%8B%E6%A5%AD%E5%A0%B4/@35.5961305,139.9368296,22877m/data=!3m1!1e3!4m10!1m2!2m1!1sMitsui+SB+(Chiba)!3m6!1s0x60229c7a5bd91a11:0xdae29ebde28b0943!8m2!3d35.5510419!4d140.0935883!15sChFNaXRzdWkgU0IgKENoaWJhKZIBEGNvcnBvcmF0ZV9vZmZpY2XgAQA!16s%2Fg%2F11btrr1q6f?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D",135000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,spherical,https://www.igu.org/igu-reports/2025-world-lng-report,conventional,https://www.igu.org/igu-reports/2025-world-lng-report,steam,https://www.igu.org/igu-reports/2025-world-lng-report,1994,https://www.igu.org/igu-reports/2025-world-lng-report,IGU,,,,,,,
534,9265500,https://www.igu.org/igu-reports/2025-world-lng-report,Dukhan,https://www.igu.org/igu-reports/2025-world-lng-report,,,,,,scrapped,GEM,12/31/2024,"https://www.lloydslist.com/LL1153032/Turbine-powered-LNG-tanker-and-panamax-bulker-sold-for-scrap, https://splash247.com/mol-sends-ageing-lng-carrier-for-demo/",J4 Consortium,https://www.igu.org/igu-reports/2025-world-lng-report,,,Mitsui E&S Shipbuilding,https://www.igu.org/igu-reports/2025-world-lng-report,Japan,https://www.mes.co.jp/en/,35.54789,140.0945,"H32V+CC Ichihara, Chiba, Japan",exact,"https://www.google.com/maps/place/(%E6%A0%AA)%E4%B8%89%E4%BA%95%EF%BC%A5%EF%BC%86%EF%BC%B3+%E5%8D%83%E8%91%89%E4%BA%8B%E6%A5%AD%E5%A0%B4/@35.5961305,139.9368296,22877m/data=!3m1!1e3!4m10!1m2!2m1!1sMitsui+SB+(Chiba)!3m6!1s0x60229c7a5bd91a11:0xdae29ebde28b0943!8m2!3d35.5510419!4d140.0935883!15sChFNaXRzdWkgU0IgKENoaWJhKZIBEGNvcnBvcmF0ZV9vZmZpY2XgAQA!16s%2Fg%2F11btrr1q6f?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D",137500,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,spherical,https://www.igu.org/igu-reports/2025-world-lng-report,conventional,https://www.igu.org/igu-reports/2025-world-lng-report,steam,https://www.igu.org/igu-reports/2025-world-lng-report,2004,https://www.igu.org/igu-reports/2025-world-lng-report,IGU,,,,,,,
642,9038452,https://www.igu.org/igu-reports/2025-world-lng-report,Ghasha,https://www.igu.org/igu-reports/2025-world-lng-report,,,,,,scrapped,GEM,12/31/2024,"https://splash247.com/2025-becomes-record-year-for-lng-carrier-scrapping/, https://www.shipvault.com/ships/103444, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/103444",National Gas Shipping Co,https://www.igu.org/igu-reports/2025-world-lng-report,,,Mitsui E&S Shipbuilding,https://www.igu.org/igu-reports/2025-world-lng-report,Japan,https://www.mes.co.jp/en/,35.54789,140.0945,"H32V+CC Ichihara, Chiba, Japan",exact,"https://www.google.com/maps/place/(%E6%A0%AA)%E4%B8%89%E4%BA%95%EF%BC%A5%EF%BC%86%EF%BC%B3+%E5%8D%83%E8%91%89%E4%BA%8B%E6%A5%AD%E5%A0%B4/@35.5961305,139.9368296,22877m/data=!3m1!1e3!4m10!1m2!2m1!1sMitsui+SB+(Chiba)!3m6!1s0x60229c7a5bd91a11:0xdae29ebde28b0943!8m2!3d35.5510419!4d140.0935883!15sChFNaXRzdWkgU0IgKENoaWJhKZIBEGNvcnBvcmF0ZV9vZmZpY2XgAQA!16s%2Fg%2F11btrr1q6f?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D",135000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,spherical,https://www.igu.org/igu-reports/2025-world-lng-report,conventional,https://www.igu.org/igu-reports/2025-world-lng-report,steam,https://www.igu.org/igu-reports/2025-world-lng-report,1995,https://www.igu.org/igu-reports/2025-world-lng-report,IGU,,,,,,,
675,9176008,https://www.igu.org/igu-reports/2025-world-lng-report,HL Ras Laffan,https://www.igu.org/igu-reports/2025-world-lng-report,,,,,,scrapped,GEM,12/31/2024,"https://gcaptain.com/nine-workers-killed-at-hong-kong-convention-certified-shipbreaking-yard-in-bangladesh/, https://www.hellenicshippingnews.com/nine-shipbreaking-workers-killed-in-bangladesh/, https://www.shipvault.com/ships/111478, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/111478",H-Line Shipping,https://www.igu.org/igu-reports/2025-world-lng-report,,,Hanjin H.I.,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,http://macnetkorea.com/sub/eng_sub.aspx?s_code=0503590000,35.09599,129.0521,33W3+74 Busan,exact,"https://www.google.com/maps/place/HJ+Shipbuilding+%26+Construction+Shipbuilding+Part+HQ/@35.7847587,116.7537988,2925451m/data=!3m1!1e3!4m10!1m2!2m1!1sHanjin+Heavy+Indsustries+!3m6!1s0x3568e943d5c03d35:0x2b4b4c7535d5b01d!8m2!3d35.0957327!4d129.052857!15sChdIYW5qaW4gSGVhdnkgSW5kdXN0cmllc5IBCHNoaXB5YXJk4AEA!16s%2Fg%2F1tdczks4?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D",138000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,https://www.igu.org/igu-reports/2025-world-lng-report,conventional,https://www.igu.org/igu-reports/2025-world-lng-report,steam,https://www.igu.org/igu-reports/2025-world-lng-report,2000,https://www.igu.org/igu-reports/2025-world-lng-report,IGU,,,,,,,
677,9176010,https://www.igu.org/igu-reports/2025-world-lng-report,HL Sur,https://www.igu.org/igu-reports/2025-world-lng-report,,,,,,scrapped,GEM,12/31/2024,"https://www.marineinsight.com/lng-market-downturn-forces-owners-to-scrap-aging-fleet-60-carriers-remain-idle/, https://shipandbunker.com/news/features/risk-management/327949-weekly-vessel-scrapping-report-2025-week-21, https://www.shipvault.com/ships/111479, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/111479",H-Line Shipping,https://www.igu.org/igu-reports/2025-world-lng-report,,,Hanjin H.I.,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,http://macnetkorea.com/sub/eng_sub.aspx?s_code=0503590000,35.09599,129.0521,33W3+74 Busan,exact,"https://www.google.com/maps/place/HJ+Shipbuilding+%26+Construction+Shipbuilding+Part+HQ/@35.7847587,116.7537988,2925451m/data=!3m1!1e3!4m10!1m2!2m1!1sHanjin+Heavy+Indsustries+!3m6!1s0x3568e943d5c03d35:0x2b4b4c7535d5b01d!8m2!3d35.0957327!4d129.052857!15sChdIYW5qaW4gSGVhdnkgSW5kdXN0cmllc5IBCHNoaXB5YXJk4AEA!16s%2Fg%2F1tdczks4?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D",138300,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,https://www.igu.org/igu-reports/2025-world-lng-report,conventional,https://www.igu.org/igu-reports/2025-world-lng-report,steam,https://www.igu.org/igu-reports/2025-world-lng-report,2000,https://www.igu.org/igu-reports/2025-world-lng-report,IGU,,,,,,,
688,9179581,https://www.igu.org/igu-reports/2025-world-lng-report,Hyundai Aquapia,https://www.igu.org/igu-reports/2025-world-lng-report,,,,,,scrapped,GEM,12/31/2024,"https://www.marineinsight.com/lng-market-downturn-forces-owners-to-scrap-aging-fleet-60-carriers-remain-idle/, https://shipandbunker.com/news/features/risk-management/327949-weekly-vessel-scrapping-report-2025-week-21, https://www.shipvault.com/ships/111681, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/111681",Hyundai LNG Shipping,https://www.igu.org/igu-reports/2025-world-lng-report,,,HD Hyundai Heavy Industries,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.hd.com/en/main,35.51613,129.4383,GC8Q+M6 Ulsan,exact,https://www.google.com/maps/place/HD+Hyundai+Heavy+Industries+Ulsan+Shipyard/data=!3m1!1e3!4m10!1m2!2m1!1sHD+Hyundai!3m6!1s0x3567ce56ebbfb645:0xd94a696f9fca5d90!8m2!3d35.5167468!4d129.4380269!15sCgpIRCBIeXVuZGFpkgEIc2hpcHlhcmTgAQA!16s%2Fg%2F1tfhd8y1?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,135000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,spherical,https://www.igu.org/igu-reports/2025-world-lng-report,conventional,https://www.igu.org/igu-reports/2025-world-lng-report,steam,https://www.igu.org/igu-reports/2025-world-lng-report,2000,https://www.igu.org/igu-reports/2025-world-lng-report,IGU,,,,,,,
689,9155157,https://www.igu.org/igu-reports/2025-world-lng-report,Hyundai Cosmopia,https://www.igu.org/igu-reports/2025-world-lng-report,,,,,,scrapped,GEM,12/31/2024,"https://lloydslist.com/LL1154206, https://www.shipvault.com/ships/110053, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/110053",Hyundai LNG Shipping,https://www.igu.org/igu-reports/2025-world-lng-report,,,HD Hyundai Heavy Industries,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.hd.com/en/main,35.51613,129.4383,GC8Q+M6 Ulsan,exact,https://www.google.com/maps/place/HD+Hyundai+Heavy+Industries+Ulsan+Shipyard/data=!3m1!1e3!4m10!1m2!2m1!1sHD+Hyundai!3m6!1s0x3567ce56ebbfb645:0xd94a696f9fca5d90!8m2!3d35.5167468!4d129.4380269!15sCgpIRCBIeXVuZGFpkgEIc2hpcHlhcmTgAQA!16s%2Fg%2F1tfhd8y1?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,135000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,spherical,https://www.igu.org/igu-reports/2025-world-lng-report,conventional,https://www.igu.org/igu-reports/2025-world-lng-report,steam,https://www.igu.org/igu-reports/2025-world-lng-report,2000,https://www.igu.org/igu-reports/2025-world-lng-report,IGU,,,,,,,
696,9155145,https://www.igu.org/igu-reports/2025-world-lng-report,Hyundai Technopia,https://www.igu.org/igu-reports/2025-world-lng-report,,,,,,scrapped,GEM,12/31/2024,"https://lngprime.com/asia/south-korean-owners-sell-four-lng-carriers-for-scrap/152488/, https://www.marineinsight.com/lng-market-downturn-forces-owners-to-scrap-aging-fleet-60-carriers-remain-idle/, https://www.shipvault.com/ships/110052, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/110052",Hyundai LNG Shipping,https://www.igu.org/igu-reports/2025-world-lng-report,,,HD Hyundai Heavy Industries,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.hd.com/en/main,35.51613,129.4383,GC8Q+M6 Ulsan,exact,https://www.google.com/maps/place/HD+Hyundai+Heavy+Industries+Ulsan+Shipyard/data=!3m1!1e3!4m10!1m2!2m1!1sHD+Hyundai!3m6!1s0x3567ce56ebbfb645:0xd94a696f9fca5d90!8m2!3d35.5167468!4d129.4380269!15sCgpIRCBIeXVuZGFpkgEIc2hpcHlhcmTgAQA!16s%2Fg%2F1tfhd8y1?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,135000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,spherical,https://www.igu.org/igu-reports/2025-world-lng-report,conventional,https://www.igu.org/igu-reports/2025-world-lng-report,steam,https://www.igu.org/igu-reports/2025-world-lng-report,1999,https://www.igu.org/igu-reports/2025-world-lng-report,IGU,,,,,,,
780,9200316,https://www.igu.org/igu-reports/2025-world-lng-report,LNG Jamal,https://www.igu.org/igu-reports/2025-world-lng-report,,,,,,scrapped,GEM,12/31/2024,"https://lloydslist.com/LL1154822, https://www.shipvault.com/ships/113071, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/113071","NYK Line, Osaka Gas",https://www.igu.org/igu-reports/2025-world-lng-report,,,Mitsubishi Heavy Industries,https://www.igu.org/igu-reports/2025-world-lng-report,Japan,https://www.mhi.com/,35.412837,139.668503,"CM8G+QG Yokohama, Kanagawa, Japan",exact,"https://www.google.com/maps/place/Mitsubishi+Heavy+Industries+Yokohama+Dockyard+%26+Machinery+Works/@35.5677012,139.4295502,45835m/data=!3m1!1e3!4m10!1m2!2m1!1sMitsubishi+Heavy+Industries!3m6!1s0x601842bd2acc85ff:0x1c719ae9bbc013df!8m2!3d35.4169184!4d139.6762959!15sChtNaXRzdWJpc2hpIEhlYXZ5IEluZHVzdHJpZXMiA4gBAZIBCHNoaXB5YXJk4AEA!16s%2Fg%2F11btvwmdj6?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D",137000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,spherical,https://www.igu.org/igu-reports/2025-world-lng-report,conventional,https://www.igu.org/igu-reports/2025-world-lng-report,steam,https://www.igu.org/igu-reports/2025-world-lng-report,2000,https://www.igu.org/igu-reports/2025-world-lng-report,IGU,,,,,,,
968,9030814,https://www.igu.org/igu-reports/2025-world-lng-report,Puteri Delima,https://www.igu.org/igu-reports/2025-world-lng-report,,,,,,scrapped,GEM,12/31/2024,"https://www.tradewindsnews.com/gas/misc-bites-breaking-bullet-on-30-year-old-lng-carrier-steamship-duo/2-1-1886848, https://www.shipvault.com/ships/103038, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/103038",MISC,https://www.igu.org/igu-reports/2025-world-lng-report,,,Chantiers de l'Atlantique,https://www.igu.org/igu-reports/2025-world-lng-report,France,https://chantiers-atlantique.com/en/,47.284334,-2.182615,"7RM8+PW Saint-Nazaire, France",exact,https://maps.app.goo.gl/aXheTTWUa76FHyui7,130000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,https://www.igu.org/igu-reports/2025-world-lng-report,conventional,https://www.igu.org/igu-reports/2025-world-lng-report,steam,https://www.igu.org/igu-reports/2025-world-lng-report,1995,https://www.igu.org/igu-reports/2025-world-lng-report,IGU,,,,,,,
