status,sheet_row,row_id,column,accepted_value,backend_value
landed,16,347,Status,,
landed,16,347,Status [ref],,
landed,23,642,Status,,
landed,23,642,Status [ref],,
landed,25,968,Status,,
landed,25,968,Status [ref],,
landed,26,974,Status,,
landed,26,974,Status [ref],,
landed,44,696,Status,,
landed,44,696,Status [ref],,
landed,46,675,Status,,
landed,46,675,Status [ref],,
landed,47,677,Status,,
landed,47,677,Status [ref],,
landed,48,688,Status,,
landed,48,688,Status [ref],,
landed,49,689,Status,,
landed,49,689,Status [ref],,
landed,54,780,Status,,
landed,54,780,Status [ref],,
landed,63,1082,Status,,
landed,63,1082,Status [ref],,
landed,64,1083,Status,,
landed,64,1083,Status [ref],,
landed,77,1000,Status,,
landed,77,1000,Status [ref],,
landed,84,534,Status,,
landed,84,534,Status [ref],,
landed,94,970,Status,,
landed,94,970,Status [ref],,
landed,95,980,Status,,
landed,95,980,Status [ref],,
landed,98,1005,Status,,
landed,98,1005,Status [ref],,
landed,115,973,Status,,
landed,115,973,Status [ref],,
landed,61,969,Vessel type,,
landed,61,969,Vessel type [ref],,
