op,key,column,value
set,5d8faa64-06e6-426f-92e7-c5118e8e6b69,Other names,Hull 045 (Zvezda)
set,5d8faa64-06e6-426f-92e7-c5118e8e6b69,Other names [ref],"https://www.datocms-assets.com/146580/1763396210-1747916410-igu-world-lng-report-2025.pdf, https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf"
set,92a00400-b7f3-4d75-a85b-2e8c84144bae,Other names,Hull 2316 (SHI)
set,92a00400-b7f3-4d75-a85b-2e8c84144bae,Other names [ref],"https://www.shipvault.com/ships/432642, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/432642"
set,c6573ed9-0ed8-4a0d-a79e-156f9529df8e,Other names,Hull 2541 (Hanwha)
set,c6573ed9-0ed8-4a0d-a79e-156f9529df8e,Other names [ref],"https://www.shipvault.com/ships/455308, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/455308"
set,483c3e25-d6f6-4259-b4d5-7f55daa86db4,Other names,Hull 2542 (Hanwha)
set,483c3e25-d6f6-4259-b4d5-7f55daa86db4,Other names [ref],"https://www.shipvault.com/ships/455309, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/455309"
set,f88bc813-439e-4826-8f56-36d5362cccbc,Other names,Hull 2543 (Hanwha)
set,f88bc813-439e-4826-8f56-36d5362cccbc,Other names [ref],"https://www.shipvault.com/ships/455310, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/455310"
set,1f29e36d-8d69-46e1-be81-8dc80e627077,Other names,Hull 2549 (Hanwha)
set,1f29e36d-8d69-46e1-be81-8dc80e627077,Other names [ref],"https://www.shipvault.com/ships/457495, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/457495"
set,5d1b1ab9-8163-4e30-85b9-9cc65ed0355f,Other names,Hull 2550 (Hanwha)
set,5d1b1ab9-8163-4e30-85b9-9cc65ed0355f,Other names [ref],"https://www.shipvault.com/ships/464056, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/464056"
set,cda8adc3-800f-41f6-b5b9-d170f3900c64,Other names,Hull 2551 (Hanwha)
set,cda8adc3-800f-41f6-b5b9-d170f3900c64,Other names [ref],"https://www.shipvault.com/ships/459086, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/459086"
set,b0e150bf-5544-49b6-b3d7-4dfc3f59f3b6,Other names,Hull 2552 (Hanwha)
set,b0e150bf-5544-49b6-b3d7-4dfc3f59f3b6,Other names [ref],"https://www.shipvault.com/ships/457498, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/457498"
set,30ce2967-4bb1-4f0e-8533-c18c81e478f1,Other names,Hull 2553 (Hanwha)
set,30ce2967-4bb1-4f0e-8533-c18c81e478f1,Other names [ref],"https://www.shipvault.com/ships/457499, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/457499"
set,79ae216b-9d07-4c97-a5f1-a66790fc4ba4,Other names,Hull 2559 (Hanwha)
set,79ae216b-9d07-4c97-a5f1-a66790fc4ba4,Other names [ref],"https://www.shipvault.com/ships/465038, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465038"
set,70b7d780-c45a-42ce-ae05-5fe4b6cc6f85,Other names,Hull 2561 (Hanwha)
set,70b7d780-c45a-42ce-ae05-5fe4b6cc6f85,Other names [ref],"https://www.shipvault.com/ships/465040, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465040"
set,c9699386-13e4-4f28-96a6-c32263a41d9c,Other names,Hull 2562 (Hanwha)
set,c9699386-13e4-4f28-96a6-c32263a41d9c,Other names [ref],"https://www.shipvault.com/ships/465041, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465041"
set,6de88b5b-2a63-44a9-9312-81d6d954e644,Other names,Hull 2563 (Hanwha)
set,6de88b5b-2a63-44a9-9312-81d6d954e644,Other names [ref],"https://www.shipvault.com/ships/465042, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465042"
set,f8ef8a9a-2187-45da-822b-5b1733f454ce,Other names,Hull 2564 (Hanwha); QatarGas LNG 37
set,f8ef8a9a-2187-45da-822b-5b1733f454ce,Other names [ref],"https://www.shipvault.com/ships/465043, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465043, https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf"
set,cb6bd095-3b82-486e-868e-6da5c2d46d46,Other names,Hull 2565 (Hanwha)
set,cb6bd095-3b82-486e-868e-6da5c2d46d46,Other names [ref],"https://www.shipvault.com/ships/465044, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465044"
set,12be59bc-8913-4011-a9d5-cd64590d23ec,Other names,Hull 2567 (Hanwha)
set,12be59bc-8913-4011-a9d5-cd64590d23ec,Other names [ref],"https://www.shipvault.com/ships/465046, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465046"
set,c4fd7f6d-938f-4576-9f58-217a14edcb42,Other names,Hull 2568 (Hanwha)
set,c4fd7f6d-938f-4576-9f58-217a14edcb42,Other names [ref],"https://www.shipvault.com/ships/465047, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465047"
set,45dc78bd-a65b-4c2f-9d70-e75771b6fc8b,Other names,Hull 2569 (Hanwha)
set,45dc78bd-a65b-4c2f-9d70-e75771b6fc8b,Other names [ref],"https://www.shipvault.com/ships/465048, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465048"
set,fa19d3f8-e620-46bf-a774-0466fa90254d,Other names,Hull 2570 (Hanwha)
set,fa19d3f8-e620-46bf-a774-0466fa90254d,Other names [ref],"https://www.shipvault.com/ships/465049, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465049"
set,2bfe688d-f744-4cc6-bead-405268821960,Other names,Hull 2571 (Hanwha)
set,2bfe688d-f744-4cc6-bead-405268821960,Other names [ref],"https://www.shipvault.com/ships/465050, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465050"
set,81b6ae93-1ab8-4fcd-b273-95d3b5699c94,Other names,Hull 2572 (Hanwha)
set,81b6ae93-1ab8-4fcd-b273-95d3b5699c94,Other names [ref],"https://www.shipvault.com/ships/465051, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465051"
set,319d5092-494a-4104-a667-46082797ec60,Other names,Hull 2573 (Hanwha)
set,319d5092-494a-4104-a667-46082797ec60,Other names [ref],"https://www.shipvault.com/ships/465052, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465052"
set,b72ba253-bdb2-4997-9c35-55016d0d14cc,Other names,Hull 2574 (Hanwha)
set,b72ba253-bdb2-4997-9c35-55016d0d14cc,Other names [ref],"https://www.shipvault.com/ships/465053, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465053"
set,94cfa308-fa2f-4bb9-bda5-04e22a165989,Other names,Hull 2636 (SHI)
set,94cfa308-fa2f-4bb9-bda5-04e22a165989,Other names [ref],"https://www.shipvault.com/ships/456923, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/456923"
set,8aa4dbb9-b167-4bdd-a9e7-3fa56bc17816,Other names,Hull 2640 (SHI)
set,8aa4dbb9-b167-4bdd-a9e7-3fa56bc17816,Other names [ref],"https://www.shipvault.com/ships/457608, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/457608"
set,94b80b5f-db19-4fe6-8992-caffcc7daef5,Other names,Hull 2646 (SHI)
set,94b80b5f-db19-4fe6-8992-caffcc7daef5,Other names [ref],"https://www.shipvault.com/ships/457614, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/457614"
set,62ba7fb6-a3d3-4d89-b1cd-f055d4ff712d,Other names,Hull 2647 (SHI)
set,62ba7fb6-a3d3-4d89-b1cd-f055d4ff712d,Other names [ref],"https://www.shipvault.com/ships/457615, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/457615"
set,843dbad1-7281-4911-ad89-a09ab18b6d03,Other names,Hull 2652 (SHI)
set,843dbad1-7281-4911-ad89-a09ab18b6d03,Other names [ref],"https://www.shipvault.com/ships/461095, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/461095"
set,2fac1917-c441-4b2e-86b3-6a9b3d327cbc,Other names,Hull 2653 (SHI)
set,2fac1917-c441-4b2e-86b3-6a9b3d327cbc,Other names [ref],"https://www.shipvault.com/ships/461096, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/461096"
set,7396f720-8efd-47e9-b153-a174c2beebe3,Other names,Hull 2662 (SHI)
set,7396f720-8efd-47e9-b153-a174c2beebe3,Other names [ref],"https://www.shipvault.com/ships/463994, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/463994"
set,f29e5c45-d26e-48f4-99de-b52b3426e87d,Other names,Hull 2664 (SHI)
set,f29e5c45-d26e-48f4-99de-b52b3426e87d,Other names [ref],"https://www.shipvault.com/ships/465878, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465878"
set,1a530f69-8f15-4cc4-9f88-f33428ae923e,Other names,Hull 2665 (SHI)
set,1a530f69-8f15-4cc4-9f88-f33428ae923e,Other names [ref],"https://www.shipvault.com/ships/465879, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465879"
set,7bc8bcec-950a-4d3b-98fa-5c676c5e2c4d,Other names,Hull 2697 (SHI)
set,7bc8bcec-950a-4d3b-98fa-5c676c5e2c4d,Other names [ref],"https://www.shipvault.com/ships/479142, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/479142"
set,bba668b1-c7ee-4073-9160-3a0a664a6218,Other names,Hull 3371 (HDHHI)
set,bba668b1-c7ee-4073-9160-3a0a664a6218,Other names [ref],"https://www.shipvault.com/ships/467719, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/467719"
set,900b5f5b-6cfd-4356-80c4-c87fb8e7b6a1,Other names,Hull 3385 (HDHHI)
set,900b5f5b-6cfd-4356-80c4-c87fb8e7b6a1,Other names [ref],"https://www.shipvault.com/ships/458163, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/458163"
set,fb106611-9cc1-4aac-9c76-3ce6ec5de423,Other names,Hull 3386 (HDHHI)
set,fb106611-9cc1-4aac-9c76-3ce6ec5de423,Other names [ref],"https://www.shipvault.com/ships/458164, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/458164"
set,1ce36ff8-9067-46c4-9d58-eaf79f7fea42,Other names,Hull 3395 (HDHHI)
set,1ce36ff8-9067-46c4-9d58-eaf79f7fea42,Other names [ref],"https://www.shipvault.com/ships/459079, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/459079"
set,6e3bf036-f0c0-41f7-b4ae-ffa9adbb0795,Other names,Hull 3396 (HDHHI)
set,6e3bf036-f0c0-41f7-b4ae-ffa9adbb0795,Other names [ref],"https://www.shipvault.com/ships/459080, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/459080"
set,c3e38d82-ac7f-46bf-8b7d-ebb1a211ef6f,Other names,Hull 3398 (HDHHI)
set,c3e38d82-ac7f-46bf-8b7d-ebb1a211ef6f,Other names [ref],"https://www.shipvault.com/ships/459082, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/459082"
set,aea4626e-774d-45cf-87f9-f1b058c637ec,Other names,Hull 3399 (HDHHI)
set,aea4626e-774d-45cf-87f9-f1b058c637ec,Other names [ref],"https://www.shipvault.com/ships/459083, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/459083"
set,35a965b8-b9a6-4ce6-8de1-eb88f66bcd55,Other names,Hull 3400 (HDHHI)
set,35a965b8-b9a6-4ce6-8de1-eb88f66bcd55,Other names [ref],"https://www.shipvault.com/ships/459084, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/459084"
set,525502c3-51f5-4ba8-8d10-b0628da3aa9c,Other names,Hull 3401 (HDHHI)
set,525502c3-51f5-4ba8-8d10-b0628da3aa9c,Other names [ref],"https://www.shipvault.com/ships/459085, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/459085"
set,be6da8d8-1a92-4466-91b3-06347270ba79,Other names,Hull 3407 (HDHHI)
set,be6da8d8-1a92-4466-91b3-06347270ba79,Other names [ref],"https://www.shipvault.com/ships/460369, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/460369"
set,26c1b04e-f366-4537-bad8-8f326a9a3d8c,Other names,Hull 8182 (HSHI)
set,26c1b04e-f366-4537-bad8-8f326a9a3d8c,Other names [ref],"https://www.shipvault.com/ships/428603, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/428603"
set,8ae65a68-8fa9-43b5-8fa7-154400c93445,Other names,Hull 8188 (HSHI)
set,8ae65a68-8fa9-43b5-8fa7-154400c93445,Other names [ref],"https://www.shipvault.com/ships/456920, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/456920"
set,04f3004e-9729-4fe8-a784-455b4fef317f,Other names,Hull 8189 (HSHI)
set,04f3004e-9729-4fe8-a784-455b4fef317f,Other names [ref],"https://www.shipvault.com/ships/456921, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/456921"
set,8d1f91da-8ca4-42a6-896b-452fa04b5a6c,Other names,Hull 8200 (HSHI)
set,8d1f91da-8ca4-42a6-896b-452fa04b5a6c,Other names [ref],"https://www.shipvault.com/ships/458170, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/458170"
set,7d7d5e8f-7c62-4f44-83e8-34c5291f87b8,Other names,Hull 8201 (HSHI)
set,7d7d5e8f-7c62-4f44-83e8-34c5291f87b8,Other names [ref],"https://www.shipvault.com/ships/458171, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/458171"
set,0b3aafd0-5c90-422a-88cb-a5bc19c14ab0,Other names,Hull 8204 (HSHI)
set,0b3aafd0-5c90-422a-88cb-a5bc19c14ab0,Other names [ref],"https://www.shipvault.com/ships/461955, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/461955"
set,45c1430c-4b3e-463e-8f09-2b842dda8d9e,Other names,Hull 8205 (HSHI)
set,45c1430c-4b3e-463e-8f09-2b842dda8d9e,Other names [ref],"https://www.shipvault.com/ships/461956, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/461956"
set,4b61296c-51b3-4838-b9c2-1674aa959316,Other names,Hull H1800A (Hudong); QatarGas LNG 36
set,4b61296c-51b3-4838-b9c2-1674aa959316,Other names [ref],"https://www.shipvault.com/ships/462939, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/462939, https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf"
set,0e55cb46-b9e2-4384-baad-cba4148dde34,Other names,Hull H1801A (Hudong); QatarGas LNG 52
set,0e55cb46-b9e2-4384-baad-cba4148dde34,Other names [ref],"https://www.shipvault.com/ships/462940, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/462940, https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf"
set,18933580-8744-422d-9380-5507950c8737,Other names,Hull H1909A (Hudong)
set,18933580-8744-422d-9380-5507950c8737,Other names [ref],"https://www.shipvault.com/ships/467899, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/467899"
set,133a59db-23ce-447b-90d1-729150f8a6de,Other names,Hull YZJ2022-1475
set,133a59db-23ce-447b-90d1-729150f8a6de,Other names [ref],"https://www.shipvault.com/ships/475022, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/475022"
set,ce5fc208-db4f-4a00-9f02-1748b12ff384,Other names,Dalian No 1 G175K-7
set,ce5fc208-db4f-4a00-9f02-1748b12ff384,Other names [ref],"https://www.datocms-assets.com/146580/1763396210-1747916410-igu-world-lng-report-2025.pdf, https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf"
set,9a61e446-ff33-4a51-862f-46d05ed6ac5d,Other names,Hull 2317 (SHI)
set,9a61e446-ff33-4a51-862f-46d05ed6ac5d,Other names [ref],"https://www.shipvault.com/ships/432643, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/432643"
set,944f356e-088b-45f4-b2bf-5d0b1f293196,Other names,Hull 2318 (SHI)
set,944f356e-088b-45f4-b2bf-5d0b1f293196,Other names [ref],"https://www.shipvault.com/ships/432644, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/432644"
set,56cc49d6-e55c-42cb-84e8-632d52e0bd02,Other names,Hull 2582 (Hanwha)
set,56cc49d6-e55c-42cb-84e8-632d52e0bd02,Other names [ref],"https://www.shipvault.com/ships/470097, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/470097"
set,ee87782b-270d-4618-97ab-014dd28d0de9,Other names,Hull 2687 (SHI)
set,ee87782b-270d-4618-97ab-014dd28d0de9,Other names [ref],"https://www.shipvault.com/ships/471277, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/471277"
set,1eee48dc-e158-4044-b62c-d81e79733a7f,Other names,Hull 2700 (SHI)
set,1eee48dc-e158-4044-b62c-d81e79733a7f,Other names [ref],"https://www.shipvault.com/ships/479145, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/479145"
set,9211f3bb-2d22-45a1-95f5-cb259664f51e,Other names,Hull 3452 (HDHHI)
set,9211f3bb-2d22-45a1-95f5-cb259664f51e,Other names [ref],"https://www.shipvault.com/ships/462869, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/462869"
set,001806c5-e6e1-410b-94a6-7ecb671bf37c,Other names,Hull 3453 (HDHHI)
set,001806c5-e6e1-410b-94a6-7ecb671bf37c,Other names [ref],"https://www.shipvault.com/ships/462870, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/462870"
set,f8222251-702e-42f5-938a-bf4bad6a7bb1,Other names,Hull 3476 (HDHHI)
set,f8222251-702e-42f5-938a-bf4bad6a7bb1,Other names [ref],"https://www.shipvault.com/ships/478305, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478305"
set,5d0fc3e9-d518-48f9-9b62-3239e84491b5,Other names,Hull 3477 (HDHHI)
set,5d0fc3e9-d518-48f9-9b62-3239e84491b5,Other names [ref],"https://www.shipvault.com/ships/478306, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478306"
set,36232630-e208-4c6d-9a47-17315bbe7a71,Other names,Hull 3478 (HDHHI)
set,36232630-e208-4c6d-9a47-17315bbe7a71,Other names [ref],"https://www.shipvault.com/ships/478307, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478307"
set,95dab497-7ca3-404b-a71a-33fb7c643d3b,Other names,Hull 3479 (HDHHI)
set,95dab497-7ca3-404b-a71a-33fb7c643d3b,Other names [ref],"https://www.shipvault.com/ships/478308, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478308"
set,3225a4a9-aff4-49b2-b206-2252aac51ac1,Other names,Hull 3480 (HDHHI)
set,3225a4a9-aff4-49b2-b206-2252aac51ac1,Other names [ref],"https://www.shipvault.com/ships/478309, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478309"
set,749aafc9-4347-45ea-9f13-117694599db7,Other names,Hull 3481 (HDHHI)
set,749aafc9-4347-45ea-9f13-117694599db7,Other names [ref],"https://www.shipvault.com/ships/478310, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478310"
set,2883dcfa-e67c-459e-a977-331b4ada6190,Other names,Hull 3482 (HDHHI)
set,2883dcfa-e67c-459e-a977-331b4ada6190,Other names [ref],"https://www.shipvault.com/ships/478311, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478311"
set,6486997a-947c-447e-8dc9-38fa8a1c5d57,Other names,Hull 3483 (HDHHI)
set,6486997a-947c-447e-8dc9-38fa8a1c5d57,Other names [ref],"https://www.shipvault.com/ships/478312, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478312"
set,41ff67a8-5f42-4697-8332-e78e92ae96d5,Other names,Hull 3484 (HDHHI)
set,41ff67a8-5f42-4697-8332-e78e92ae96d5,Other names [ref],"https://www.shipvault.com/ships/478313, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478313"
