id,kind,row_id,cluster_id,column,confidence,derivable,default,decision,proposed_value,note
6|Other names,fill,6,,Other names,G,False,accept,accept,Hull 045 (Zvezda),former Name 'Hull 045 (Zvezda)'; the row is renamed 'Konstantin Posiet' by 2026-
25|Other names,fill,25,,Other names,G,False,accept,accept,Hull 2316 (SHI),former Name 'Hull 2316 (SHI)'; the row is renamed 'Atlantic Success' by 2026-09-
43|Other names,fill,43,,Other names,G,False,accept,accept,Hull 2541 (Hanwha),former Name 'Hull 2541 (Hanwha)'; the row is renamed 'Venture Pelican' by 2026-0
44|Other names,fill,44,,Other names,G,False,accept,accept,Hull 2542 (Hanwha),former Name 'Hull 2542 (Hanwha)'; the row is renamed 'Venture Iberia' by 2026-09
45|Other names,fill,45,,Other names,G,False,accept,accept,Hull 2543 (Hanwha),former Name 'Hull 2543 (Hanwha)'; the row is renamed 'Venture Cameron' by 2026-0
47|Other names,fill,47,,Other names,G,False,accept,accept,Hull 2549 (Hanwha),former Name 'Hull 2549 (Hanwha)'; the row is renamed 'Al Kharrarah' by 2026-09-1
48|Other names,fill,48,,Other names,G,False,accept,accept,Hull 2550 (Hanwha),former Name 'Hull 2550 (Hanwha)'; the row is renamed 'Archy Vanguard' by 2026-09
49|Other names,fill,49,,Other names,G,False,accept,accept,Hull 2551 (Hanwha),former Name 'Hull 2551 (Hanwha)'; the row is renamed 'Harmonic Breeze' by 2026-0
50|Other names,fill,50,,Other names,G,False,accept,accept,Hull 2552 (Hanwha),former Name 'Hull 2552 (Hanwha)'; the row is renamed 'Lake Modro' by 2026-09-17_
51|Other names,fill,51,,Other names,G,False,accept,accept,Hull 2553 (Hanwha),former Name 'Hull 2553 (Hanwha)'; the row is renamed 'Lake Morskie Oko' by 2026-
53|Other names,fill,53,,Other names,G,False,accept,accept,Hull 2559 (Hanwha),former Name 'Hull 2559 (Hanwha)'; the row is renamed 'Al Sakhamah' by 2026-09-17
54|Other names,fill,54,,Other names,G,False,accept,accept,Hull 2561 (Hanwha),former Name 'Hull 2561 (Hanwha)'; the row is renamed 'Al Galayel' by 2026-09-17_
55|Other names,fill,55,,Other names,G,False,accept,accept,Hull 2562 (Hanwha),former Name 'Hull 2562 (Hanwha)'; the row is renamed 'Bu Nakhlah' by 2026-09-17_
56|Other names,fill,56,,Other names,G,False,accept,accept,Hull 2563 (Hanwha),former Name 'Hull 2563 (Hanwha)'; the row is renamed 'Al Sene' by 2026-09-17_042
57|Other names,fill,57,,Other names,G,False,accept,accept,Hull 2564 (Hanwha); QatarGas LNG 37,former Name 'Hull 2564 (Hanwha)'; the row is renamed 'Shafallah' by 2026-09-17_0
58|Other names,fill,58,,Other names,G,False,accept,accept,Hull 2565 (Hanwha),former Name 'Hull 2565 (Hanwha)'; the row is renamed 'Hasbah' by 2026-09-17_0421
60|Other names,fill,60,,Other names,G,False,accept,accept,Hull 2567 (Hanwha),former Name 'Hull 2567 (Hanwha)'; the row is renamed 'Esteem Cormorant' by 2026-
61|Other names,fill,61,,Other names,G,False,accept,accept,Hull 2568 (Hanwha),former Name 'Hull 2568 (Hanwha)'; the row is renamed 'Esteem Denali' by 2026-09-
62|Other names,fill,62,,Other names,G,False,accept,accept,Hull 2569 (Hanwha),former Name 'Hull 2569 (Hanwha)'; the row is renamed 'Esteem Penguin' by 2026-09
63|Other names,fill,63,,Other names,G,False,accept,accept,Hull 2570 (Hanwha),former Name 'Hull 2570 (Hanwha)'; the row is renamed 'Seri Dian' by 2026-09-17_0
64|Other names,fill,64,,Other names,G,False,accept,accept,Hull 2571 (Hanwha),former Name 'Hull 2571 (Hanwha)'; the row is renamed 'Seri Dayang' by 2026-09-17
65|Other names,fill,65,,Other names,G,False,accept,accept,Hull 2572 (Hanwha),former Name 'Hull 2572 (Hanwha)'; the row is renamed 'Al Thurayya' by 2026-09-17
66|Other names,fill,66,,Other names,G,False,accept,accept,Hull 2573 (Hanwha),former Name 'Hull 2573 (Hanwha)'; the row is renamed 'Al Majhoulah' by 2026-09-1
67|Other names,fill,67,,Other names,G,False,accept,accept,Hull 2574 (Hanwha),former Name 'Hull 2574 (Hanwha)'; the row is renamed 'Venture Manatee' by 2026-0
109|Other names,fill,109,,Other names,G,False,accept,accept,Hull 2636 (SHI),former Name 'Hull 2636 (SHI)'; the row is renamed 'Spirit LNG' by 2026-09-17_042
113|Other names,fill,113,,Other names,G,False,accept,accept,Hull 2640 (SHI),former Name 'Hull 2640 (SHI)'; the row is renamed 'Qtaifan' by 2026-09-17_0421ET
119|Other names,fill,119,,Other names,G,False,accept,accept,Hull 2646 (SHI),former Name 'Hull 2646 (SHI)'; the row is renamed 'Umm Heesh' by 2026-09-17_0421
120|Other names,fill,120,,Other names,G,False,accept,accept,Hull 2647 (SHI),former Name 'Hull 2647 (SHI)'; the row is renamed 'Umm Al Shubrum' by 2026-09-17
122|Other names,fill,122,,Other names,G,False,accept,accept,Hull 2652 (SHI),former Name 'Hull 2652 (SHI)'; the row is renamed 'Minerva Eleonora' by 2026-09-
123|Other names,fill,123,,Other names,G,False,accept,accept,Hull 2653 (SHI),former Name 'Hull 2653 (SHI)'; the row is renamed 'Minerva Roxanne' by 2026-09-1
129|Other names,fill,129,,Other names,G,False,accept,accept,Hull 2662 (SHI),former Name 'Hull 2662 (SHI)'; the row is renamed 'Gamy Vanguard' by 2026-09-17_
131|Other names,fill,131,,Other names,G,False,accept,accept,Hull 2664 (SHI),former Name 'Hull 2664 (SHI)'; the row is renamed 'Diamond Gas Jade' by 2026-09-
132|Other names,fill,132,,Other names,G,False,accept,accept,Hull 2665 (SHI),former Name 'Hull 2665 (SHI)'; the row is renamed 'Toho Emerald' by 2026-09-17_0
144|Other names,fill,144,,Other names,Y,False,hold,accept,Hull 2697 (SHI),"former Name 'Hull 2697 (SHI)'; the row is renamed ""E'saila"" by 2026-09-17_0421ET"
181|Other names,fill,181,,Other names,G,False,accept,accept,Hull 3371 (HDHHI),former Name 'Hull 3371 (HDHHI)'; the row is renamed 'Puteri Sarawak' by 2026-09-
184|Other names,fill,184,,Other names,G,False,accept,accept,Hull 3385 (HDHHI),former Name 'Hull 3385 (HDHHI)'; the row is renamed 'Barzan' by 2026-09-17_0421E
185|Other names,fill,185,,Other names,G,False,accept,accept,Hull 3386 (HDHHI),former Name 'Hull 3386 (HDHHI)'; the row is renamed 'Umm Wishah' by 2026-09-17_0
189|Other names,fill,189,,Other names,G,False,accept,accept,Hull 3395 (HDHHI),former Name 'Hull 3395 (HDHHI)'; the row is renamed 'Al Zuwair' by 2026-09-17_04
190|Other names,fill,190,,Other names,G,False,accept,accept,Hull 3396 (HDHHI),former Name 'Hull 3396 (HDHHI)'; the row is renamed 'Sharq' by 2026-09-17_0421ET
192|Other names,fill,192,,Other names,G,False,accept,accept,Hull 3398 (HDHHI),former Name 'Hull 3398 (HDHHI)'; the row is renamed 'Halwan' by 2026-09-17_0421E
193|Other names,fill,193,,Other names,G,False,accept,accept,Hull 3399 (HDHHI),former Name 'Hull 3399 (HDHHI)'; the row is renamed 'Al Thumaid' by 2026-09-17_0
194|Other names,fill,194,,Other names,G,False,accept,accept,Hull 3400 (HDHHI),former Name 'Hull 3400 (HDHHI)'; the row is renamed 'Al Mazrooah' by 2026-09-17_
195|Other names,fill,195,,Other names,G,False,accept,accept,Hull 3401 (HDHHI),former Name 'Hull 3401 (HDHHI)'; the row is renamed 'Qaffal' by 2026-09-17_0421E
196|Other names,fill,196,,Other names,G,False,accept,accept,Hull 3407 (HDHHI),former Name 'Hull 3407 (HDHHI)'; the row is renamed 'Excelerate Acadia' by 2026-
231|Other names,fill,231,,Other names,G,False,accept,accept,Hull 8182 (HSHI),former Name 'Hull 8182 (HSHI)'; the row is renamed 'Parthenon LNG' by 2026-09-17
232|Other names,fill,232,,Other names,G,False,accept,accept,Hull 8188 (HSHI),former Name 'Hull 8188 (HSHI)'; the row is renamed 'Puteri Selangor' by 2026-09-
233|Other names,fill,233,,Other names,G,False,accept,accept,Hull 8189 (HSHI),former Name 'Hull 8189 (HSHI)'; the row is renamed 'Puteri Terengganu' by 2026-0
235|Other names,fill,235,,Other names,G,False,accept,accept,Hull 8200 (HSHI),former Name 'Hull 8200 (HSHI)'; the row is renamed 'Olympus LNG' by 2026-09-17_0
