status,sheet_row,row_id,column,accepted_value,backend_value
landed,827,6,Other names,,
landed,827,6,Other names [ref],,
landed,838,25,Other names,,
landed,838,25,Other names [ref],,
landed,843,43,Other names,,
landed,843,43,Other names [ref],,
landed,844,44,Other names,,
landed,844,44,Other names [ref],,
landed,845,45,Other names,,
landed,845,45,Other names [ref],,
landed,846,47,Other names,,
landed,846,47,Other names [ref],,
landed,847,48,Other names,,
landed,847,48,Other names [ref],,
landed,848,49,Other names,,
landed,848,49,Other names [ref],,
landed,849,50,Other names,,
landed,849,50,Other names [ref],,
landed,850,51,Other names,,
landed,850,51,Other names [ref],,
landed,852,53,Other names,,
landed,852,53,Other names [ref],,
landed,853,54,Other names,,
landed,853,54,Other names [ref],,
landed,854,55,Other names,,
landed,854,55,Other names [ref],,
landed,855,56,Other names,,
landed,855,56,Other names [ref],,
landed,856,57,Other names,,
landed,856,57,Other names [ref],,
landed,857,58,Other names,,
landed,857,58,Other names [ref],,
landed,858,60,Other names,,
landed,858,60,Other names [ref],,
landed,859,61,Other names,,
landed,859,61,Other names [ref],,
landed,860,62,Other names,,
landed,860,62,Other names [ref],,
landed,861,63,Other names,,
landed,861,63,Other names [ref],,
landed,862,64,Other names,,
landed,862,64,Other names [ref],,
landed,863,65,Other names,,
landed,863,65,Other names [ref],,
landed,864,66,Other names,,
landed,864,66,Other names [ref],,
landed,865,67,Other names,,
landed,865,67,Other names [ref],,
landed,869,109,Other names,,
landed,869,109,Other names [ref],,
landed,870,113,Other names,,
landed,870,113,Other names [ref],,
landed,871,119,Other names,,
landed,871,119,Other names [ref],,
landed,872,120,Other names,,
landed,872,120,Other names [ref],,
landed,873,122,Other names,,
landed,873,122,Other names [ref],,
landed,874,123,Other names,,
landed,874,123,Other names [ref],,
landed,875,129,Other names,,
landed,875,129,Other names [ref],,
landed,877,131,Other names,,
landed,877,131,Other names [ref],,
landed,878,132,Other names,,
landed,878,132,Other names [ref],,
landed,881,144,Other names,,
landed,881,144,Other names [ref],,
