id,kind,row_id,cluster_id,column,confidence,derivable,default,decision,proposed_value,note
295|Vessel type,fill,295,,Vessel type,G,False,accept,accept,qc-max,"blank in backend; IGU prints 'QC-max' [IGU 2026 Appendix 4 orderbook table, PDF "
298|Vessel type,fill,298,,Vessel type,G,False,accept,accept,qc-max,"blank in backend; IGU prints 'QC-max' [IGU 2026 Appendix 4 orderbook table, PDF "
299|Vessel type,fill,299,,Vessel type,G,False,accept,accept,qc-max,"blank in backend; IGU prints 'QC-max' [IGU 2026 Appendix 4 orderbook table, PDF "
301|Vessel type,fill,301,,Vessel type,G,False,accept,accept,qc-max,"blank in backend; IGU prints 'QC-max' [IGU 2026 Appendix 4 orderbook table, PDF "
309|Vessel type,fill,309,,Vessel type,G,False,accept,accept,qc-max,"blank in backend; IGU prints 'QC-max' [IGU 2026 Appendix 4 orderbook table, PDF "
291|Vessel type,fill,291,,Vessel type,G,False,accept,accept,qc-max,"blank in backend; IGU prints 'QC-max' [IGU 2026 Appendix 4 orderbook table, PDF "
292|Vessel type,fill,292,,Vessel type,G,False,accept,accept,qc-max,"blank in backend; IGU prints 'QC-max' [IGU 2026 Appendix 4 orderbook table, PDF "
294|Vessel type,fill,294,,Vessel type,G,False,accept,accept,qc-max,"blank in backend; IGU prints 'QC-max' [IGU 2026 Appendix 4 orderbook table, PDF "
296|Vessel type,fill,296,,Vessel type,G,False,accept,accept,qc-max,"blank in backend; IGU prints 'QC-max' [IGU 2026 Appendix 4 orderbook table, PDF "
297|Vessel type,fill,297,,Vessel type,G,False,accept,accept,qc-max,"blank in backend; IGU prints 'QC-max' [IGU 2026 Appendix 4 orderbook table, PDF "
300|Vessel type,fill,300,,Vessel type,G,False,accept,accept,qc-max,"blank in backend; IGU prints 'QC-max' [IGU 2026 Appendix 4 orderbook table, PDF "
302|Vessel type,fill,302,,Vessel type,G,False,accept,accept,qc-max,"blank in backend; IGU prints 'QC-max' [IGU 2026 Appendix 4 orderbook table, PDF "
304|Vessel type,fill,304,,Vessel type,G,False,accept,accept,qc-max,"blank in backend; IGU prints 'QC-max' [IGU 2026 Appendix 4 orderbook table, PDF "
305|Vessel type,fill,305,,Vessel type,G,False,accept,accept,qc-max,"blank in backend; IGU prints 'QC-max' [IGU 2026 Appendix 4 orderbook table, PDF "
306|Vessel type,fill,306,,Vessel type,G,False,accept,accept,qc-max,"blank in backend; IGU prints 'QC-max' [IGU 2026 Appendix 4 orderbook table, PDF "
307|Vessel type,fill,307,,Vessel type,G,False,accept,accept,qc-max,"blank in backend; IGU prints 'QC-max' [IGU 2026 Appendix 4 orderbook table, PDF "
303|Vessel type,fill,303,,Vessel type,G,False,accept,accept,qc-max,"blank in backend; IGU prints 'QC-max' [IGU 2026 Appendix 4 orderbook table, PDF "
311|Vessel type,fill,311,,Vessel type,G,False,accept,accept,qc-max,"blank in backend; IGU prints 'QC-max' [IGU 2026 Appendix 4 orderbook table, PDF "
312|Vessel type,fill,312,,Vessel type,G,False,accept,accept,qc-max,"blank in backend; IGU prints 'QC-max' [IGU 2026 Appendix 4 orderbook table, PDF "
290|Vessel type,fill,290,,Vessel type,G,False,accept,accept,qc-max,"blank in backend; IGU prints 'QC-max' [IGU 2026 Appendix 4 orderbook table, PDF "
293|Vessel type,fill,293,,Vessel type,G,False,accept,accept,qc-max,"blank in backend; IGU prints 'QC-max' [IGU 2026 Appendix 4 orderbook table, PDF "
313|Vessel type,fill,313,,Vessel type,G,False,accept,accept,qc-max,"blank in backend; IGU prints 'QC-max' [IGU 2026 Appendix 4 orderbook table, PDF "
308|Vessel type,fill,308,,Vessel type,G,False,accept,accept,qc-max,"blank in backend; IGU prints 'QC-max' [IGU 2026 Appendix 4 orderbook table, PDF "
310|Vessel type,fill,310,,Vessel type,G,False,accept,accept,qc-max,"blank in backend; IGU prints 'QC-max' [IGU 2026 Appendix 4 orderbook table, PDF "
