status,sheet_row,row_id,column,accepted_value,backend_value
landed,1070,295,Vessel type,,
landed,1070,295,Vessel type [ref],,
landed,1071,298,Vessel type,,
landed,1071,298,Vessel type [ref],,
landed,1072,299,Vessel type,,
landed,1072,299,Vessel type [ref],,
landed,1073,301,Vessel type,,
landed,1073,301,Vessel type [ref],,
landed,1074,309,Vessel type,,
landed,1074,309,Vessel type [ref],,
landed,1119,291,Vessel type,,
landed,1119,291,Vessel type [ref],,
landed,1120,292,Vessel type,,
landed,1120,292,Vessel type [ref],,
landed,1121,294,Vessel type,,
landed,1121,294,Vessel type [ref],,
landed,1122,296,Vessel type,,
landed,1122,296,Vessel type [ref],,
landed,1123,297,Vessel type,,
landed,1123,297,Vessel type [ref],,
landed,1124,300,Vessel type,,
landed,1124,300,Vessel type [ref],,
landed,1125,302,Vessel type,,
landed,1125,302,Vessel type [ref],,
landed,1126,304,Vessel type,,
landed,1126,304,Vessel type [ref],,
landed,1127,305,Vessel type,,
landed,1127,305,Vessel type [ref],,
landed,1128,306,Vessel type,,
landed,1128,306,Vessel type [ref],,
landed,1129,307,Vessel type,,
landed,1129,307,Vessel type [ref],,
landed,1171,303,Vessel type,,
landed,1171,303,Vessel type [ref],,
landed,1172,311,Vessel type,,
landed,1172,311,Vessel type [ref],,
landed,1173,312,Vessel type,,
landed,1173,312,Vessel type [ref],,
landed,1176,290,Vessel type,,
landed,1176,290,Vessel type [ref],,
landed,1177,293,Vessel type,,
landed,1177,293,Vessel type [ref],,
landed,1178,313,Vessel type,,
landed,1178,313,Vessel type [ref],,
landed,1201,308,Vessel type,,
landed,1201,308,Vessel type [ref],,
landed,1202,310,Vessel type,,
landed,1202,310,Vessel type [ref],,
