status,sheet_row,row_id,column,accepted_value,backend_value
landed,61,969,Price,,
landed,61,969,Price currency,,
landed,487,1044,Price,,
landed,487,1044,Price currency,,
landed,488,1045,Price,,
landed,488,1045,Price currency,,
landed,946,72,Price,,
landed,946,72,Price currency,,
landed,948,74,Price,,
landed,948,74,Price currency,,
landed,950,78,Price,,
landed,950,78,Price currency,,
landed,953,102,Price,,
landed,953,102,Price currency,,
landed,954,103,Price,,
landed,954,103,Price currency,,
landed,964,163,Price,,
landed,964,163,Price currency,,
landed,965,164,Price,,
landed,965,164,Price currency,,
landed,994,250,Price,,
landed,994,250,Price currency,,
landed,1004,408,Price,,
landed,1004,408,Price currency,,
landed,1025,92,Price,,
landed,1025,92,Price currency,,
landed,1026,94,Price,,
landed,1026,94,Price currency,,
landed,1027,96,Price,,
landed,1027,96,Price currency,,
landed,1028,98,Price,,
landed,1028,98,Price currency,,
landed,1049,165,Price,,
landed,1049,165,Price currency,,
landed,1050,166,Price,,
landed,1050,166,Price currency,,
landed,1051,167,Price,,
landed,1051,167,Price currency,,
landed,1052,168,Price,,
landed,1052,168,Price currency,,
landed,1053,169,Price,,
landed,1053,169,Price currency,,
landed,1054,178,Price,,
landed,1054,178,Price currency,,
landed,1059,224,Price,,
landed,1059,224,Price currency,,
landed,1075,314,Price,,
landed,1075,314,Price currency,,
landed,1076,315,Price,,
landed,1076,315,Price currency,,
landed,1077,316,Price,,
landed,1077,316,Price currency,,
landed,1078,317,Price,,
landed,1078,317,Price currency,,
landed,1083,666,Price,,
landed,1083,666,Price currency,,
landed,1203,667,Price,,
landed,1203,667,Price currency,,
