op,key,column,value
set,d027baa9-db1c-4b4e-ba06-12390868124a,Hull number,Hull 2579 (SHI)
set,c733a005-e8d3-4c65-9e8b-b6e6c1a26cd9,Hull number,Hull 2585 (SHI)
set,b5c1b818-1abd-4e3f-9468-28851872fdd8,Hull number,Hull 2532 (Hanwha)
set,4b7fc909-a262-46cd-8750-c90fead9c8fc,Hull number,Hull 1880A (Hudong)
set,1f257e7f-007b-4de9-83b4-c0ae0fc8a2a7,Hull number,Hull 2522 (Hanwha)
set,40906e2b-820a-42b2-ba26-1f4bc66a3388,Hull number,Hull 1835A (Hudong)
set,4f428939-9545-4365-b5ca-38b12c9f9a6b,Hull number,Hull 2596 (SHI)
set,f126149b-d382-4202-a231-f549626e73f0,Hull number,Hull 8196 (HSHI)
set,5c287f90-0b80-47c0-95a8-1b363cc4f9ab,Hull number,Hull 2474 (SHI)
set,09fb5069-f5f9-49eb-9cc1-a319ac755134,Hull number,Hull 2473 (SHI)
set,7a9d6307-6430-41f2-9732-acf7cb3a8272,Hull number,Hull 8173 (HDHHI)
set,1191e951-e1c6-4853-98db-d5b8e916fa63,Hull number,Hull 2536 (Hanwha)
set,c29ce8b7-20bb-4edd-885f-deb3a5662416,Hull number,Hull 8100 (HDHHI)
set,4968c964-6adf-4f27-a9a2-b2c334056de5,Hull number,Hull 2523 (Hanwha)
set,1ce1f4ff-65da-4b58-843e-8a4e7069e732,Hull number,Hull 2524 (Hanwha)
set,9310efd4-208c-47de-9952-52fab6f712f2,Hull number,Hull 2583 (SHI)
set,10920fcf-f054-46ea-80f6-7320d48c9071,Hull number,Hull 2546 (SHI)
set,4c9e006e-97d8-4415-a8e7-c6cb5a69a1ac,Hull number,Hull 2594 (SHI)
set,0e2d68a2-4cdc-4554-97b8-d0a7c9310535,Hull number,Hull 3296 (HDHHI)
set,8ab72a01-788a-4e59-9b40-ecf928c729b2,Hull number,Hull 2604 (SHI)
set,81e3c17d-095d-4dbe-8d3f-364be0bc6953,Hull number,Hull 1790A (Hudong)
set,5e51dd2e-a4e7-4746-8319-7602ea361a9f,Hull number,Hull 1791A (Hudong)
set,4c637265-4dbf-42a1-b25f-b2cdaf83a41b,Hull number,Hull 2597 (SHI)
set,35ac1fa1-5ac8-4a4e-8af1-b14be8a95098,Hull number,Hull 8170 (HDHHI)
set,41954aa0-a03d-4cc7-b0a7-78fc31015f92,Hull number,Hull 2547 (Hanwha)
set,41954aa0-a03d-4cc7-b0a7-78fc31015f92,Hull number [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,818d3935-de71-4c3f-b21f-238166c08bec,Hull number,Hull 8197 (HSHI)
set,818d3935-de71-4c3f-b21f-238166c08bec,Hull number [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,47cb619a-473d-45ef-bd07-7f1c406e7762,Hull number,Hull 2595 (SHI)
set,47cb619a-473d-45ef-bd07-7f1c406e7762,Hull number [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,7fa4c722-b2ba-4926-99c1-3b3287e9cd6e,Hull number,Hull 2601 (SHI)
set,1e270562-6ceb-4de3-8257-3a4c87bfb141,Hull number,Hull 2548 (Hanwha)
set,1e270562-6ceb-4de3-8257-3a4c87bfb141,Hull number [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,5a45e84d-ed94-49fe-aac8-62da544b73a5,Hull number,Hull 2526 (Hanwha)
set,5a45e84d-ed94-49fe-aac8-62da544b73a5,Hull number [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,1a5c49c0-9b5f-4eeb-a217-a5e5ffcd8b80,Hull number,Hull 2607 (SHI)
set,1a5c49c0-9b5f-4eeb-a217-a5e5ffcd8b80,Hull number [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,875a95ab-f249-41ab-846b-f0a8b7a0c2b2,Hull number,Hull H2702 (Jiangnan)
set,72450251-c5c6-4879-a110-ba82be55cb16,Hull number,Hull 2608 (SHI)
set,72450251-c5c6-4879-a110-ba82be55cb16,Hull number [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,0b14ff6c-9946-4d11-a70b-618609bacc30,Hull number,Hull 3381 (HDHHI)
set,0b14ff6c-9946-4d11-a70b-618609bacc30,Hull number [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,0d760f9f-3355-4099-adb8-4b65eaa764bc,Hull number,Hull 3380 (HDHHI)
set,0d760f9f-3355-4099-adb8-4b65eaa764bc,Hull number [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
