original order in sheet,IMO number,IMO number [ref],Name,Name [ref],Notes,Other names,Other names [ref],Hull number,Hull number [ref],Status,Researcher,Last updated,Status [ref],Shipowner,Shipowner [ref],Shipowner country/area,Shipowner country/area [ref],Shipbuilder,Shipbuilder [ref],Shipbuilder yard country/area,Shipbuilder yard country/area [ref],Yard location latitude,Yard location longitude,Yard location plus code,Yard location accuracy,Yard location lat/lon [ref],Capacity,Capacity units,Capacity [ref],Cargo type,Cargo type [ref],Vessel type,Vessel type [ref],Propulsion type,Propulsion type [ref],Delivery year,Delivery year [ref],Delivery delayed,Previous delivery year(s),Previous delivery year(s) [ref],[Original source],Operator/charterer,Operator/charterer [ref],Contract date,Contract date [ref],Price,Price currency,Price [ref]
1,9965435,https://www.igu.org/igu-reports/2025-world-lng-report,Al Rahba,https://www.igu.org/igu-reports/2025-world-lng-report,,,,Hull H2701 (Jiangnan),https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/11/2025,https://www.vesselfinder.com/vessels/details/9965435,ADNOC L&S,https://www.igu.org/igu-reports/2025-world-lng-report,United Arab Emirates,"https://shipandbunker.com/news/world/249785-adnoc-ls-takes-delivery-of-lng-carrier-from-china, https://adnocls.ae/en/news-and-media/press-releases/2025/al-rahba-lng-carrier-from-jiangnan-shipyard",Jiangnan Shipyard,https://www.igu.org/igu-reports/2025-world-lng-report,China,https://www.jnshipyard.com.cn/,31.355766,121.502217,"9G32+XJ Baoshan, Shanghai, China",exact,"https://www.google.com/maps/place/Jiangnan+Shipyard+%EF%BC%88Group%EF%BC%89+Co.,+Ltd./@31.354923,121.4990201,752m/data=!3m2!1e3!4b1!4m6!3m5!1s0x35b27324c39e47ab:0x7a74ae921f6eb2ab!8m2!3d31.354923!4d121.501595!16s%2Fg%2F11cnpghcr_?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D",174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,"https://www.dnv.com/news/2024/adnoc-jiangnan-shipyard-and-dnv-celebrate-delivery-of-first-large-scale-mark-iii-flex-lng-carrier-in-china/, https://lngprime.com/asia/jiangnan-floats-out-adnocs-lng-carrier/128441/",conventional,"https://www.dnv.com/news/2024/adnoc-jiangnan-shipyard-and-dnv-celebrate-delivery-of-first-large-scale-mark-iii-flex-lng-carrier-in-china/, https://lngprime.com/asia/jiangnan-floats-out-adnocs-lng-carrier/128441/",X-DF,https://www.igu.org/igu-reports/2025-world-lng-report,2025,https://www.igu.org/igu-reports/2025-world-lng-report,,,,IGU,ADNOC L&S,"https://adnocls.ae/en/news-and-media/press-releases/2025/al-rahba-lng-carrier-from-jiangnan-shipyard, https://www.marinetraffic.org/ship-owner-manager-ism-data/AL%20RAHBA/9965435/636023750",,,,,
2,9972945,https://www.igu.org/igu-reports/2025-world-lng-report,Al Reef,https://www.igu.org/igu-reports/2025-world-lng-report,,,,Hull H2702 (Jiangnan),https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/11/2025,https://www.vesselfinder.com/vessels/details/9972945,ADNOC L&S,https://www.igu.org/igu-reports/2025-world-lng-report,United Arab Emirates,"https://shipandbunker.com/news/world/249785-adnoc-ls-takes-delivery-of-lng-carrier-from-china, https://adnocls.ae/en/news-and-media/press-releases/2025/al-rahba-lng-carrier-from-jiangnan-shipyard",Jiangnan Shipyard,https://www.igu.org/igu-reports/2025-world-lng-report,China,https://www.jnshipyard.com.cn/,31.355766,121.502217,"9G32+XJ Baoshan, Shanghai, China",exact,"https://www.google.com/maps/place/Jiangnan+Shipyard+%EF%BC%88Group%EF%BC%89+Co.,+Ltd./@31.354923,121.4990201,752m/data=!3m2!1e3!4b1!4m6!3m5!1s0x35b27324c39e47ab:0x7a74ae921f6eb2ab!8m2!3d31.354923!4d121.501595!16s%2Fg%2F11cnpghcr_?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D",174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,"https://www.dnv.com/news/2024/adnoc-jiangnan-shipyard-and-dnv-celebrate-delivery-of-first-large-scale-mark-iii-flex-lng-carrier-in-china/, https://lngprime.com/asia/jiangnan-floats-out-adnocs-lng-carrier/128441/",conventional,"https://www.dnv.com/news/2024/adnoc-jiangnan-shipyard-and-dnv-celebrate-delivery-of-first-large-scale-mark-iii-flex-lng-carrier-in-china/, https://lngprime.com/asia/jiangnan-floats-out-adnocs-lng-carrier/128441/",X-DF,https://www.igu.org/igu-reports/2025-world-lng-report,2025,https://www.igu.org/igu-reports/2025-world-lng-report,,,,IGU,ADNOC L&S,"https://adnocls.ae/en/news-and-media/press-releases/2025/al-rahba-lng-carrier-from-jiangnan-shipyard, https://www.chinashipbuild.com/ship.aspx?pklujyukkpp4sgsgCanmkhTk8Pl4EN=",,,,,
17,9953248,https://www.igu.org/igu-reports/2025-world-lng-report,Rex Tillerson,https://www.igu.org/igu-reports/2025-world-lng-report,,,,Hull 1790A (Hudong),https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,https://www.igu.org/igu-reports/2025-world-lng-report,MOL,https://www.igu.org/igu-reports/2025-world-lng-report,Japan,https://www.mol.co.jp/en/,Hudong-Zhonghua Shipbuilding,https://www.igu.org/igu-reports/2025-world-lng-report,China,https://www.shipyards.gr/shipyards/new-buildings-shipyards/newbuilding-farest-pacific-ocean/newbuilding-far-east-china-sea/china-south/hudong-zhonghua-shipbuilding-group-coltd,31.271988,121.575478,"7HCG+R4 Pudong, Shanghai, China",exact,"https://www.google.com/maps/place/Hudong-Zhonghua+Shipbuilding/@31.2720706,121.5727207,753m/data=!3m2!1e3!4b1!4m6!3m5!1s0x35b2742eceeb203d:0x37fddc7176d2cc24!8m2!3d31.2720706!4d121.5752956!16s%2Fg%2F1td0qx6d?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D",174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,https://www.igu.org/igu-reports/2025-world-lng-report,conventional,https://www.igu.org/igu-reports/2025-world-lng-report,X-DF,https://www.igu.org/igu-reports/2025-world-lng-report,2024,https://www.igu.org/igu-reports/2025-world-lng-report,,,,IGU,QatarEnergy,"https://www.bairdmaritime.com/shipping/tankers/gas/qatarenergy-names-newest-174000cbm-lng-carrier, https://www.bairdmaritime.com/shipping/tankers/gas/vessel-review-rex-tillerson-umm-ghuwailina-qatarenergy-expands-lng-carrier-fleet-with-174000cbm-newbuilds",,,,,
18,9953250,https://www.igu.org/igu-reports/2025-world-lng-report,Umm Ghuwailina,https://www.igu.org/igu-reports/2025-world-lng-report,,,,Hull 1791A (Hudong),https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,https://www.igu.org/igu-reports/2025-world-lng-report,MOL,https://www.igu.org/igu-reports/2025-world-lng-report,Japan,https://www.mol.co.jp/en/,Hudong-Zhonghua Shipbuilding,https://www.igu.org/igu-reports/2025-world-lng-report,China,https://www.shipyards.gr/shipyards/new-buildings-shipyards/newbuilding-farest-pacific-ocean/newbuilding-far-east-china-sea/china-south/hudong-zhonghua-shipbuilding-group-coltd,31.271988,121.575478,"7HCG+R4 Pudong, Shanghai, China",exact,"https://www.google.com/maps/place/Hudong-Zhonghua+Shipbuilding/@31.2720706,121.5727207,753m/data=!3m2!1e3!4b1!4m6!3m5!1s0x35b2742eceeb203d:0x37fddc7176d2cc24!8m2!3d31.2720706!4d121.5752956!16s%2Fg%2F1td0qx6d?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D",174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,https://www.igu.org/igu-reports/2025-world-lng-report,conventional,https://www.igu.org/igu-reports/2025-world-lng-report,X-DF,https://www.igu.org/igu-reports/2025-world-lng-report,2024,https://www.igu.org/igu-reports/2025-world-lng-report,,,,IGU,QatarEnergy,"https://www.bairdmaritime.com/shipping/tankers/gas/qatarenergy-names-newest-174000cbm-lng-carrier, https://www.bairdmaritime.com/shipping/tankers/gas/vessel-review-rex-tillerson-umm-ghuwailina-qatarenergy-expands-lng-carrier-fleet-with-174000cbm-newbuilds",,,,,
20,9958652,https://www.igu.org/igu-reports/2025-world-lng-report,Huashan,https://www.igu.org/igu-reports/2025-world-lng-report,,,,Hull 1835A (Hudong),https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,https://www.igu.org/igu-reports/2025-world-lng-report,United Liquefied Gas,https://www.igu.org/igu-reports/2025-world-lng-report,Hong Kong,"https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0630/2020063001526.pdf, https://www.dnb.com/business-directory/company-profiles.united_liquefied_gas_shipping_(hong_kong)_co_limited.3a59504491a60237f6ee20cb8547ee65.html",Hudong-Zhonghua Shipbuilding,https://www.igu.org/igu-reports/2025-world-lng-report,China,https://www.shipyards.gr/shipyards/new-buildings-shipyards/newbuilding-farest-pacific-ocean/newbuilding-far-east-china-sea/china-south/hudong-zhonghua-shipbuilding-group-coltd,31.271988,121.575478,"7HCG+R4 Pudong, Shanghai, China",exact,"https://www.google.com/maps/place/Hudong-Zhonghua+Shipbuilding/@31.2720706,121.5727207,753m/data=!3m2!1e3!4b1!4m6!3m5!1s0x35b2742eceeb203d:0x37fddc7176d2cc24!8m2!3d31.2720706!4d121.5752956!16s%2Fg%2F1td0qx6d?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D",174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,https://www.igu.org/igu-reports/2025-world-lng-report,conventional,https://www.igu.org/igu-reports/2025-world-lng-report,X-DF,https://www.igu.org/igu-reports/2025-world-lng-report,2024,https://www.igu.org/igu-reports/2025-world-lng-report,,,,IGU,PetroChina International,"https://www.bairdmaritime.com/shipping/tankers/gas/vessel-review-huashan-large-lng-carrier-for-petrochinas-gas-transportation-activities, https://lngprime.com/asia/hudong-zhonghua-coscos-lng-carrier-wraps-up-trials-in-record-time/110951/, https://en.energy.coscoshipping.com/col/col21116/art/2024/art_61cd347bc09d4b9e99962d2d291dd4ad.html",,,,,
22,9961477,https://www.igu.org/igu-reports/2025-world-lng-report,Greenergy Ocean,https://www.igu.org/igu-reports/2025-world-lng-report,,,,Hull 1880A (Hudong),https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,https://www.igu.org/igu-reports/2025-world-lng-report,MOL,https://www.igu.org/igu-reports/2025-world-lng-report,Japan,"https://www.mol.co.jp/en/corporate/profile/, https://en.wikipedia.org/wiki/Mitsui_O.S.K._Lines",Hudong-Zhonghua Shipbuilding,https://www.igu.org/igu-reports/2025-world-lng-report,China,https://www.shipyards.gr/shipyards/new-buildings-shipyards/newbuilding-farest-pacific-ocean/newbuilding-far-east-china-sea/china-south/hudong-zhonghua-shipbuilding-group-coltd,31.271988,121.575478,"7HCG+R4 Pudong, Shanghai, China",exact,"https://www.google.com/maps/place/Hudong-Zhonghua+Shipbuilding/@31.2720706,121.5727207,753m/data=!3m2!1e3!4b1!4m6!3m5!1s0x35b2742eceeb203d:0x37fddc7176d2cc24!8m2!3d31.2720706!4d121.5752956!16s%2Fg%2F1td0qx6d?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D",174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,https://www.igu.org/igu-reports/2025-world-lng-report,conventional,https://www.igu.org/igu-reports/2025-world-lng-report,X-DF,https://www.igu.org/igu-reports/2025-world-lng-report,2024,https://www.igu.org/igu-reports/2025-world-lng-report,,,,IGU,,,,,,,
32,9941518,https://www.igu.org/igu-reports/2025-world-lng-report,Maran Gas Nice,https://www.igu.org/igu-reports/2025-world-lng-report,,,,Hull 2473 (SHI),https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,https://www.igu.org/igu-reports/2025-world-lng-report,Maran Gas Maritime,https://www.igu.org/igu-reports/2025-world-lng-report,Greece,"https://www.sigtto.org/membership/member-stories/maran-gas-maritime-inc-mgm/, https://magicport.ai/owners-managers/greece/maran-gas-maritime-inc",Samsung Heavy Industries,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.samsungshi.com/En/Default.aspx,34.89804,128.6045,"VJW3+QV Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Samsung+Heavy+industries/data=!3m1!1e3!4m10!1m2!2m1!1ssamsung+heavy+industries!3m6!1s0x356ecd83691a8fb5:0xd4204e9a1bb0ef10!8m2!3d34.8969682!4d128.6046376!15sChhzYW1zdW5nIGhlYXZ5IGluZHVzdHJpZXOSAQhzaGlweWFyZOABAA!16s%2Fg%2F1tgcpry6?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,https://www.igu.org/igu-reports/2025-world-lng-report,conventional,https://www.igu.org/igu-reports/2025-world-lng-report,X-DF,https://www.igu.org/igu-reports/2025-world-lng-report,2024,https://www.igu.org/igu-reports/2025-world-lng-report,,,,IGU,,,,,,,
33,9941520,https://www.igu.org/igu-reports/2025-world-lng-report,Maran Gas Antibes,https://www.igu.org/igu-reports/2025-world-lng-report,,,,Hull 2474 (SHI),https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,https://www.igu.org/igu-reports/2025-world-lng-report,Maran Gas Maritime,https://www.igu.org/igu-reports/2025-world-lng-report,Greece,"https://www.sigtto.org/membership/member-stories/maran-gas-maritime-inc-mgm/, https://magicport.ai/owners-managers/greece/maran-gas-maritime-inc",Samsung Heavy Industries,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.samsungshi.com/En/Default.aspx,34.89804,128.6045,"VJW3+QV Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Samsung+Heavy+industries/data=!3m1!1e3!4m10!1m2!2m1!1ssamsung+heavy+industries!3m6!1s0x356ecd83691a8fb5:0xd4204e9a1bb0ef10!8m2!3d34.8969682!4d128.6046376!15sChhzYW1zdW5nIGhlYXZ5IGluZHVzdHJpZXOSAQhzaGlweWFyZOABAA!16s%2Fg%2F1tgcpry6?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,https://www.igu.org/igu-reports/2025-world-lng-report,conventional,https://www.igu.org/igu-reports/2025-world-lng-report,X-DF,https://www.igu.org/igu-reports/2025-world-lng-report,2024,https://www.igu.org/igu-reports/2025-world-lng-report,,,,IGU,,,,,,,
34,9947691,https://www.igu.org/igu-reports/2025-world-lng-report,HLS Cartagena,https://www.igu.org/igu-reports/2025-world-lng-report,,,,Hull 2522 (Hanwha),https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,https://www.igu.org/igu-reports/2025-world-lng-report,Hyundai LNG Shipping,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,"https://www.hls.co.kr/en/contact/location.do?m=location, https://www.emis.com/php/company-profile/KR/Hyundai_Lng_Shipping_CoLtd_en_4269939.html",Hanwha Ocean,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.hanwha.com/companies/hanwha-ocean.do,34.87385,128.6966,"VMCW+V7 Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Hanwha+Ocean/data=!3m1!1e3!4m10!1m2!2m1!1sHanwha+Ocean!3m6!1s0x356ecd1d7a72f7db:0x3bfe90e7d8bf93f0!8m2!3d34.8721913!4d128.6956963!15sCgxIYW53aGEgT2NlYW5aDiIMaGFud2hhIG9jZWFukgEfc2hpcGJ1aWxkaW5nX2FuZF9yZXBhaXJfY29tcGFueZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSUmRYVkVTMWhuRUFF4AEA-gEECAAQLA!16s%2Fg%2F11swmd6_76?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,https://www.igu.org/igu-reports/2025-world-lng-report,conventional,https://www.igu.org/igu-reports/2025-world-lng-report,ME-GI,https://www.igu.org/igu-reports/2025-world-lng-report,2024,https://www.igu.org/igu-reports/2025-world-lng-report,,,,IGU,,,,,,,
35,9958298,https://www.igu.org/igu-reports/2025-world-lng-report,North Light,https://www.igu.org/igu-reports/2025-world-lng-report,,,,Hull 2523 (Hanwha),https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,https://www.igu.org/igu-reports/2025-world-lng-report,MOL,https://www.igu.org/igu-reports/2025-world-lng-report,Japan,"https://www.mol.co.jp/en/corporate/profile/, https://en.wikipedia.org/wiki/Mitsui_O.S.K._Lines",Hanwha Ocean,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.hanwha.com/companies/hanwha-ocean.do,34.87385,128.6966,"VMCW+V7 Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Hanwha+Ocean/data=!3m1!1e3!4m10!1m2!2m1!1sHanwha+Ocean!3m6!1s0x356ecd1d7a72f7db:0x3bfe90e7d8bf93f0!8m2!3d34.8721913!4d128.6956963!15sCgxIYW53aGEgT2NlYW5aDiIMaGFud2hhIG9jZWFukgEfc2hpcGJ1aWxkaW5nX2FuZF9yZXBhaXJfY29tcGFueZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSUmRYVkVTMWhuRUFF4AEA-gEECAAQLA!16s%2Fg%2F11swmd6_76?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,membrane,https://www.igu.org/igu-reports/2025-world-lng-report,conventional,https://www.igu.org/igu-reports/2025-world-lng-report,ME-GA,https://www.igu.org/igu-reports/2025-world-lng-report,2024,https://www.igu.org/igu-reports/2025-world-lng-report,,,,IGU,,,,,,,
