op,key,column,value
set,1077,Shipowner country/area,Malaysia
set,1077,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,1078,Shipowner country/area,Malaysia
set,1078,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,971,Shipowner country/area,Malaysia
set,971,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,968,Shipowner country/area,Malaysia
set,968,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,974,Shipowner country/area,Malaysia
set,974,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,726,Shipowner country/area,Malaysia
set,726,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,979,Shipowner country/area,Malaysia
set,979,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,727,Shipowner country/area,Malaysia
set,727,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,969,Shipowner country/area,Malaysia
set,969,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,975,Shipowner country/area,Malaysia
set,975,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,970,Shipowner country/area,Malaysia
set,970,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,980,Shipowner country/area,Malaysia
set,980,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,973,Shipowner country/area,Malaysia
set,973,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,1014,Shipowner country/area,Malaysia
set,1014,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,1015,Shipowner country/area,Malaysia
set,1015,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,1016,Shipowner country/area,Malaysia
set,1016,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,1017,Shipowner country/area,Malaysia
set,1017,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,1018,Shipowner country/area,Malaysia
set,1018,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,1019,Shipowner country/area,Malaysia
set,1019,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,1022,Shipowner country/area,Malaysia
set,1022,Shipowner country/area [ref],"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
set,1023,Shipowner country/area,Malaysia
