original order in sheet,IMO number,IMO number [ref],Name,Name [ref],Notes,Other names,Other names [ref],Hull number,Hull number [ref],Status,Researcher,Last updated,Status [ref],Shipowner,Shipowner [ref],Shipowner country/area,Shipowner country/area [ref],Shipbuilder,Shipbuilder [ref],Shipbuilder yard country/area,Shipbuilder yard country/area [ref],Yard location latitude,Yard location longitude,Yard location plus code,Yard location accuracy,Yard location lat/lon [ref],Capacity,Capacity units,Capacity [ref],Cargo type,Cargo type [ref],Vessel type,Vessel type [ref],Propulsion type,Propulsion type [ref],Delivery year,Delivery year [ref],Delivery delayed,Previous delivery year(s),Previous delivery year(s) [ref],[Original source],Operator/charterer,Operator/charterer [ref],Contract date,Contract date [ref],Price,Price currency,Price [ref]
63,9991915,https://www.igu.org/igu-reports/2025-world-lng-report,Seri Dian,"https://www.shipvault.com/ships/465049, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465049",,Hull 2570 (Hanwha),"https://www.shipvault.com/ships/465049, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465049",Hull 2570 (Hanwha),https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,"https://www.shipvault.com/ships/465049, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465049",MISC,https://www.igu.org/igu-reports/2025-world-lng-report,Malaysia,"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad",Hanwha Ocean,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.hanwha.com/companies/hanwha-ocean.do,34.87385,128.6966,"VMCW+V7 Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Hanwha+Ocean/data=!3m1!1e3!4m10!1m2!2m1!1sHanwha+Ocean!3m6!1s0x356ecd1d7a72f7db:0x3bfe90e7d8bf93f0!8m2!3d34.8721913!4d128.6956963!15sCgxIYW53aGEgT2NlYW5aDiIMaGFud2hhIG9jZWFukgEfc2hpcGJ1aWxkaW5nX2FuZF9yZXBhaXJfY29tcGFueZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSUmRYVkVTMWhuRUFF4AEA-gEECAAQLA!16s%2Fg%2F11swmd6_76?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,,,conventional,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,X-DF,https://www.igu.org/igu-reports/2025-world-lng-report,2026,https://www.igu.org/igu-reports/2025-world-lng-report,,,,IGU,,,,,,,
64,9991927,https://www.igu.org/igu-reports/2025-world-lng-report,Seri Dayang,"https://www.shipvault.com/ships/465050, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465050",,Hull 2571 (Hanwha),"https://www.shipvault.com/ships/465050, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465050",Hull 2571 (Hanwha),https://www.igu.org/igu-reports/2025-world-lng-report,active,GEM,12/31/2024,"https://www.shipvault.com/ships/465050, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465050",MISC,https://www.igu.org/igu-reports/2025-world-lng-report,Malaysia,"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad",Hanwha Ocean,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.hanwha.com/companies/hanwha-ocean.do,34.87385,128.6966,"VMCW+V7 Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Hanwha+Ocean/data=!3m1!1e3!4m10!1m2!2m1!1sHanwha+Ocean!3m6!1s0x356ecd1d7a72f7db:0x3bfe90e7d8bf93f0!8m2!3d34.8721913!4d128.6956963!15sCgxIYW53aGEgT2NlYW5aDiIMaGFud2hhIG9jZWFukgEfc2hpcGJ1aWxkaW5nX2FuZF9yZXBhaXJfY29tcGFueZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSUmRYVkVTMWhuRUFF4AEA-gEECAAQLA!16s%2Fg%2F11swmd6_76?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,,,conventional,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,X-DF,https://www.igu.org/igu-reports/2025-world-lng-report,2026,https://www.igu.org/igu-reports/2025-world-lng-report,,,,IGU,,,,,,,
72,9995480,"https://www.shipvault.com/ships/465056, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465056",Hull 2580,"https://www.shipvault.com/ships/465056, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465056",,,,Hull 2580,"https://www.shipvault.com/ships/465056, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465056",on order,SFOC,12/8/2025,"https://www.shipvault.com/ships/465056, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465056",Mitsui OSK Lines,"https://www.shipvault.com/ships/465056, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465056",Japan,"https://en.wikipedia.org/wiki/Mitsui_O.S.K._Lines, https://magicport.ai/owners-managers/japan/mitsui-osk-lines-ltd, https://stockanalysis.com/quote/tyo/9104/company/",Hanwha Ocean,"https://www.shipvault.com/ships/465056, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465056",South Korea,https://www.hanwha.com/companies/hanwha-ocean.do,34.87385,128.6966,"VMCW+V7 Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Hanwha+Ocean/data=!3m1!1e3!4m10!1m2!2m1!1sHanwha+Ocean!3m6!1s0x356ecd1d7a72f7db:0x3bfe90e7d8bf93f0!8m2!3d34.8721913!4d128.6956963!15sCgxIYW53aGEgT2NlYW5aDiIMaGFud2hhIG9jZWFukgEfc2hpcGJ1aWxkaW5nX2FuZF9yZXBhaXJfY29tcGFueZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSUmRYVkVTMWhuRUFF4AEA-gEECAAQLA!16s%2Fg%2F11swmd6_76?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,,,,,,,,,,2027,"https://www.shipvault.com/ships/465056, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465056",,,,Clarkson,,,1-Sep-2022,"https://www.shipvault.com/ships/465056, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/465056",224000000.00,USD,https://www.shipvault.com/ships/465056
74,1022043,"https://www.shipvault.com/ships/470097, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/470097",Maran Gas Poliegos,"https://www.shipvault.com/ships/470097, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/470097",,Hull 2582 (Hanwha),"https://www.shipvault.com/ships/470097, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/470097",Hull 2582 (Hanwha),"https://www.shipvault.com/ships/470097, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/470097",on order,SFOC,12/8/2025,"https://www.shipvault.com/ships/470097, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/470097",Maran Gas Maritime,"https://www.shipvault.com/ships/470097, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/470097",Greece,"https://magicport.ai/owners-managers/greece/maran-gas-maritime-inc, https://lngprime.com/europe/greeces-maran-gas-welcomes-lng-carrier-john-a-angelicoussis-to-its-fleet/47566/",Hanwha Ocean,"https://www.shipvault.com/ships/470097, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/470097",South Korea,https://www.hanwha.com/companies/hanwha-ocean.do,34.87385,128.6966,"VMCW+V7 Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Hanwha+Ocean/data=!3m1!1e3!4m10!1m2!2m1!1sHanwha+Ocean!3m6!1s0x356ecd1d7a72f7db:0x3bfe90e7d8bf93f0!8m2!3d34.8721913!4d128.6956963!15sCgxIYW53aGEgT2NlYW5aDiIMaGFud2hhIG9jZWFukgEfc2hpcGJ1aWxkaW5nX2FuZF9yZXBhaXJfY29tcGFueZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSUmRYVkVTMWhuRUFF4AEA-gEECAAQLA!16s%2Fg%2F11swmd6_76?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,,,,,,,,,,2027,"https://www.shipvault.com/ships/470097, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/470097",,,,Clarkson,,,1-Mar-2023,"https://www.shipvault.com/ships/470097, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/470097",256000000.00,USD,"https://www.shipvault.com/ships/470097, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/470097"
78,1030363,"https://www.shipvault.com/ships/469431, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/469431",Hull 2584 (Hanwha),"https://www.shipvault.com/ships/469431, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/469431",,,,Hull 2584 (Hanwha),"https://www.shipvault.com/ships/469431, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/469431",on order,SFOC,12/8/2025,"https://www.shipvault.com/ships/469431, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/469431",Mitsui OSK Lines,"https://www.shipvault.com/ships/469431, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/469431",Japan,"https://en.wikipedia.org/wiki/Mitsui_O.S.K._Lines, https://magicport.ai/owners-managers/japan/mitsui-osk-lines-ltd, https://stockanalysis.com/quote/tyo/9104/company/",Hanwha Ocean,"https://www.shipvault.com/ships/469431, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/469431",South Korea,https://www.hanwha.com/companies/hanwha-ocean.do,34.87385,128.6966,"VMCW+V7 Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Hanwha+Ocean/data=!3m1!1e3!4m10!1m2!2m1!1sHanwha+Ocean!3m6!1s0x356ecd1d7a72f7db:0x3bfe90e7d8bf93f0!8m2!3d34.8721913!4d128.6956963!15sCgxIYW53aGEgT2NlYW5aDiIMaGFud2hhIG9jZWFukgEfc2hpcGJ1aWxkaW5nX2FuZF9yZXBhaXJfY29tcGFueZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSUmRYVkVTMWhuRUFF4AEA-gEECAAQLA!16s%2Fg%2F11swmd6_76?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,,,,,,,,,,2027,"https://www.shipvault.com/ships/469431, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/469431",,,,Clarkson,,,1-Aug-2023,"https://www.shipvault.com/ships/469431, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/469431",251000000.00,USD,"https://www.shipvault.com/ships/469431, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/469431"
92,1094412,"https://www.shipvault.com/ships/478881, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478881",Hull 2598 (Hanwha),"https://www.shipvault.com/ships/478881, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478881",,,,Hull 2598 (Hanwha),"https://www.shipvault.com/ships/478881, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478881",on order,SFOC,12/8/2025,"https://www.shipvault.com/ships/478881, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478881",ADNOC L&S,Ship: HULL 2598 - LNG CARRIER (IMO: 1094412),United Arab Emirates,"https://magicport.ai/owners-managers/united-arab-emirates/adnoc-logistics-services, https://stockanalysis.com/quote/adx/ADNOCLS/company/, https://shipandbunker.com/news/world/249785-adnoc-ls-takes-delivery-of-lng-carrier-from-china",Hanwha Ocean,"https://www.shipvault.com/ships/478881, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478881",South Korea,https://www.hanwha.com/companies/hanwha-ocean.do,34.87385,128.6966,"VMCW+V7 Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Hanwha+Ocean/data=!3m1!1e3!4m10!1m2!2m1!1sHanwha+Ocean!3m6!1s0x356ecd1d7a72f7db:0x3bfe90e7d8bf93f0!8m2!3d34.8721913!4d128.6956963!15sCgxIYW53aGEgT2NlYW5aDiIMaGFud2hhIG9jZWFukgEfc2hpcGJ1aWxkaW5nX2FuZF9yZXBhaXJfY29tcGFueZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSUmRYVkVTMWhuRUFF4AEA-gEECAAQLA!16s%2Fg%2F11swmd6_76?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,,,,,X-DF,https://www.igu.org/igu-reports/2025-world-lng-report,2028,"https://www.shipvault.com/ships/478881, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478881",,,,Clarkson,,,1-Jul-2024,"https://www.shipvault.com/ships/478881, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478881",260000000.00,USD,"https://www.shipvault.com/ships/478881, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478881"
94,1094321,"https://www.shipvault.com/ships/478882, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478882",Hull 2599 (Hanwha),"https://www.shipvault.com/ships/478882, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478882",,,,Hull 2599 (Hanwha),"https://www.shipvault.com/ships/478882, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478882",on order,SFOC,12/8/2025,"https://www.shipvault.com/ships/478882, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478882",ADNOC L&S,Ship: HULL 2599 - LNG CARRIER (IMO: 1094321),United Arab Emirates,"https://magicport.ai/owners-managers/united-arab-emirates/adnoc-logistics-services, https://stockanalysis.com/quote/adx/ADNOCLS/company/, https://shipandbunker.com/news/world/249785-adnoc-ls-takes-delivery-of-lng-carrier-from-china",Hanwha Ocean,"https://www.shipvault.com/ships/478882, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478882",South Korea,https://www.hanwha.com/companies/hanwha-ocean.do,34.87385,128.6966,"VMCW+V7 Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Hanwha+Ocean/data=!3m1!1e3!4m10!1m2!2m1!1sHanwha+Ocean!3m6!1s0x356ecd1d7a72f7db:0x3bfe90e7d8bf93f0!8m2!3d34.8721913!4d128.6956963!15sCgxIYW53aGEgT2NlYW5aDiIMaGFud2hhIG9jZWFukgEfc2hpcGJ1aWxkaW5nX2FuZF9yZXBhaXJfY29tcGFueZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSUmRYVkVTMWhuRUFF4AEA-gEECAAQLA!16s%2Fg%2F11swmd6_76?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,,,,,X-DF,https://www.igu.org/igu-reports/2025-world-lng-report,2028,"https://www.shipvault.com/ships/478882, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478882",,,,Clarkson,,,1-Jul-2024,"https://www.shipvault.com/ships/478882, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478882",260000000.00,USD,"https://www.shipvault.com/ships/478882, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478882"
96,1094333,"https://www.shipvault.com/ships/478883, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478883",Hull 2600 (Hanwha),"https://www.shipvault.com/ships/478883, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478883",,,,Hull 2600 (Hanwha),"https://www.shipvault.com/ships/478883, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478883",on order,SFOC,12/8/2025,"https://www.shipvault.com/ships/478883, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478883",ADNOC L&S,Ship: HULL 2600 - LNG CARRIER (IMO: 1094333),United Arab Emirates,"https://magicport.ai/owners-managers/united-arab-emirates/adnoc-logistics-services, https://stockanalysis.com/quote/adx/ADNOCLS/company/, https://shipandbunker.com/news/world/249785-adnoc-ls-takes-delivery-of-lng-carrier-from-china",Hanwha Ocean,"https://www.shipvault.com/ships/478883, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478883",South Korea,https://www.hanwha.com/companies/hanwha-ocean.do,34.87385,128.6966,"VMCW+V7 Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Hanwha+Ocean/data=!3m1!1e3!4m10!1m2!2m1!1sHanwha+Ocean!3m6!1s0x356ecd1d7a72f7db:0x3bfe90e7d8bf93f0!8m2!3d34.8721913!4d128.6956963!15sCgxIYW53aGEgT2NlYW5aDiIMaGFud2hhIG9jZWFukgEfc2hpcGJ1aWxkaW5nX2FuZF9yZXBhaXJfY29tcGFueZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSUmRYVkVTMWhuRUFF4AEA-gEECAAQLA!16s%2Fg%2F11swmd6_76?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,,,,,X-DF,https://www.igu.org/igu-reports/2025-world-lng-report,2028,"https://www.shipvault.com/ships/478883, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478883",,,,Clarkson,,,1-Jun-2024,https://www.shipvault.com/ships/478883,260000000.00,USD,"https://www.shipvault.com/ships/478883, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/478883"
137,1063384,https://www.igu.org/igu-reports/2025-world-lng-report,Hull 2693 (SHI),https://www.igu.org/igu-reports/2025-world-lng-report,,,,Hull 2693 (SHI),https://www.igu.org/igu-reports/2025-world-lng-report,on order,GEM,12/31/2024,https://www.igu.org/igu-reports/2025-world-lng-report,MISC,https://www.igu.org/igu-reports/2025-world-lng-report,Malaysia,"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad",Samsung Heavy Industries,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.samsungshi.com/En/Default.aspx,34.89804,128.6045,"VJW3+QV Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Samsung+Heavy+industries/data=!3m1!1e3!4m10!1m2!2m1!1ssamsung+heavy+industries!3m6!1s0x356ecd83691a8fb5:0xd4204e9a1bb0ef10!8m2!3d34.8969682!4d128.6046376!15sChhzYW1zdW5nIGhlYXZ5IGluZHVzdHJpZXOSAQhzaGlweWFyZOABAA!16s%2Fg%2F1tgcpry6?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,,,conventional,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,X-DF,https://www.igu.org/igu-reports/2025-world-lng-report,2026,https://www.igu.org/igu-reports/2025-world-lng-report,,,,IGU,,,,,,,
144,1063401,https://www.igu.org/igu-reports/2025-world-lng-report,E'saila,"https://www.shipvault.com/ships/479142, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/479142",,Hull 2697 (SHI),"https://www.shipvault.com/ships/479142, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/479142",Hull 2697 (SHI),https://www.igu.org/igu-reports/2025-world-lng-report,on order,GEM,12/31/2024,https://www.igu.org/igu-reports/2025-world-lng-report,MISC,https://www.igu.org/igu-reports/2025-world-lng-report,Malaysia,"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad",Samsung Heavy Industries,https://www.igu.org/igu-reports/2025-world-lng-report,South Korea,https://www.samsungshi.com/En/Default.aspx,34.89804,128.6045,"VJW3+QV Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Samsung+Heavy+industries/data=!3m1!1e3!4m10!1m2!2m1!1ssamsung+heavy+industries!3m6!1s0x356ecd83691a8fb5:0xd4204e9a1bb0ef10!8m2!3d34.8969682!4d128.6046376!15sChhzYW1zdW5nIGhlYXZ5IGluZHVzdHJpZXOSAQhzaGlweWFyZOABAA!16s%2Fg%2F1tgcpry6?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,174000,cbm,https://www.igu.org/igu-reports/2025-world-lng-report,,,conventional,https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf,X-DF,https://www.igu.org/igu-reports/2025-world-lng-report,2027,"https://www.shipvault.com/ships/479142, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/479142, https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf",yes,2026,https://www.datocms-assets.com/146580/1763396210-1747916410-igu-world-lng-report-2025.pdf,IGU,,,,,,,
