tier,severity,sheet_rows,row_ids,builder,owner,match_key,reason,recommendation
4,LOW,1151 + 1152,1196 + 1197,Hudong-Zhonghua Shipbuilding,MISC,hudong-zhonghua|misc|170000,match on builder/owner/capacity but rows carry distinct ordinals [1] vs [2] — likely distinct sister ships.,"probably NOT a dup; reconcile by ordinal, then dismiss."
4,LOW,1151 + 1153,1196 + 1199,Hudong-Zhonghua Shipbuilding,MISC,hudong-zhonghua|misc|170000,match on builder/owner/capacity but rows carry distinct ordinals [1] vs [4] — likely distinct sister ships.,"probably NOT a dup; reconcile by ordinal, then dismiss."
4,LOW,1151 + 1174,1196 + 1198,Hudong-Zhonghua Shipbuilding,MISC,hudong-zhonghua|misc|170000,match on builder/owner/capacity but rows carry distinct ordinals [1] vs [3]; delivery 2029 vs 2030 — likely distinct sister ships.,"probably NOT a dup; reconcile by ordinal, then dismiss."
4,LOW,1151 + 1175,1196 + 1200,Hudong-Zhonghua Shipbuilding,MISC,hudong-zhonghua|misc|170000,match on builder/owner/capacity but rows carry distinct ordinals [1] vs [5]; delivery 2029 vs 2030 — likely distinct sister ships.,"probably NOT a dup; reconcile by ordinal, then dismiss."
4,LOW,1152 + 1153,1197 + 1199,Hudong-Zhonghua Shipbuilding,MISC,hudong-zhonghua|misc|170000,match on builder/owner/capacity but rows carry distinct ordinals [2] vs [4] — likely distinct sister ships.,"probably NOT a dup; reconcile by ordinal, then dismiss."
4,LOW,1152 + 1174,1197 + 1198,Hudong-Zhonghua Shipbuilding,MISC,hudong-zhonghua|misc|170000,match on builder/owner/capacity but rows carry distinct ordinals [2] vs [3]; delivery 2029 vs 2030 — likely distinct sister ships.,"probably NOT a dup; reconcile by ordinal, then dismiss."
4,LOW,1152 + 1175,1197 + 1200,Hudong-Zhonghua Shipbuilding,MISC,hudong-zhonghua|misc|170000,match on builder/owner/capacity but rows carry distinct ordinals [2] vs [5]; delivery 2029 vs 2030 — likely distinct sister ships.,"probably NOT a dup; reconcile by ordinal, then dismiss."
4,LOW,1153 + 1174,1199 + 1198,Hudong-Zhonghua Shipbuilding,MISC,hudong-zhonghua|misc|170000,match on builder/owner/capacity but rows carry distinct ordinals [4] vs [3]; delivery 2029 vs 2030 — likely distinct sister ships.,"probably NOT a dup; reconcile by ordinal, then dismiss."
4,LOW,1153 + 1175,1199 + 1200,Hudong-Zhonghua Shipbuilding,MISC,hudong-zhonghua|misc|170000,match on builder/owner/capacity but rows carry distinct ordinals [4] vs [5]; delivery 2029 vs 2030 — likely distinct sister ships.,"probably NOT a dup; reconcile by ordinal, then dismiss."
4,LOW,1174 + 1175,1198 + 1200,Hudong-Zhonghua Shipbuilding,MISC,hudong-zhonghua|misc|170000,match on builder/owner/capacity but rows carry distinct ordinals [3] vs [5] — likely distinct sister ships.,"probably NOT a dup; reconcile by ordinal, then dismiss."
