op,key,column,value
set,ccce0701-a839-49f0-a040-2ac257ce7515,Name,Hull 3501 (HDHHI)
set,ccce0701-a839-49f0-a040-2ac257ce7515,Name [ref],"https://www.shipvault.com/ships/477422, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/477422"
set,ccce0701-a839-49f0-a040-2ac257ce7515,Hull number,Hull 3501 (HDHHI)
set,ccce0701-a839-49f0-a040-2ac257ce7515,Hull number [ref],"https://www.shipvault.com/ships/477422, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/477422"
set,445f3366-5945-4342-ac58-45be680e4e2a,Name,Hull 8327 (HSHI)
set,445f3366-5945-4342-ac58-45be680e4e2a,Name [ref],"https://www.shipvault.com/ships/490164, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/490164"
set,445f3366-5945-4342-ac58-45be680e4e2a,Hull number,Hull 8327 (HSHI)
set,445f3366-5945-4342-ac58-45be680e4e2a,Hull number [ref],"https://www.shipvault.com/ships/490164, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/490164"
set,8c9668a9-a630-4385-8601-c9cba3c6608c,Name,Hull 8328 (HSHI)
set,8c9668a9-a630-4385-8601-c9cba3c6608c,Name [ref],"https://www.shipvault.com/ships/490165, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/490165"
set,8c9668a9-a630-4385-8601-c9cba3c6608c,Hull number,Hull 8328 (HSHI)
set,8c9668a9-a630-4385-8601-c9cba3c6608c,Hull number [ref],"https://www.shipvault.com/ships/490165, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/490165"
set,b060a274-cd11-4cb6-a810-7023b03d1cc5,Name,Hull 8329 (HSHI)
set,b060a274-cd11-4cb6-a810-7023b03d1cc5,Name [ref],"https://www.shipvault.com/ships/490166, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/490166"
set,b060a274-cd11-4cb6-a810-7023b03d1cc5,Hull number,Hull 8329 (HSHI)
set,b060a274-cd11-4cb6-a810-7023b03d1cc5,Hull number [ref],"https://www.shipvault.com/ships/490166, https://shipvaultapi-gjb8c.ondigitalocean.app/api/units/490166"
