a1,live_row,column,restore_value
D1054,1054,Name,Hull 3301 (HDHHI)
E1054,1054,Name [ref],https://www.shipvault.com/ships/477422
I1054,1054,Hull number,Hull 3301 (HDHHI)
J1054,1054,Hull number [ref],https://www.shipvault.com/ships/477422
D1075,1075,Name,Hull Unknown 01 (HSHI)
E1075,1075,Name [ref],https://www.shipvault.com/ships/490164
I1075,1075,Hull number,Hull Unknown 01 (HSHI)
J1075,1075,Hull number [ref],https://www.shipvault.com/ships/490164
D1076,1076,Name,Hull Unknown 02 (HSHI)
E1076,1076,Name [ref],https://www.shipvault.com/ships/490165
I1076,1076,Hull number,Hull Unknown 02 (HSHI)
J1076,1076,Hull number [ref],https://www.shipvault.com/ships/490165
D1077,1077,Name,Hull Unknown 03 (HSHI)
E1077,1077,Name [ref],https://www.shipvault.com/ships/490166
I1077,1077,Hull number,Hull Unknown 03 (HSHI)
J1077,1077,Hull number [ref],https://www.shipvault.com/ships/490166
