op,key,column,value
set,25,Vessel type,conventional
set,25,Vessel type [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,28,Vessel type,conventional
set,28,Vessel type [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,29,Vessel type,conventional
set,29,Vessel type [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,30,Vessel type,conventional
set,30,Vessel type [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,31,Vessel type,conventional
set,31,Vessel type [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,26,Vessel type,conventional
set,26,Vessel type [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,27,Vessel type,conventional
set,27,Vessel type [ref],https://www.datocms-assets.com/146580/1783403747-igu-world-lng-report-2026.pdf
set,1044,Vessel type,
set,1045,Vessel type,
set,250,Vessel type,
set,1218,Vessel type,
set,1219,Vessel type,
set,1220,Vessel type,
set,1221,Vessel type,
set,1222,Vessel type,
set,1223,Vessel type,
