a1,live_row,column,restore_value
AH838,838,Vessel type [ref],inferred
AH839,839,Vessel type [ref],inferred
AH840,840,Vessel type [ref],inferred
AH841,841,Vessel type [ref],inferred
AH842,842,Vessel type [ref],inferred
AH944,944,Vessel type [ref],inferred
AH945,945,Vessel type [ref],inferred
AG487,487,Vessel type,conventional
AG488,488,Vessel type,conventional
AG994,994,Vessel type,conventional
AG1118,1118,Vessel type,conventional
AG1169,1169,Vessel type,conventional
AG1179,1179,Vessel type,conventional
AG1180,1180,Vessel type,conventional
AG1181,1181,Vessel type,conventional
AG1182,1182,Vessel type,conventional
