status,sheet_row,row_id,column,accepted_value,backend_value
landed,838,25,Vessel type,,
landed,838,25,Vessel type [ref],,
landed,839,28,Vessel type,,
landed,839,28,Vessel type [ref],,
landed,840,29,Vessel type,,
landed,840,29,Vessel type [ref],,
landed,841,30,Vessel type,,
landed,841,30,Vessel type [ref],,
landed,842,31,Vessel type,,
landed,842,31,Vessel type [ref],,
landed,944,26,Vessel type,,
landed,944,26,Vessel type [ref],,
landed,945,27,Vessel type,,
landed,945,27,Vessel type [ref],,
landed,487,1044,Vessel type,,
landed,488,1045,Vessel type,,
landed,994,250,Vessel type,,
landed,1118,1218,Vessel type,,
landed,1169,1219,Vessel type,,
landed,1179,1220,Vessel type,,
landed,1180,1221,Vessel type,,
landed,1181,1222,Vessel type,,
landed,1182,1223,Vessel type,,
