a1,live_row,column,restore_value
C1232,1232,IMO number,
D1232,1232,IMO number [ref],
E1232,1232,Name,
F1232,1232,Name [ref],
J1232,1232,Hull number,
K1232,1232,Hull number [ref],
L1232,1232,Status,
M1232,1232,Researcher,
N1232,1232,Last updated,
O1232,1232,Status [ref],
P1232,1232,Shipowner,
Q1232,1232,Shipowner [ref],
R1232,1232,Shipowner country/area,
S1232,1232,Shipowner country/area [ref],
T1232,1232,Shipbuilder,
U1232,1232,Shipbuilder [ref],
V1232,1232,Shipbuilder yard country/area,
W1232,1232,Shipbuilder yard country/area [ref],
X1232,1232,Yard location latitude,
Y1232,1232,Yard location longitude,
Z1232,1232,Yard location plus code,
AA1232,1232,Yard location accuracy,
AB1232,1232,Yard location lat/lon [ref],
AC1232,1232,Capacity,
AD1232,1232,Capacity units,
AE1232,1232,Capacity [ref],
AF1232,1232,Cargo type,
AG1232,1232,Cargo type [ref],
AH1232,1232,Vessel type,
AI1232,1232,Vessel type [ref],
AJ1232,1232,Propulsion type,
AK1232,1232,Propulsion type [ref],
AL1232,1232,Delivery year,
AM1232,1232,Delivery year [ref],
AQ1232,1232,[Original source],
AT1232,1232,Contract date,
AU1232,1232,Contract date [ref],
