op,key,column,value
set,9c803209-255a-4cf8-b4dd-e0373584548f,Shipbuilder,HD Hyundai Samho
set,9c803209-255a-4cf8-b4dd-e0373584548f,Shipbuilder [ref],https://www.imarinenews.com/36960.html
set,9c803209-255a-4cf8-b4dd-e0373584548f,Shipowner,"MOL, K Line"
set,9c803209-255a-4cf8-b4dd-e0373584548f,Shipowner [ref],https://www.imarinenews.com/36960.html
set,dc8486a4-4991-4451-af14-6d2f72333824,Shipbuilder,HD Hyundai Samho
set,dc8486a4-4991-4451-af14-6d2f72333824,Shipbuilder [ref],https://www.imarinenews.com/36960.html
set,dc8486a4-4991-4451-af14-6d2f72333824,Shipowner,"MOL, K Line"
set,dc8486a4-4991-4451-af14-6d2f72333824,Shipowner [ref],https://www.imarinenews.com/36960.html
set,a146bfd4-698e-4953-be14-dd20772b0346,Shipbuilder,HD Hyundai Samho
set,a146bfd4-698e-4953-be14-dd20772b0346,Shipbuilder [ref],https://www.imarinenews.com/36960.html
set,a146bfd4-698e-4953-be14-dd20772b0346,Shipowner,"MOL, K Line"
set,a146bfd4-698e-4953-be14-dd20772b0346,Shipowner [ref],https://www.imarinenews.com/36960.html
set,3f03f424-1676-4849-96d3-cba737086981,Shipbuilder,HD Hyundai Samho
set,3f03f424-1676-4849-96d3-cba737086981,Shipbuilder [ref],https://www.imarinenews.com/36960.html
set,3f03f424-1676-4849-96d3-cba737086981,Shipowner,"MOL, K Line"
set,3f03f424-1676-4849-96d3-cba737086981,Shipowner [ref],https://www.imarinenews.com/36960.html
set,29c558ba-931a-46d4-9c71-58e78b157a97,Shipbuilder,HD Hyundai Samho
set,29c558ba-931a-46d4-9c71-58e78b157a97,Shipbuilder [ref],https://www.imarinenews.com/36960.html
set,29c558ba-931a-46d4-9c71-58e78b157a97,Shipowner,"MOL, K Line"
set,29c558ba-931a-46d4-9c71-58e78b157a97,Shipowner [ref],https://www.imarinenews.com/36960.html
set,3f258213-45f6-4319-b0c9-477625938420,Shipbuilder,HD Hyundai Samho
set,3f258213-45f6-4319-b0c9-477625938420,Shipbuilder [ref],https://www.imarinenews.com/36960.html
set,3f258213-45f6-4319-b0c9-477625938420,Shipowner,"MOL, K Line"
set,3f258213-45f6-4319-b0c9-477625938420,Shipowner [ref],https://www.imarinenews.com/36960.html
set,19e255bd-df3e-4f8c-b24b-b9fe8dc7cecc,Shipbuilder,HD Hyundai Samho
set,19e255bd-df3e-4f8c-b24b-b9fe8dc7cecc,Shipbuilder [ref],https://www.imarinenews.com/36960.html
set,19e255bd-df3e-4f8c-b24b-b9fe8dc7cecc,Shipowner,"MOL, K Line"
set,19e255bd-df3e-4f8c-b24b-b9fe8dc7cecc,Shipowner [ref],https://www.imarinenews.com/36960.html
set,73fa7727-62df-4283-b86d-3e2ef31692aa,Shipbuilder,HD Hyundai Samho
set,73fa7727-62df-4283-b86d-3e2ef31692aa,Shipbuilder [ref],https://www.imarinenews.com/36960.html
set,73fa7727-62df-4283-b86d-3e2ef31692aa,Shipowner,"MOL, K Line"
set,73fa7727-62df-4283-b86d-3e2ef31692aa,Shipowner [ref],https://www.imarinenews.com/36960.html
set,90d492b5-861d-42e2-aeed-1249982ca883,Shipbuilder,HD Hyundai Samho
set,90d492b5-861d-42e2-aeed-1249982ca883,Shipbuilder [ref],https://www.imarinenews.com/36960.html
set,90d492b5-861d-42e2-aeed-1249982ca883,Shipowner,"MOL, K Line"
set,90d492b5-861d-42e2-aeed-1249982ca883,Shipowner [ref],https://www.imarinenews.com/36960.html
set,741aa3c1-554b-49d6-80a6-453815352b19,Shipowner,"NYK Line, Maran Gas Maritime"
set,741aa3c1-554b-49d6-80a6-453815352b19,Shipowner [ref],https://www.imarinenews.com/36960.html
set,3e9a58c4-a928-4a1d-9751-500a5ef0ccf0,Shipowner,"NYK Line, Maran Gas Maritime"
set,3e9a58c4-a928-4a1d-9751-500a5ef0ccf0,Shipowner [ref],https://www.imarinenews.com/36960.html
set,bd8cc039-16c9-48e6-b3d6-ede3b6c0f710,Shipowner,"NYK Line, Maran Gas Maritime"
set,bd8cc039-16c9-48e6-b3d6-ede3b6c0f710,Shipowner [ref],https://www.imarinenews.com/36960.html
set,800833b0-a691-4aee-b923-c0ab3a370f40,Shipowner,"NYK Line, Maran Gas Maritime"
set,800833b0-a691-4aee-b923-c0ab3a370f40,Shipowner [ref],https://www.imarinenews.com/36960.html
set,497c7e25-4489-4701-b6c3-0083ac613e56,Shipowner,"NYK Line, Maran Gas Maritime"
set,497c7e25-4489-4701-b6c3-0083ac613e56,Shipowner [ref],https://www.imarinenews.com/36960.html
set,59551ff4-2a53-442f-abe0-e987f059c0fd,Shipowner,"NYK Line, Maran Gas Maritime"
set,59551ff4-2a53-442f-abe0-e987f059c0fd,Shipowner [ref],https://www.imarinenews.com/36960.html
set,7a336d80-d43d-4d1a-a3bc-18fe0cb75a25,Shipowner,"NYK Line, Maran Gas Maritime"
set,7a336d80-d43d-4d1a-a3bc-18fe0cb75a25,Shipowner [ref],https://www.imarinenews.com/36960.html
set,878fc1de-669c-46f5-ad02-54364f105c70,Shipowner,"NYK Line, Maran Gas Maritime"
set,878fc1de-669c-46f5-ad02-54364f105c70,Shipowner [ref],https://www.imarinenews.com/36960.html
set,4b183f99-2b6b-4e7b-9b24-449b2cb6aa17,Capacity,177000
set,4b183f99-2b6b-4e7b-9b24-449b2cb6aa17,Capacity [ref],"http://www.chinashipbuild.com/ship.aspx?pklujyukkpp4JsCgcanmkhTk8Pl4EN, https://www.new-ships.com/ns/news/6441"
set,47f70cda-f6d4-4efc-b4b2-4f26b417b3ca,Capacity,177000
set,47f70cda-f6d4-4efc-b4b2-4f26b417b3ca,Capacity [ref],"http://www.chinashipbuild.com/ship.aspx?pklujyukkpp4JsCgJanmkhTk8Pl4EN, https://www.new-ships.com/ns/news/6441"
