original order in sheet,IMO number,IMO number [ref],Name,Name [ref],Notes,Other names,Other names [ref],Hull number,Hull number [ref],Status,Researcher,Last updated,Status [ref],Shipowner,Shipowner [ref],Shipowner country/area,Shipowner country/area [ref],Shipbuilder,Shipbuilder [ref],Shipbuilder yard country/area,Shipbuilder yard country/area [ref],Yard location latitude,Yard location longitude,Yard location plus code,Yard location accuracy,Yard location lat/lon [ref],Capacity,Capacity units,Capacity [ref],Cargo type,Cargo type [ref],Vessel type,Vessel type [ref],Propulsion type,Propulsion type [ref],Delivery year,Delivery year [ref],Delivery delayed,Previous delivery year(s),Previous delivery year(s) [ref],[Original source],Operator/charterer,Operator/charterer [ref],Contract date,Contract date [ref],Price,Price currency,Price [ref]
888,,,Mozambique LNG 01,https://www.imarinenews.com/28729.html,,,,,,proposed,SFOC,12/8/2025,https://www.imarinenews.com/28729.html,"MOL, K Line",https://www.imarinenews.com/36960.html,Japan,https://www.imarinenews.com/28729.html,HD Hyundai Samho,https://www.imarinenews.com/36960.html,South Korea,https://www.hd.com/en/main,35.51613,129.4383,GC8Q+M6 Ulsan,exact,https://www.google.com/maps/place/HD+Hyundai+Heavy+Industries+Ulsan+Shipyard/data=!3m1!1e3!4m10!1m2!2m1!1sHD+Hyundai!3m6!1s0x3567ce56ebbfb645:0xd94a696f9fca5d90!8m2!3d35.5167468!4d129.4380269!15sCgpIRCBIeXVuZGFpkgEIc2hpcHlhcmTgAQA!16s%2Fg%2F1tfhd8y1?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,,,,,,,,,,,,,,,Clarkson,TotalEnergies,https://www.imarinenews.com/28729.html,,,,,
889,,,Mozambique LNG 02,https://www.imarinenews.com/28729.html,,,,,,proposed,SFOC,12/8/2025,https://www.imarinenews.com/28729.html,"MOL, K Line",https://www.imarinenews.com/36960.html,Japan,https://www.imarinenews.com/28729.html,HD Hyundai Samho,https://www.imarinenews.com/36960.html,South Korea,https://www.hd.com/en/main,35.51613,129.4383,GC8Q+M6 Ulsan,exact,https://www.google.com/maps/place/HD+Hyundai+Heavy+Industries+Ulsan+Shipyard/data=!3m1!1e3!4m10!1m2!2m1!1sHD+Hyundai!3m6!1s0x3567ce56ebbfb645:0xd94a696f9fca5d90!8m2!3d35.5167468!4d129.4380269!15sCgpIRCBIeXVuZGFpkgEIc2hpcHlhcmTgAQA!16s%2Fg%2F1tfhd8y1?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,,,,,,,,,,,,,,,Clarkson,TotalEnergies,https://www.imarinenews.com/28729.html,,,,,
890,,,Mozambique LNG 03,https://www.imarinenews.com/28729.html,,,,,,proposed,SFOC,12/8/2025,https://www.imarinenews.com/28729.html,"MOL, K Line",https://www.imarinenews.com/36960.html,Japan,https://www.imarinenews.com/28729.html,HD Hyundai Samho,https://www.imarinenews.com/36960.html,South Korea,https://www.hd.com/en/main,35.51613,129.4383,GC8Q+M6 Ulsan,exact,https://www.google.com/maps/place/HD+Hyundai+Heavy+Industries+Ulsan+Shipyard/data=!3m1!1e3!4m10!1m2!2m1!1sHD+Hyundai!3m6!1s0x3567ce56ebbfb645:0xd94a696f9fca5d90!8m2!3d35.5167468!4d129.4380269!15sCgpIRCBIeXVuZGFpkgEIc2hpcHlhcmTgAQA!16s%2Fg%2F1tfhd8y1?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,,,,,,,,,,,,,,,Clarkson,TotalEnergies,https://www.imarinenews.com/28729.html,,,,,
891,,,Mozambique LNG 04,https://www.imarinenews.com/28729.html,,,,,,proposed,SFOC,12/8/2025,https://www.imarinenews.com/28729.html,"MOL, K Line",https://www.imarinenews.com/36960.html,Japan,https://www.imarinenews.com/28729.html,HD Hyundai Samho,https://www.imarinenews.com/36960.html,South Korea,https://www.hd.com/en/main,35.51613,129.4383,GC8Q+M6 Ulsan,exact,https://www.google.com/maps/place/HD+Hyundai+Heavy+Industries+Ulsan+Shipyard/data=!3m1!1e3!4m10!1m2!2m1!1sHD+Hyundai!3m6!1s0x3567ce56ebbfb645:0xd94a696f9fca5d90!8m2!3d35.5167468!4d129.4380269!15sCgpIRCBIeXVuZGFpkgEIc2hpcHlhcmTgAQA!16s%2Fg%2F1tfhd8y1?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,,,,,,,,,,,,,,,Clarkson,TotalEnergies,https://www.imarinenews.com/28729.html,,,,,
892,,,Mozambique LNG 05,https://www.imarinenews.com/28729.html,,,,,,proposed,SFOC,12/8/2025,https://www.imarinenews.com/28729.html,"MOL, K Line",https://www.imarinenews.com/36960.html,Japan,https://www.imarinenews.com/28729.html,HD Hyundai Samho,https://www.imarinenews.com/36960.html,South Korea,https://www.hd.com/en/main,35.51613,129.4383,GC8Q+M6 Ulsan,exact,https://www.google.com/maps/place/HD+Hyundai+Heavy+Industries+Ulsan+Shipyard/data=!3m1!1e3!4m10!1m2!2m1!1sHD+Hyundai!3m6!1s0x3567ce56ebbfb645:0xd94a696f9fca5d90!8m2!3d35.5167468!4d129.4380269!15sCgpIRCBIeXVuZGFpkgEIc2hpcHlhcmTgAQA!16s%2Fg%2F1tfhd8y1?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,,,,,,,,,,,,,,,Clarkson,TotalEnergies,https://www.imarinenews.com/28729.html,,,,,
893,,,Mozambique LNG 06,https://www.imarinenews.com/28729.html,,,,,,proposed,SFOC,12/8/2025,https://www.imarinenews.com/28729.html,"MOL, K Line",https://www.imarinenews.com/36960.html,Japan,https://www.imarinenews.com/28729.html,HD Hyundai Samho,https://www.imarinenews.com/36960.html,South Korea,https://www.hd.com/en/main,35.51613,129.4383,GC8Q+M6 Ulsan,exact,https://www.google.com/maps/place/HD+Hyundai+Heavy+Industries+Ulsan+Shipyard/data=!3m1!1e3!4m10!1m2!2m1!1sHD+Hyundai!3m6!1s0x3567ce56ebbfb645:0xd94a696f9fca5d90!8m2!3d35.5167468!4d129.4380269!15sCgpIRCBIeXVuZGFpkgEIc2hpcHlhcmTgAQA!16s%2Fg%2F1tfhd8y1?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,,,,,,,,,,,,,,,Clarkson,TotalEnergies,https://www.imarinenews.com/28729.html,,,,,
894,,,Mozambique LNG 07,https://www.imarinenews.com/28729.html,,,,,,proposed,SFOC,12/8/2025,https://www.imarinenews.com/28729.html,"MOL, K Line",https://www.imarinenews.com/36960.html,Japan,https://www.imarinenews.com/28729.html,HD Hyundai Samho,https://www.imarinenews.com/36960.html,South Korea,https://www.hd.com/en/main,35.51613,129.4383,GC8Q+M6 Ulsan,exact,https://www.google.com/maps/place/HD+Hyundai+Heavy+Industries+Ulsan+Shipyard/data=!3m1!1e3!4m10!1m2!2m1!1sHD+Hyundai!3m6!1s0x3567ce56ebbfb645:0xd94a696f9fca5d90!8m2!3d35.5167468!4d129.4380269!15sCgpIRCBIeXVuZGFpkgEIc2hpcHlhcmTgAQA!16s%2Fg%2F1tfhd8y1?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,,,,,,,,,,,,,,,Clarkson,TotalEnergies,https://www.imarinenews.com/28729.html,,,,,
895,,,Mozambique LNG 08,https://www.imarinenews.com/28729.html,,,,,,proposed,SFOC,12/8/2025,https://www.imarinenews.com/28729.html,"MOL, K Line",https://www.imarinenews.com/36960.html,Japan,https://www.imarinenews.com/28729.html,HD Hyundai Samho,https://www.imarinenews.com/36960.html,South Korea,https://www.hd.com/en/main,35.51613,129.4383,GC8Q+M6 Ulsan,exact,https://www.google.com/maps/place/HD+Hyundai+Heavy+Industries+Ulsan+Shipyard/data=!3m1!1e3!4m10!1m2!2m1!1sHD+Hyundai!3m6!1s0x3567ce56ebbfb645:0xd94a696f9fca5d90!8m2!3d35.5167468!4d129.4380269!15sCgpIRCBIeXVuZGFpkgEIc2hpcHlhcmTgAQA!16s%2Fg%2F1tfhd8y1?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,,,,,,,,,,,,,,,Clarkson,TotalEnergies,https://www.imarinenews.com/28729.html,,,,,
896,,,Mozambique LNG 09,https://www.imarinenews.com/28729.html,,,,,,proposed,SFOC,12/8/2025,https://www.imarinenews.com/28729.html,"MOL, K Line",https://www.imarinenews.com/36960.html,Japan,https://www.imarinenews.com/28729.html,HD Hyundai Samho,https://www.imarinenews.com/36960.html,South Korea,https://www.hd.com/en/main,35.51613,129.4383,GC8Q+M6 Ulsan,exact,https://www.google.com/maps/place/HD+Hyundai+Heavy+Industries+Ulsan+Shipyard/data=!3m1!1e3!4m10!1m2!2m1!1sHD+Hyundai!3m6!1s0x3567ce56ebbfb645:0xd94a696f9fca5d90!8m2!3d35.5167468!4d129.4380269!15sCgpIRCBIeXVuZGFpkgEIc2hpcHlhcmTgAQA!16s%2Fg%2F1tfhd8y1?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,,,,,,,,,,,,,,,Clarkson,TotalEnergies,https://www.imarinenews.com/28729.html,,,,,
897,,,Mozambique LNG 10,https://www.imarinenews.com/28729.html,,,,,,proposed,SFOC,12/8/2025,https://www.imarinenews.com/28729.html,"NYK Line, Maran Gas Maritime",https://www.imarinenews.com/36960.html,Japan,https://www.imarinenews.com/28729.html,Samsung Heavy Industries,https://www.imarinenews.com/28729.html,South Korea,https://www.samsungshi.com/En/Default.aspx,34.89804,128.6045,"VJW3+QV Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Samsung+Heavy+industries/data=!3m1!1e3!4m10!1m2!2m1!1ssamsung+heavy+industries!3m6!1s0x356ecd83691a8fb5:0xd4204e9a1bb0ef10!8m2!3d34.8969682!4d128.6046376!15sChhzYW1zdW5nIGhlYXZ5IGluZHVzdHJpZXOSAQhzaGlweWFyZOABAA!16s%2Fg%2F1tgcpry6?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D,,,,,,,,,,,,,,,Clarkson,TotalEnergies,https://www.imarinenews.com/28729.html,,,,,
