a1,live_row,column,restore_value
O1184,1184,Shipowner,"MOL, NYK"
P1184,1184,Shipowner [ref],https://www.imarinenews.com/28729.html
O1185,1185,Shipowner,"MOL, NYK"
P1185,1185,Shipowner [ref],https://www.imarinenews.com/28729.html
O1186,1186,Shipowner,"MOL, NYK"
P1186,1186,Shipowner [ref],https://www.imarinenews.com/28729.html
O1187,1187,Shipowner,"MOL, NYK"
P1187,1187,Shipowner [ref],https://www.imarinenews.com/28729.html
O1188,1188,Shipowner,"MOL, NYK"
P1188,1188,Shipowner [ref],https://www.imarinenews.com/28729.html
O1189,1189,Shipowner,"MOL, NYK"
P1189,1189,Shipowner [ref],https://www.imarinenews.com/28729.html
O1190,1190,Shipowner,"MOL, NYK"
P1190,1190,Shipowner [ref],https://www.imarinenews.com/28729.html
O1191,1191,Shipowner,"MOL, NYK"
P1191,1191,Shipowner [ref],https://www.imarinenews.com/28729.html
O1192,1192,Shipowner,"MOL, NYK"
P1192,1192,Shipowner [ref],https://www.imarinenews.com/28729.html
O1193,1193,Shipowner,"MOL, NYK"
P1193,1193,Shipowner [ref],https://www.imarinenews.com/28729.html
O1194,1194,Shipowner,"MOL, NYK"
P1194,1194,Shipowner [ref],https://www.imarinenews.com/28729.html
O1195,1195,Shipowner,"MOL, NYK"
P1195,1195,Shipowner [ref],https://www.imarinenews.com/28729.html
O1196,1196,Shipowner,"MOL, NYK"
P1196,1196,Shipowner [ref],https://www.imarinenews.com/28729.html
O1197,1197,Shipowner,"MOL, NYK"
P1197,1197,Shipowner [ref],https://www.imarinenews.com/28729.html
O1198,1198,Shipowner,"MOL, NYK"
P1198,1198,Shipowner [ref],https://www.imarinenews.com/28729.html
O1199,1199,Shipowner,"MOL, NYK"
P1199,1199,Shipowner [ref],https://www.imarinenews.com/28729.html
O1200,1200,Shipowner,"MOL, NYK"
P1200,1200,Shipowner [ref],https://www.imarinenews.com/28729.html
AB1165,1165,Capacity,174000
AD1165,1165,Capacity [ref],"https://en.sedaily.com/finance/2026/05/13/hd-korea-shipbuilding-wins-2-lng-carrier-order-worth-7458, https://lngprime.com/asia/bw-orders-lng-carrier-duo-at-hd-hyundai-samho/186420/, https://splash247.com/hayfin-lines-up-lng-carrier-newbuilds-in-south-korea/"
AB1166,1166,Capacity,174000
AD1166,1166,Capacity [ref],"https://en.sedaily.com/finance/2026/05/13/hd-korea-shipbuilding-wins-2-lng-carrier-order-worth-7458, https://lngprime.com/asia/bw-orders-lng-carrier-duo-at-hd-hyundai-samho/186420/, https://splash247.com/hayfin-lines-up-lng-carrier-newbuilds-in-south-korea/"
