a1_after_insert,old,new,note
A1,,=column(),index row (matches B1:AX1)
A2,,UUID,header
A3,,d5db53cf-429c-4124-9faa-fe5f40b36f9a,row_id=547 name=Energos Freeze
A4,,d53154b1-fe56-4d89-b28f-5cae9e63aa29,row_id=760 name=LNG Aquarius
A5,,f1b89f8f-6c48-42eb-a0b9-d9cc9ba3648f,row_id=928 name=Nusantara Regas Satu
A6,,c5b25b12-5884-4f6e-ac24-eaae33c26e09,row_id=415 name=Bering Energy
A7,,115b9e3d-6d14-4c2d-ba43-93376758ebfb,row_id=663 name=Gulf Energy
A8,,a03b43ee-43e2-43be-8ce0-45f0dde27ac3,row_id=1077 name=Tenaga Empat
A9,,c8a5200e-9864-45a2-a696-559e7493d085,row_id=1078 name=Tenaga Satu
A10,,aca11520-5433-449e-8180-2bb5dc5e3aab,row_id=397 name=Armada LNG Mediterrana
A11,,a88b80ec-7598-4f06-82df-6f4b0427b6b6,row_id=721 name=LNGT Antarctica
A12,,e69b4bd6-77bb-4b64-a4a9-4ba48fe2c941,row_id=789 name=LNG Maleo
A13,,d4432225-a413-4d5f-ac8f-553ae55a1379,row_id=538 name=Ekaputra 1
A14,,d6762d1c-a260-4674-97bf-4e0d555449aa,row_id=722 name=Karmol LNGT Powership Asia
A15,,ac1296ea-9c6d-437b-92a3-5edf4de85a7a,row_id=1081 name=Torman II
A16,,79e598bd-e908-4192-bbea-db2858f4f4c8,row_id=347 name=Al Khaznah
A17,,3bbd5743-3ba0-413e-98c4-b6dd7bc2b4ed,row_id=697 name=Hyundai Utopia
A18,,0c7bc5af-a547-44e4-b7b3-09e8f9263fa8,row_id=720 name=Karmol LNGT Powership Africa
A19,,b629e47b-f003-4b7e-810c-be7b584924f3,row_id=723 name=Karmol LNGT Powership Europe
A20,,8fc2eaee-ee29-49c0-932c-6187abfb1240,row_id=811 name=KLNGTP Americas
A21,,0c32829c-b9ce-4501-9e7b-d6cff33404a8,row_id=971 name=American Energy
A22,,e6eff038-d5f3-466a-b541-b0eb7215c77a,row_id=1034 name=Shahamah
A23,,5f69ce88-d333-4a16-b19c-b2b681556a33,row_id=642 name=Ghasha
A24,,408a3bc5-8ca8-4a10-a52a-4cdc1d8a0d14,row_id=706 name=Ish
A25,,d5801252-b994-471d-a832-c74a38a7d949,row_id=968 name=Puteri Delima
