owner_tag,Shipowner country/area,Shipowner country/area [ref]
adnoc,United Arab Emirates,"https://magicport.ai/owners-managers/united-arab-emirates/adnoc-logistics-services, https://stockanalysis.com/quote/adx/ADNOCLS/company/, https://shipandbunker.com/news/world/249785-adnoc-ls-takes-delivery-of-lng-carrier-from-china"
capital,Greece,"https://magicport.ai/owners-managers/greece/capital-gas-ship-management, https://stockanalysis.com/stocks/ccec/company/, https://www.rivieramm.com/news-content-hub/capital-gas-enhances-fleet-reliability-amid-greek-lng-expansion-82819"
capital maritime & trading corp,Greece,"https://magicport.ai/owners-managers/greece/capital-maritime-trading-corp, https://www.capitalship.gr/content/press-releases/20-capital-maritime-trading-corp-chief-executive-officer-mr-evangelos-marinakis-voted-ldquo-greek-shipping-newsmaker-of-the-year-rdquo-at-the-2014-lloyd-rsquo-s-list-greek-shipping-awards"
celsius,Denmark,"https://magicport.ai/owners-managers/denmark/celsius-shipping-aps, https://lngprime.com/vessels/denmarks-celsius-orders-four-lng-carriers-in-china/69940/, https://lngprime.com/asia/celsius-takes-delivery-of-new-lng-tanker/127252/"
cosco,China,https://en.wikipedia.org/wiki/COSCO_Shipping
evalend shipping,Greece,"https://magicport.ai/owners-managers/greece/evalend-shipping-co-sa, https://splash247.com/evalend-shipping-doubles-up-on-lng-carrier-orders/, https://splash247.com/evalend-poised-to-enter-lng-trades/"
gaslog,Greece,"https://www.gaslogltd.com/contact-us/, https://www.gaslogltd.com/content/uploads/GasLog-Ltd-2022-annual-report-form-20-F.pdf"
hanwha ocean co ltd,South Korea,"https://www.hanwha.com/companies/hanwha-ocean.do, https://www.lr.org/en/shipyards/korea/hanwha-ocean-co-ltd/, https://www.cnbc.com/2025/10/14/china-sanctions-five-us-subsidiaries-of-south-koreas-hanwha-ocean-over-their-ties-with-washington.html"
hanwha shipping,United States,https://system.new-vessels.com/groupowner-27274671-Hanwha_Shipping_LLC.html
hyundai lng shipping,South Korea,"https://www.hls.co.kr/en/contact/location.do?m=location, https://www.emis.com/php/company-profile/KR/Hyundai_Lng_Shipping_CoLtd_en_4269939.html"
knutsen,Norway,https://www.imarinenews.com/35664.html
maran-gas,AMBIGUOUS,
misc,Malaysia,"https://www.misc.com.my/contact-us/, https://www.miscgroup.com/awcontent/Web/Documents/IntegratedAnnualReport/Integrated-Annual-Report-2025.pdf, https://en.wikipedia.org/wiki/MISC_Berhad"
mol,AMBIGUOUS,
nyk,Japan,"https://www.nyk.com/english/profile/profile/, https://en.wikipedia.org/wiki/Nippon_Yusen"
pacific gas,China,https://www.bloomberg.com/news/articles/2025-10-24/china-s-pacific-gas-owns-lng-ship-skirting-russian-sanctions
purus,United Kingdom,https://www.purus.com/our-services/gas
sinokor maritime co ltd,South Korea,"https://www.emis.com/php/company-profile/KR/Sinokor_Maritime_CoLtd_en_3936625.html, https://magicport.ai/owners-managers/south-korea/sinokor-maritime-co-ltd"
sinokor merchant,South Korea,https://www.sinokor.co.kr/en/
sk shipping,South Korea,"https://en.wikipedia.org/wiki/SK_Shipping, https://splash247.com/sk-shipping-takes-aim-at-asia-lng-top-spot-in-h-line-tanker-swap/"
smart lng,Russia,https://2021-2025.state.gov/imposing-measures-in-response-to-navalnys-death-and-two-years-of-russias-full-scale-war-against-ukraine/
tms-cardiff,Greece,https://system.new-vessels.com/orderer-45411-TMS_Cardiff_Gas_Ltd.html
united liquefied gas,Hong Kong,"https://www1.hkexnews.hk/listedco/listconews/sehk/2020/0630/2020063001526.pdf, https://www.dnb.com/business-directory/company-profiles.united_liquefied_gas_shipping_(hong_kong)_co_limited.3a59504491a60237f6ee20cb8547ee65.html"
unknown,Bermuda,https://cyprusshippingnews.com/2026/06/02/samsung-heavy-wins-five-vessel-order/
