builder_tag,Shipbuilder yard country/area,Shipbuilder yard country/area [ref],Yard location latitude,Yard location longitude,Yard location plus code,Yard location accuracy,Yard location lat/lon [ref]
chantiers de l'atlantique,France,https://chantiers-atlantique.com/en/,47.284334,-2.182615,"7RM8+PW Saint-Nazaire, France",exact,https://maps.app.goo.gl/aXheTTWUa76FHyui7
cmhi,China,https://www.cmhijs.com/en/index.php/about.html,22.33849,114.092895,"83QV+H7 Sai Tso Wan, Hong Kong",exact,"https://www.google.com/maps/place/China+Merchants+Industry+Co+Ltd/@22.338976,114.0905771,814m/data=!3m2!1e3!4b1!4m6!3m5!1s0x3403fed4344ce4b1:0x32fadf093b2cb212!8m2!3d22.338976!4d114.093152!16s%2Fg%2F12hmyy568?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D"
cnim,France,https://fr.wikipedia.org/wiki/CNIM,43.107849,5.879613,"4V5H+5Q La Seyne-sur-Mer, France",exact,https://cnim-systemes-industriels.com/en/contact-us
dsic,China,http://www.dsic.cn/English/CorporateProfile/AboutUs/index.htm,38.937861,121.638613,"WJMP+FX6, Binhai St, Xigang District, Dalian, Dalian, Liaoning, China, 116006",exact,"https://www.google.com/maps/place/Dalian+Shipbuilding+Heavy+Industry+Co.,Ltd./@38.9301597,121.6171177,2740m/data=!3m1!1e3!4m15!1m7!2m6!1sDalian+Shipbuilding+Industry+Co!3m4!2s60.153931,+24.928542!4m2!1d24.9285418!2d60.1539309!3m6!1s0x3585f55b64d083c7:0x46a88d8ffb6405f2!8m2!3d38.9336592!4d121.6374032!15sCh9EYWxpYW4gU2hpcGJ1aWxkaW5nIEluZHVzdHJ5IENvkgEHY29tcGFueeABAA!16s%2Fg%2F1tf_qtz_?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D"
dunkerque shipyard,France,https://en.wikipedia.org/wiki/Ateliers_et_Chantiers_de_France,51.047762,2.375219,,approximate,https://en.wikipedia.org/wiki/Ateliers_et_Chantiers_de_France
fincantieri sestri ponente,Italy,https://www.fincantieri.com/it/,44.423774,8.843465,"CRFV+G8 Genoa, Metropolitan City of Genoa, Italy",exact,https://maps.app.goo.gl/RxTdYjVdW5gKZeZq7
general dynamics,United States,https://www.shipvault.com/ships/73086,42.24259826,-70.973478,,approximate,
hanjin h.i.,South Korea,http://macnetkorea.com/sub/eng_sub.aspx?s_code=0503590000,35.09599,129.0521,33W3+74 Busan,exact,"https://www.google.com/maps/place/HJ+Shipbuilding+%26+Construction+Shipbuilding+Part+HQ/@35.7847587,116.7537988,2925451m/data=!3m1!1e3!4m10!1m2!2m1!1sHanjin+Heavy+Indsustries+!3m6!1s0x3568e943d5c03d35:0x2b4b4c7535d5b01d!8m2!3d35.0957327!4d129.052857!15sChdIYW5qaW4gSGVhdnkgSW5kdXN0cmllc5IBCHNoaXB5YXJk4AEA!16s%2Fg%2F1tdczks4?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D"
hanwha philly sy,United States,https://hanwhaphillyshipyard.com/,39.890604,-75.188622,"VRR6+98 Philadelphia, Pennsylvania, USA",exact,"https://www.google.com/maps/place/Hanwha+Philly+Shipyard/@39.8908776,-75.1917701,676m/data=!3m2!1e3!4b1!4m6!3m5!1s0x89c6c59067c94fb3:0x89af0a808bc63b5d!8m2!3d39.8908776!4d-75.1891952!16s%2Fg%2F1tc_0gnr?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D"
hanwha-ocean,South Korea,https://www.hanwha.com/companies/hanwha-ocean.do,34.87385,128.6966,"VMCW+V7 Geoje-si, Gyeongsangnam-do",exact,https://www.google.com/maps/place/Hanwha+Ocean/data=!3m1!1e3!4m10!1m2!2m1!1sHanwha+Ocean!3m6!1s0x356ecd1d7a72f7db:0x3bfe90e7d8bf93f0!8m2!3d34.8721913!4d128.6956963!15sCgxIYW53aGEgT2NlYW5aDiIMaGFud2hhIG9jZWFukgEfc2hpcGJ1aWxkaW5nX2FuZF9yZXBhaXJfY29tcGFueZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVSUmRYVkVTMWhuRUFF4AEA-gEECAAQLA!16s%2Fg%2F11swmd6_76?entry=ttu&g_ep=EgoyMDI1MTIwMi4wIKXMDSoASAFQAw%3D%3D
